kind,level,ref,detail
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007816580_003_M9K7-33L,"parsed ""ДАЗпО-(Volume 5593-2/575+++Volume 5593-2/575+++)"" does not single out one of 2 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007811194_008_M92W-TV1,"parsed ""ДАЗпО-(Volume 5593-1/16-23+++Volume 5593-1/16-23+++)"" does not single out one of 8 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007811194_001_M92W-TVB,"parsed ""ДАЗпО-(Volume 5593-1/16-23+++Volume 5593-1/16-23+++)"" does not single out one of 8 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007811194_003_M92W-TVT,"parsed ""ДАЗпО-(Volume 5593-1/16-23+++Volume 5593-1/16-23+++)"" does not single out one of 8 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007811194_006_M92W-TVY,"parsed ""ДАЗпО-(Volume 5593-1/16-23+++Volume 5593-1/16-23+++)"" does not single out one of 8 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814757_001_M92X-561,"parsed ""ДАЗпО-(5593-2-473+++5593-2-473+++5593-2-473)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814757_004_M92X-5X9,"parsed ""ДАЗпО-(5593-2-476+++5593-2-476+++5593-2-476)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814757_003_M92X-5XM,"parsed ""ДАЗпО-(5593-2-475+++5593-2-475+++5593-2-475)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814757_002_M92X-5XS,"parsed ""ДАЗпО-(5593-2-474+++5593-2-474+++5593-2-474)"" does not single out one of 4 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007814701_004_M92X-G43,"parsed ""ДАЗпО-(Volume 5593-2/278-285+++Volume 5593-2/278-285+++)"" does not single out one of 8 candidate files"
