action_id,online_copy_id,file_id,full_code,parsed,url
44a9ec9d-6caf-4417-83a3-58bce89262b6,e82605e9-b715-40ad-b356-5d8c9d987b15,6ff06ba8-b28c-4da4-9d6e-1ad3d93ce51e,ДАВоО-Р3247-2-2014,ДАВоО-(Р-3247-2-2014+++Р-3247-2-2014+++Р-3247-2-2014),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127235928
9a63f7a4-408c-410c-a6c8-1d002464e3c6,e6181695-9a96-41c1-9b5c-143cb6e6bd94,f8af7ad5-d540-447e-bdf4-6913c0d6a2bf,ДАВоО-Р3247-2-2015,ДАВоО-(Р-3247-2-2015+++Р-3247-2-2015+++Р-3247-2-2015),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127236959
28f4d0a0-51ed-4d47-bddb-89c851af67c0,4624ee92-6c89-4f72-91e6-d77a48b38c96,f6f18c11-983f-4a13-bf87-c0887e370e7a,ДАВоО-Р3247-2-2016,ДАВоО-(Р-3247-2-2016+++Р-3247-2-2016+++Р-3247-2-2016),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127236960
c6995b00-f8f8-4c8f-891c-4d78cb5286b8,c96f0294-a920-4ea6-b1b4-247a1254c3d4,852a6e8c-03fd-435a-94e6-07c49b4f828a,ДАВоО-Р3247-2-2017,ДАВоО-(Р-3247-2-2017+++Р-3247-2-2017+++Р-3247-2-2017),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127235941
49e7164f-18cd-4cc5-831a-89fe399f4989,dd0cc556-6a25-41f2-b13d-b4c0027abcd6,e7b292ab-4100-4c85-97bb-eeac8b49ac7c,ДАВоО-Р3247-2-2018,ДАВоО-(Р-3247-2-2018+++Р-3247-2-2018+++Р-3247-2-2018),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127235995
ed7d88a3-dfda-477a-ae75-845372055724,aaa5ac68-eeac-49da-b79d-75adb3f36bd8,fcf9fdfd-bf8c-48a3-81a5-c6dd12674592,ДАВоО-Р3247-2-2019,ДАВоО-(Р-3247-2-2019+++Р-3247-2-2019+++Р-3247-2-2019),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127236962
4b0cbfa8-3707-44b3-810e-918c1d67970c,dd128ddb-43af-450a-9eaf-1cf665c55a81,f5d63679-8b66-4a26-992b-7335a8863e14,ДАВоО-Р3247-2-2020,ДАВоО-(Р-3247-2-2020+++Р-3247-2-2020+++Р-3247-2-2020),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127236967
1bd6188e-7978-48e5-9bf2-b711d3471674,1a22d265-a07d-4d84-a0b4-e289f9ef4264,e9cf9aff-7dc0-4a63-899d-382aa13f892b,ДАВоО-Р3247-2-2021,ДАВоО-(Р-3247-2-2021+++Р-3247-2-2021+++Р-3247-2-2021),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127236965
9994e598-ae68-4b4c-966e-293eb68da67c,27ca88be-cbc3-4305-b8d8-1c355c715a58,f52eeffa-c47c-46f0-93a6-eaca5ea29202,ДАВоО-Р3247-2-2022,ДАВоО-(Р-3247-2-2022+++Р-3247-2-2022+++Р-3247-2-2022),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127236968
6470acf9-17b8-4d43-afbc-f34502ebb94a,bdfa1d81-6b57-429a-a6a2-9b954a259c83,e73d7e9d-dd94-4ae9-b75c-b17771d093f1,ДАВоО-Р3247-2-2023,ДАВоО-(Р-3247-2-2023+++Р-3247-2-2023+++Р-3247-2-2023),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127236966
c22af364-45f9-4deb-bd4a-531b6535aed4,5435a15c-353e-46db-bcfe-7e42af283bf1,a852fb69-fabe-4d41-a396-d860a8b57e0b,ДАВоО-Р3247-2-2024,ДАВоО-(Р-3247-2-2024+++Р-3247-2-2024+++Р-3247-2-2024),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127236969
836bd3be-f6e2-432a-9ef7-23fdda69d3ff,8388b343-20b3-43dd-800e-9769b185b8df,1f8ea813-d72f-483c-99c7-117cbbfedd88,ДАВоО-Р3247-2-2025,ДАВоО-(Р-3247-2-2025+++Р-3247-2-2025+++Р-3247-2-2025),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127236972
bf42b0e0-83ea-43c5-87cc-aba8d65ec48e,ca66ac69-2722-4e6f-b4aa-367581b26da7,b4b67f75-7767-4e26-b07e-85c9d94b7775,ДАВоО-Р3247-2-2026,ДАВоО-(Р-3247-2-2026+++Р-3247-2-2026+++Р-3247-2-2026),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127236116
de5ec32d-07ab-49ce-8342-0e0fef088ed2,be1976e4-5f2f-4507-ab63-6a2217bbdae8,632076c2-e57b-4f22-bc7d-c5c1ad39391a,ДАВоО-Р3247-2-2027,ДАВоО-(Р-3247-2-2027+++Р-3247-2-2027+++Р-3247-2-2027),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127236028
47ec5653-34f9-4012-8094-5926c68c323b,3340558e-2893-4509-8195-2d510db77042,729fe8d7-c203-449a-9c98-9270b50d068f,ДАВоО-Р3247-2-2028,ДАВоО-(Р-3247-2-2028+++Р-3247-2-2028+++Р-3247-2-2028),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127237017
95839d4a-498c-4298-9dd8-141480f6ac59,77b8421b-c796-445d-86fd-06e363a636c4,09be33e7-441c-4de3-8def-8f2d33dcb865,ДАВоО-Р3247-2-2029,ДАВоО-(Р-3247-2-2029+++Р-3247-2-2029+++Р-3247-2-2029),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127237038
1d2f6014-4a90-471d-b2bd-002f77136733,915f9706-8305-4668-9afc-ad3a3ae5c7b5,f9879931-1dbb-4a3a-a3e6-39b537035b79,ДАВоО-Р3247-2-2030,ДАВоО-(Р-3247-2-2030+++Р-3247-2-2030+++Р-3247-2-2030),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127237107
62684518-8fc7-4e14-bcde-38b76628ba22,55091ee7-f345-4ad4-a2ec-2acbad8e8ef2,c3731752-fe52-47fd-bbab-133986afe331,ДАВоО-Р3247-2-2031,ДАВоО-(Р-3247-2-2031+++Р-3247-2-2031+++Р-3247-2-2031),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127236110
e74976cb-3e3c-4f75-b651-2c2dcb555e23,47706e34-c6a9-44e9-bedb-608b7af7b6c6,ce47f40e-2575-4cd0-9c39-ff5d2656dca9,ДАВоО-Р3247-2-2032,ДАВоО-(Р-3247-2-2032+++Р-3247-2-2032+++Р-3247-2-2032),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127237158
1a95e7ca-319c-4c4c-a2b0-a515ebd3f998,4e162015-6d58-4e88-a664-ffbf6708096b,4dc92fb7-7d88-4dc6-96e2-539af34b414e,ДАВоО-Р3247-2-2033,ДАВоО-(Р-3247-2-2033+++Р-3247-2-2033+++Р-3247-2-2033),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127237150
3b19a2fd-06c5-4ebc-bf1d-8dbb15552250,728dd5c1-2ce7-45ac-9eee-173c530c1719,3aaabb46-30b9-4018-b7e4-178de6d8e1a3,ДАВоО-Р3247-2-2034,ДАВоО-(Р-3247-2-2034+++Р-3247-2-2034+++Р-3247-2-2034),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127237161
99da1046-2b5e-4558-a199-d23b40573a3a,579b5e95-d994-46a2-948e-ef9e24e7f305,a08481d4-9737-4dca-867f-a5d3081bcd13,ДАВоО-Р3247-2-2035,ДАВоО-(Р-3247-2-2035+++Р-3247-2-2035+++Р-3247-2-2035 ),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127237159
