Вознесенська палата карного суду	47.5679582	31.3338636	Вознесенськ, Вознесенська міська громада, Вознесенський район, Миколаївська область, 56500, Україна
Вознесенська палата цивільного суду	47.5679582	31.3338636	Вознесенськ, Вознесенська міська громада, Вознесенський район, Миколаївська область, 56500, Україна
Вознесенська палата цивільного суду, м. Вознесенськ Херсонської губернії	47.5679582	31.3338636	Вознесенськ, Вознесенська міська громада, Вознесенський район, Миколаївська область, 56500, Україна
Вознесенський совісний суд	47.5679582	31.3338636	Вознесенськ, Вознесенська міська громада, Вознесенський район, Миколаївська область, 56500, Україна
Возсіятський волосний суд	47.6695836	32.1136214	Возсіятське, Єланецька селищна громада, Вознесенський район, Миколаївська область, 55542, Україна
Волинська об'єднана палата кримінального і цивільного суду. м. Житомир Волинської губернії	50.2601065	28.6696281	Житомир, Житомирська міська громада, Житомирський район, Житомирська область, Україна
Волинська палата цивільного суду. м. Житомир Волинської губернії	50.2601065	28.6696281	Житомир, Житомирська міська громада, Житомирський район, Житомирська область, Україна
Волинський головний суд. м. Житомир Волинської губернії	50.2601065	28.6696281	Житомир, Житомирська міська громада, Житомирський район, Житомирська область, Україна
Волинський губернський революційний трибунал	50.2601065	28.6696281	Житомир, Житомирська міська громада, Житомирський район, Житомирська область, Україна
Волинський совісний суд. м. Житомир Волинської губернії	50.2601065	28.6696281	Житомир, Житомирська міська громада, Житомирський район, Житомирська область, Україна
Володимир-Волинський повітовий суд, м. Володимир-Волинськ Володимир-Волинського повіту Волинської губернії	50.8474669	24.3193190	Володимир, Володимирська міська громада, Володимирський район, Волинська область, Україна
Володимирський гродський суд, м. Володимир Волинського воєводства	50.8474669	24.3193190	Володимир, Володимирська міська громада, Володимирський район, Волинська область, Україна
Володимирський земський суд, м. Володимир Волинського воєводства	50.8474669	24.3193190	Володимир, Володимирська міська громада, Володимирський район, Волинська область, Україна
Гадяцька районна судово-земельна комісія Народного комісаріату землеробства УРСР, м.Гадяч Гадяцького р-ну Роменського окр., до 1925р. Полтавської губ.	50.3701299	33.9950534	Гадяч, Гадяцька міська громада, Миргородський район, Полтавська область, 37300, Україна
Гадяцький міський сирітський суд, м.Гадяч Гадяцького полку, з 1782р. Чернігівського намісництва, з 1791р. Київського намісництва, з 1795р. Чернігівського намісництва, з 1796р. Малоросійської губ, з 18	50.3701299	33.9950534	Гадяч, Гадяцька міська громада, Миргородський район, Полтавська область, 37300, Україна
Гадяцький нижній земський суд, м.Гадяч Чернігівського намісництва, з 1791р. Київського намісництва, з 1795р. Чернігівського намісництва, з 1796р. Малоросійської губ, з 1802р. Полтавської губ.	50.3701299	33.9950534	Гадяч, Гадяцька міська громада, Миргородський район, Полтавська область, 37300, Україна
Гадяцький повітовий земський суд, м. Гадяч Гадяцького полку, з 1796 р. – Малоросійської, з 1802 р. – Чернігівської губернії	50.3701299	33.9950534	Гадяч, Гадяцька міська громада, Миргородський район, Полтавська область, 37300, Україна
Гадяцький повітовий земський суд, м. Гадяч Полтавської губернії	50.3701299	33.9950534	Гадяч, Гадяцька міська громада, Миргородський район, Полтавська область, 37300, Україна
Гадяцький повітовий суд, м. Гадяч Чернігівського намісництва, з 1791 р. Київського намісництва, з 1795 р. Чернігівського намісництва, з 1796 р. Малоросійської губ., з 1802 р. Полтавської губ.	50.3701299	33.9950534	Гадяч, Гадяцька міська громада, Миргородський район, Полтавська область, 37300, Україна
Гайсинський земський суд	48.8120874	29.3893874	Гайсин, Гайсинська міська громада, Гайсинський район, Вінницька область, 23700, Україна
Гайсинський повітовий підкоморський суд	48.8120874	29.3893874	Гайсин, Гайсинська міська громада, Гайсинський район, Вінницька область, 23700, Україна
