Боярський РАЦС	50.3356709	30.2847595	Боярка, Боярська міська громада, Фастівський район, Київська область, Україна
Броварський РАЦС	50.5111168	30.7900482	Бровари, Броварська міська громада, Броварський район, Київська область, 07400, Україна
Васильківський РАЦС, Київська обл.	50.1781370	30.3175045	Васильків, Васильківська міська громада, Обухівський район, Київська область, 08600-08606, Україна
Вишгородський РАЦС	50.5824332	30.4851210	Вишгород, Вишгородська міська громада, Вишгородський район, Київська область, 07301, Україна
Володарський РАЦС	49.5224979	29.9280475	Володарка, Володарська селищна громада, Білоцерківський район, Київська область, 09300, Україна
Згурівський РАЦС	50.4950666	31.7691817	Згурівка, Згурівська селищна громада, Броварський район, Київська область, 07601, Україна
Іванківський РАЦС	50.9330100	29.9042867	Іванків, Іванківська селищна громада, Вишгородський район, Київська область, 07200, Україна
Ірпінський РАЦС	50.5206777	30.2448725	Ірпінь, Ірпінська міська громада, Бучанський район, Київська область, Україна
Кагарлицький РАЦС	49.8650658	30.8226786	Кагарлик, Кагарлицька міська громада, Обухівський район, Київська область, 09200-09201, Україна
Макарівський РАЦС	50.4639897	29.8068986	Макарів, Макарівська селищна громада, Бучанський район, Київська область, 08001, Україна
Миронівський РАЦС	49.6583412	30.9824887	Миронівка, Миронівська міська громада, Обухівський район, Київська область, 08801, Україна
Обухівський РАЦС	50.1101633	30.6269696	Обухів, Обухівська міська громада, Обухівський район, Київська область, Україна
Переяслав-Хмельницький РАЦС	50.0643984	31.4447327	Переяслав, Переяславська міська громада, Бориспільський район, Київська область, 08400-08403, Україна
Поліський РАЦС	51.2404860	29.3889600	Поліське, Вишгородський район, Київська область, 255340, Україна
Рокитнянський РАЦС	49.6867282	30.4730340	Рокитне, Рокитнянська селищна громада, Білоцерківський район, Київська область, 09600, Україна
Сквирський РАЦС	49.7337685	29.6624138	Сквира, Сквирська міська громада, Білоцерківський район, Київська область, Україна
Ставищенський РАЦС	49.3897213	30.1921389	Ставище, Ставищенська селищна громада, Білоцерківський район, Київська область, 09400, Україна
Таращанський РАЦС	49.5554980	30.5023421	Тараща, Таращанська міська громада, Білоцерківський район, Київська область, 09500, Україна
Тетіївський РАЦС	49.3686166	29.6771098	Тетіїв, Тетіївська міська громада, Білоцерківський район, Київська область, Україна
Фастівський РАЦС	50.0799307	29.9162821	Фастів, Фастівська міська громада, Фастівський район, Київська область, Україна
Чорнобильський РАЦС	51.2705477	30.2195609	Чорнобиль, Вишгородський район, Київська область, 07270, Україна
