Таврійська губернська палата цивільного суду, м. Сімферополь Таврійської губернії	Сімферополь	-
Мировий суддя 3-ї дільниці Єлисаветградського судово-мирового округу, м.Єлисаветград Єлисаветградського повіту Херсонської губернії	Єлисаветград	Кіровоградська
Мировий суддя 40-ї дільниці Єлисаветградського судово-мирового округу, м.Бобринець Єлисаветградського повіту Херсонської губернії	Бобринець	Кіровоградська
Мировий суддя 8-ї дільниці Єлисаветградського судово-мирового округу, м.Бобринець Єлисаветградського повіту Херсонської губернії	Бобринець	Кіровоградська
Мировий суддя 8-ї дільниці Олександрійського судово-мирового округу, м.Олександрія Олександрійського повіту Херсонської губернії	Олександрія	Кіровоградська
Народний суд 11 дільниці Зінов'євського окружного суду, м-ко Новоукраїнка Новоукраїнського району Зінов'євського округу	Новоукраїнка	Кіровоградська
Народний суд 16-ї дільниці, с.Устинівка Устинівського району Одеської області	Устинівка	Кіровоградська
Народний суд 1-дільниці Кременчуцького окружного суду, с.Онуфріївка Онуфріївського району Кременчуцького округу	Онуфріївка	Кіровоградська
Народний суд 1-ої дільниці м.Кіровограда Кіровоградського обласного суду, м.Кіровоград Кіровоградської області	Кіровограда	Кіровоградська
Народний суд 20-ї дільниці, м.Знам'янка Зінов'євського округу	Знам'янка	Кіровоградська
Народний суд 21-ї дільниці Зіновєвського окружного народного суду, м.Бобринець Бобринецького району Зінов'євського округу	Бобринець	Кіровоградська
Народний суд 3-ої дільниці міста Кіровограда Кіровоградського обласного управління юстиції, м.Кіровоград Кіровоградської області	Кіровоград	Кіровоградська
Народний суд 6-ї дільниці, с.Рівне Рівнянського району Єлисаветградського округу	Рівне	Кіровоградська
Народний суд 6-ої дільниці Олександрійського окружного суду, с.Новгородка Новгородківського району Олександрійського округу Катеринославської губернії	Новгородка	Кіровоградська
Народний суд ІІ дільниці міста Кіровограда Кіровоградського обласного суду, м.Кіровоград	Кіровоград	Кіровоградська
Новомиргородський сирітський суд, м.Новомиргород Єлисаветградського повіту Херсонської губернії	Новомиргород	Кіровоградська
Об'єднана камера народного суду, м.Зінов'євськ Зінов'євського округу	Зінов'євськ	Кіровоградська
Олександрійський міський сирітський суд, м.Олександрія Олександрійського повіту Херсонської губернії	Олександрія	Кіровоградська
Олександрійський повітовий суд, м.Олександрія Олександрійського повіту Херсонської губернії	Олександрія	Кіровоградська
