kind,level,ref,detail
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801217,"parsed ""ДААРК-(Volume 324-1/405-520 Duvankoy volost, Simferopol district+++Volume 324-1/405-520 Duvankoy volost, Simferopol district+++)"" does not single out one of 116 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801246,"parsed ""ДААРК-(vol.), 1866+++vol.), 1866+++)"" does not single out one of 5 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801169,"parsed ""ДААРК-(Volume 299-1/360-617 Alushta volost, Yalta district+++Volume 299-1/360-617 Alushta volost, Yalta district+++)"" does not single out one of 256 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801236,"parsed ""ДААРК-(Volume 370-1/264-332 Mangush volost, Simferopol district; Volume 371-1/1-43 Zuya volost, Simferopol district+++Volume 370-1/264-332 Mangush volost, Simferopol district+++)"" does not single out one of 112 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801262,"parsed ""ДААРК-(Volume 608-1/1-37 Tavrida province+++Volume 608-1/1-37 Tavrida province+++)"" does not single out one of 47 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801210,"parsed ""ДААРК-(Volume 323-1/145-179 Karasubazar city+++Volume 323-1/145-179 Karasubazar city+++)"" does not single out one of 35 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801195,"parsed ""ДААРК-(Volume 319-1/142-253 Feodosiya district+++Volume 319-1/142-253 Feodosiya district+++)"" does not single out one of 111 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801197,"parsed ""ДААРК-(Volume 320-1/28-144 Baydary volost, Yalta district+++Volume 320-1/28-144 Baydary volost, Yalta district+++)"" does not single out one of 117 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801200,"parsed ""ДААРК-(Volume 321-1/202-330 Bakchisaray city+++Volume 321-1/202-330 Bakchisaray city+++)"" does not single out one of 105 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801204,"parsed ""ДААРК-(Volume 321-1/743-828 Bakchisaray city+++Volume 321-1/743-828 Bakchisaray city+++)"" does not single out one of 99 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007803039,"parsed ""ДААРК-(Volume 49-1/6605 Noble+++Volume 49-1/6605 Noble+++)"" does not single out one of 6 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801264_005_M92Q-9T5,"parsed ""ДААРК-(Volume 669-1/1-84 Alushta city+++Volume 669-1/1-84 Alushta city+++)"" does not single out one of 80 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801264_006_M92Q-9TP,"parsed ""ДААРК-(Volume 669-1/1-84 Alushta city+++Volume 669-1/1-84 Alushta city+++)"" does not single out one of 2 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801192_006_M9K1-LSY,"parsed ""ДААРК-(Volume 316-1/1-40 Yevpatoriya district+++Volume 316-1/1-40 Yevpatoriya district+++)"" does not single out one of 35 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801170_001_M9KC-632,"parsed ""ДААРК-(Volume 299-1/618-826 Alushta volost, Yalta district+++Volume 299-1/618-826 Alushta volost, Yalta district+++)"" does not single out one of 28 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801170_002_M9KC-63L,"parsed ""ДААРК-(Volume 299-1/618-826 Alushta volost, Yalta district+++Volume 299-1/618-826 Alushta volost, Yalta district+++)"" does not single out one of 181 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801194_005_M9KC-662,"parsed ""ДААРК-(Volume 319-1/31-142 Feodosiya district+++Volume 319-1/31-142 Feodosiya district+++)"" does not single out one of 21 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801194_007_M9KC-66G,"parsed ""ДААРК-(Volume 319-1/31-142 Feodosiya district+++Volume 319-1/31-142 Feodosiya district+++)"" does not single out one of 19 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801194_002_M9KC-66J,"parsed ""ДААРК-(Volume 319-1/31-142 Feodosiya district+++Volume 319-1/31-142 Feodosiya district+++)"" does not single out one of 16 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801194_004_M9KC-66K,"parsed ""ДААРК-(Volume 319-1/31-142 Feodosiya district+++Volume 319-1/31-142 Feodosiya district+++)"" does not single out one of 17 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801194_003_M9KC-66L,"parsed ""ДААРК-(Volume 319-1/31-142 Feodosiya district+++Volume 319-1/31-142 Feodosiya district+++)"" does not single out one of 19 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801194_001_M9KC-66N,"parsed ""ДААРК-(Volume 319-1/31-142 Feodosiya district+++Volume 319-1/31-142 Feodosiya district+++)"" does not single out one of 14 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801194_006_M9KC-66V,"parsed ""ДААРК-(Volume 319-1/31-142 Feodosiya district+++Volume 319-1/31-142 Feodosiya district+++)"" does not single out one of 17 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801207_002_M9KC-6PF,"parsed ""ДААРК-(Volume 321-1/1054-1091 Bakchisaray city+++Volume 321-1/1054-1091 Bakchisaray city+++)"" does not single out one of 29 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801207_003_M9KC-6PJ,"parsed ""ДААРК-(Volume 321-1/1054-1091 Bakchisaray city+++Volume 321-1/1054-1091 Bakchisaray city+++)"" does not single out one of 26 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801207_004_M9KC-6PK,"parsed ""ДААРК-(Volume 321-1/1054-1091 Bakchisaray city+++Volume 321-1/1054-1091 Bakchisaray city+++)"" does not single out one of 16 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801207_005_M9KC-6PN,"parsed ""ДААРК-(Volume 321-1/1054-1091 Bakchisaray city+++Volume 321-1/1054-1091 Bakchisaray city+++)"" does not single out one of 7 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801207_001_M9KC-6PV,"parsed ""ДААРК-(Volume 321-1/1054-1091 Bakchisaray city+++Volume 321-1/1054-1091 Bakchisaray city+++)"" does not single out one of 38 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801160_001_M9KC-6T2,"parsed ""ДААРК-(Volume 293-1/129-193, 195-205, 207-223 Uzen-Bash volost, Yalta district+++Volume 293-1/129-193, 195-205, 207-223 Uzen-Bash volost, Yalta district+++)"" does not single out one of 65 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801160_003_M9KC-6TG,"parsed ""ДААРК-(Volume 293-1/129-193, 195-205, 207-223 Uzen-Bash volost, Yalta district+++Volume 293-1/129-193, 195-205, 207-223 Uzen-Bash volost, Yalta district+++)"" does not single out one of 17 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801160_002_M9KC-6TL,"parsed ""ДААРК-(Volume 293-1/129-193, 195-205, 207-223 Uzen-Bash volost, Yalta district+++Volume 293-1/129-193, 195-205, 207-223 Uzen-Bash volost, Yalta district+++)"" does not single out one of 11 candidate files"
copy-ambiguous,file,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007801159_002_M9KC-6W5,"parsed ""ДААРК-(Volume 293-1/40-128 Uzen-Bash volost, Yalta district+++Volume 293-1/40-128 Uzen-Bash volost, Yalta district+++)"" does not single out one of 18 candidate files"
