id,title
2f900756-48f7-4429-8d30-8e17af51e9dd,Богословська церква, с. Небелівка Катеринопільський повіт,
33d248d1-4def-4b1b-9d2a-8e4e7c3e3482,Покровська церква, с. Товмач Катеринопільський повіт,
3806dc79-fca9-4e1d-9197-ea388fdf1703,Дмитрівська церква, с. Покотилове Катеринопільський повіт,
3909f1c2-5a95-4a6d-bd79-d23b89868c3c,Михайлівська церква, с. Хлипнівка Катеринопільський повіт,
3941ce6c-1a48-48f2-acf8-ba659e4898b7,Успенська церква, мко Звенигородка Катеринопільський повіт,
39443a37-1011-4609-bccf-27a705adbd2b,Церква Різдва Богоматері, с. Зеленків Катеринопільський повіт,
397bb6bc-2945-4058-b66a-d897c26f24a4,Троїцька церква, с. Тальне Катеринопільський повіт,
39c3afe1-0490-4557-ae86-2869aebd5901,Церква Успіння Пресвятої Богородиці, с. Кам'янече Катеринопільський повіт,
3b920fcc-9fc5-4be1-8207-8c3983ad5a2f,Різдвяно-Богородицька церква, слобода Комишуваха Славянський повіт,
3bc53457-f7de-4a3e-babd-404ded9f8dc6,Старообрядна община, м. Нікополь Катеринославський повіт,
3cfab3b1-be58-4090-b00c-5fbc4f8756bb,Синагога, м. Нікополь Катеринославський повіт,
3e5ff700-b02b-41ac-8e6f-8fa0c41be0c6,Церква Покрова Богоматері, с. Розсохуватка Катеринопільський повіт,
3eac2f17-0d52-4c13-bcc6-f8f4eb9d095a,Воздвиженська церква, с. Скотареве Катеринопільський повіт,
3ff5317b-bf16-4b51-9efc-dd68ad3bfecc,Трехсвятительська церква, с. Нижньодніпровськ Новомосковський повіт,
3ff6cb00-3201-4f79-83af-e1e840823647,Миколаївська церква, с. Нечаївка Катеринопільський повіт,
413f77c0-d364-44e7-88ce-7cb8c2bf39e5,Богословська церква, с. Вишнопіль Катеринопільський повіт,
424caea0-82fe-4ed9-8bb5-e198795574ee,Богословська церква, с. Кирилівка Катеринопільський повіт,
43c81fa5-505c-4ad4-9b90-0f78ffbebcc8,Успенська церква, м. Верхньодніпровськ Верхньодніпровський повіт,
43ea3c10-6836-4e9e-86b2-b088c47fb171,Михайлівська церква, с. Будище Катеринопільський повіт,
443b9734-abe7-4ae9-bd21-716f85ed6c4b,Церква великомучениці Параскови, с. Чеснопіль Катеринопільський повіт,
446c7b64-9ab3-4eca-9d1a-1d20c7a23eee,Церква Вознесіння Господнього, слобода Васильківка Павлоградський повіт,
447d0feb-083d-4432-a4c6-edf7fc28a72d,Троїцька церква, мко Шпола Катеринопільський повіт,
44a0af71-6983-47db-b7d5-024e0399cb26,Церква Святої великомучениці Варвари, с. Козацьке Катеринопільський повіт,
451f6f63-5270-4128-b15e-0d20ccb77a98,Покровський молитовний дім, с.Борисівка Бердянський повіт,
45d377ec-b474-458d-81ed-d1f308d4c5cb,Воздвиженська церква, с. Оксанина Катеринопільський повіт,
472d8778-f947-41fe-a40a-262f5339faf0,Іоанно-Богословська церква, с. Авдотівка Херсонський повіт,
48a25424-a38b-4f31-9632-4f6f69485347,Церква Різдва Богоматері, с. Ступичне Катеринопільський повіт,
49679461-3bcc-4562-805b-0e57e0dd062a,Покровська церква, с. Вільшанка Катеринопільський повіт,
4c41c363-c172-42c9-87c5-cb1da5375bd0,Церква Іоанна Богослова, с. Лип'янка Катеринопільський повіт,
5131bacf-e7f7-449e-bea0-b44ab585fe39,Покровська церква, с. Лоташеве Катеринопільський повіт,
51412108-6848-4e66-b1ef-b5f61d11318e,Троїцька церква, мко Троїцьке Херсонський повіт,
54bc6a62-01ed-4cc3-a36a-bef51c92dad2,Успенська церква, с. Лисича Балка Катеринопільський повіт,
5514a604-fa82-4395-8d71-05254edccb17,Кременчуцька поштово-телеграфна контора Управління Харківського округу зв'язку,
557f29ef-6675-4eac-b313-75d6e085a270,Покровська церква, с. Довгеньке Катеринопільський повіт,
57397b99-56a8-49b1-96bf-5ace343bf18f,Богословська церква, с. Левківка Катеринопільський повіт,
574a8a33-aa86-4e32-9d50-899acd8e3259,Дмитрівська церква, с. Іскрене Катеринопільський повіт,
57f72f5d-ca6b-42e3-9cab-4af379933676,Петропавлівська церква, с. Кобилянки Катеринопільський повіт,
5a5eff37-46f6-4b48-ad5e-2589ab528b02,Василівська церква, слобода Богданівка Павлоградський повіт,
5b5f04e4-1a8c-428a-9d03-e952142a11fc,Богословська церква, с. Коротине Катеринопільський повіт,
5c27ef8c-ab8c-464c-93e3-d66706a0206a,Преображенська церква, слобода Михайлівська Павлоградський повіт,
5d0c71f6-595e-4116-a3c3-21577d7ae6aa,Успенська церква, с. Табанове Катеринопільський повіт,
5f0627cc-7fd7-4a31-a918-4473485a87c0,Дмитрівська церква, с. Водяне Катеринопільський повіт,
6095703d-0933-435d-bd84-078cfd5d31e2,Покровська церква, с. Бабанка Катеринопільський повіт,
62ef7e6e-e92b-479f-896e-bfa50afa9614,Богословська церква, с. Кайтанівка Катеринопільський повіт,
66dd602d-39ae-4638-8ab4-50208c834619,Дмитрівська церква, с. Залізнячки Катеринопільський повіт,
672efb1d-8cce-4517-b935-72b3ca08a039,Полтавське губернське управління робітничо-селянської міліції (губміліція), м.Полтава Полтавська губернія, з 1923р. Полтавського окр. Полтавська губернія,
686567f0-b198-477f-b3f8-10386f1b74af,Перший район Кременчуцької окружної робітничо-селянської радянської міліції,
68c6a043-411f-4185-bfde-60e283b52c05,Сільськогосподарська артіль "Зоря життя", с.Петрівка Сем'янівської сільради Полтавського р-ну Полтавської окр, з 1939р. Кротенківської сільради Полтавського р-ну, з 1932р. Харківського р-ну,
6ead925c-87be-4a89-a832-9d482ed9cd18,Миколаївська церква, с. Зелене Катеринопільський повіт,
725014d5-39ae-4837-8f23-371ad41f1a89,Миколаївська церква, слобода Вірьовкина Славянський повіт,
7363ed85-aac2-4fd8-a756-edd4e4c03321,Уповноважений Полтавського губернського відділення Центрального управління військовими промисловими і сільськогосподарськими підприємствами України і Криму (Цувійськпромгосп) по Зіньківському повіту,
73dafefe-4d03-40ed-8733-5f5d652ef48b,Дмитрівська церква, с. Лозуватка Катеринопільський повіт,
77d86fb6-ff70-43f6-8d00-11431c65ba6e,Дмитрівська церква, с. Стецівка Катеринопільський повіт,
7a492951-f856-439a-b81b-5a874a291a51,Сільськогосподарська артіль ім. Леніна, с.Бузова Пасківка Минівської сільради, з 1956р. с.Курилехівка Курилехівської сільради Полтавського р-ну, до 1930р. Полтавського окр., з 1932р. Харківської обл.,
7a766020-8ad6-46c0-9035-d4a86f40ada8,Церква Покрова Богоматері, с. Гордашівка Катеринопільський повіт,
7e29b1b3-4793-4079-bbb4-46cc32e0cb5e,Військовий надзвичайний суд при залозі військ Української Народної Республіки,
7ee49668-5d0f-4ebe-8baf-2dc3571bb89c,Воздвиженська церква, с. Перегонівка Катеринопільський повіт,
7eff3e76-d343-4f3b-a46e-3232d77793c7,Церква св. Миколая, слобода Микільська Павлоградський повіт,
823247b5-eb5b-46ad-ac1e-b29027fdb93d,Миколаївська церква, слобода Лінивки Костянтиноградський повіт,
83b9e51f-752d-4417-80f6-91deeb879b8d,Дмитрівська церква, с. Антонівка Катеринопільський повіт,
85cb3b6e-a2d9-4683-a661-eccec9870261,Київський вищий військовий суд Української Народної Республіки,
86bf8167-10a6-4a2e-a29a-935a276b6934,Церква слободи Покровської, слобода Покровська Павлоградський повіт,
8dc7002b-69fb-4c32-9182-96ea2b05c500,Церква Різдва Пресвятої Богородиці, с. Кримки Катеринопільський повіт,
8e7190db-fc08-4171-b074-83a548804aaf,Церква Покрова Богоматері, с. Юрківка Катеринопільський повіт,
8fbb0b65-9394-42cf-a731-5c037ccc2b9d,Церква Різдва Пресвятої Богородиці, с. Підвисоке Катеринопільський повіт,
905cf3c9-c853-48a7-9b58-28aff26a5450,Миколаївська церква, с. Киселівка Катеринопільський повіт,
91f6ecdc-5d24-449b-9298-703386abf77f,Преображенська церква, мко Звенигородка Катеринопільський повіт,
95f93977-f24b-4c13-8a0f-5c6c9cd05894,Соборна Воскресіння Господнього церква, мко Катеринопіль Катеринопільський повіт,
971280ee-d681-403e-96ff-66bb6610ec02,Богословська церква, с. Багачівка Катеринопільський повіт,
99685728-cde3-4d7e-9d0b-58ff75f57561,Церква св. Георгія Побідоносця, слобода Григорівська Павлоградський повіт,
9ad3dc82-923c-4231-8c23-2e79fe27fd07,Михайлівська церква, с. Топильна Катеринопільський повіт,
9e5b1d27-8b5e-41aa-b79b-8a36693df287,Церква Різдва Богоматері, с. Маслове Катеринопільський повіт,
9ea5c6fe-305e-4df1-89eb-c531f0f1810e,Воздвиженська церква, с. Глибочок Катеринопільський повіт,
a0df14fe-bce8-4594-9685-dfd948ae811c,Різдвяно-Богородицька церква, с. Михайло-Заводське Херсонський повіт,
a1790d91-ca88-42b8-b3be-b7480a6b5410,Михайлівська церква, с. Романівка Катеринопільський повіт,
a1c2d42e-d2ef-4061-9398-63af153bbc7f,Покровська церква, с. Талянки Катеринопільський повіт,
a2463068-29cd-4a27-94fc-f804d3e55876,Церква Різдва Богоматері, с. Ярошівка Катеринопільський повіт,
a47f3836-a618-4ee4-a21d-4c758c942b1f,Покровська церква, с. Веселий Кут Катеринопільський повіт,
a48c4879-a27a-4b17-9f34-b3674cd187eb,Церква Різдва Пересвятої Богородиці, с. Лебединка Катеринопільський повіт,
a656213a-3842-4203-9b75-a9ab62e28c39,Церква Різдва Пресвятої Богородиці, с. Свердликове Катеринопільський повіт,
a6cc072e-fa74-4e79-8be4-c7cb8f037669,Миколаївська церква, мко Шпола Катеринопільський повіт,
ac378b12-cb69-4937-85c7-0ea19918d489,Михайлівська церква, с. Капустине Катеринопільський повіт,
ac80ee1f-fb42-449f-895f-3b8edce70233,Церква Святого Іоанна Богослова, слобода Боянська, з 1773 р. церква перенесена у слободу Попельнасту Верхньодніпровський повіт,
ae18c1bc-4a0d-4316-976d-fb82b92437c5,Покровська церква, с. Яснопіль Катеринопільський повіт,
b2dd6e25-1756-4a03-811a-7d85a2cb1f83,Управа з ремонту війська Української Народної Республіки,
b35137fd-baaf-4a74-8b5b-b9ca62480af3,Михайлівська церква, с. Бродецьке Катеринопільський повіт,
b585cdd3-6796-4d1c-af0d-26dbe63f1c39,Покровська церква, с. Животівка Липовецький повіт,
b5df96fa-397a-4fe2-a674-80c11d6f1d54,Дмитрівська церква, с. Танське Катеринопільський повіт,
b7b61efb-5300-4193-91f3-7e83985e26e3,Церква св. Дмитрія Ростовського чудотворця, слобода Дмитрівська Павлоградський повіт,
bb303658-f138-45e0-9f86-314b75c398cc,Богословська церква, с. Княжа Катеринопільський повіт,
bcf8db29-4bbe-400a-b1e8-0cd34cca86be,Миколаївська церква, с. Васильків Катеринопільський повіт,
c2bc31a7-2ebd-4c96-8871-e0f9d70b7051,Михайлівська церква, с. Розсохуватка Катеринопільський повіт,
c56b99ca-c261-406b-9d08-87c81ee2fda3,Покровська церква, с. Озірна Катеринопільський повіт,
c6fd4b7d-b8bf-4b3e-be6b-3839d6bae273,Покровська церква, с. Петриківка Катеринопільський повіт,
c7d30601-1c14-48e5-aef6-1d2d029e18bf,Церква Св. Миколая, с. Грушуваха Славянський повіт,
c849d35b-6bf7-41f8-ad0a-e0d3f5b8bf0b,Миколаївська церква, с. Новоселиця Катеринопільський повіт,
c8b554f2-b69d-4d9b-8ae2-9bd216e517e3,Покровська церква, м. Павлоград Павлоградський повіт,
cabbdcd0-042c-4f93-a376-18fbb5691523,Георгіївська церква, с. Нерубайка Катеринопільський повіт,
cded703b-e492-4e97-bbff-996929adfd37,Михайлівська церква, с. Майданецьке Катеринопільський повіт,
ce2d413a-a90c-4440-9010-d64bd8e81283,Хрестовоздвиженська церква, с. Нове Костянтиноградський повіт,
ce56eea1-3c7c-4c69-b7ee-a39e90e2a1cd,Миколаївська церква, мко Торговиця Катеринопільський повіт,
ce6748b2-5611-4f42-9946-edef9362fa69,Церква Преподобної Параскеви, с. Коржовий Кут Катеринопільський повіт,
d00e641e-5360-4bbf-9d08-5b504668211e,Троїцька церква, слобода Троїцька Павлоградський повіт,
d34091b2-6f16-4240-ad71-5ad577430acd,Церква Покрова Богоматері, с. Майданівка Катеринопільський повіт,
d803c0f9-e32a-451d-8681-1963d4322b59,Дмитрівська церква, с. Берибіс Катеринопільський повіт,
da475c54-8b37-44ea-ab60-2f6e5e06acd1,Покровська церква, с. Ромейківка Катеринопільський повіт,
de282774-c589-4655-91f5-4c9219dff80a,Покровська церква, с. Тарасівка Катеринопільський повіт,
dedff255-f22b-4e5a-8c20-88e7494d8256,Церква Різдва Богоматері, с. Кавунівка Катеринопільський повіт,
df4173e7-e6ca-4b0e-b278-a4af85b5a936,Церква Святої великомучениці Варвари, с. Пальчик Катеринопільський повіт,
e05053b8-d6a0-40e4-b609-bf25f93fea8d,Покровська церква , м. Павлоград Павлоградський повіт,
e1ecb864-0a36-4adf-bc00-a4ccb1e67c74,Миколаївська церква, мко Нововоронцовка Херсонський повіт,
e56526c2-e80e-42cc-a95d-e7b7db6092c1,Миколаївська церква, с. Вікнине Катеринопільський повіт,
e6aa2e80-201c-43a6-bc49-3094ae5fa8fb,Церква Різдва Богоматері, с. Вербовець Катеринопільський повіт,
e8171491-a8d0-45f6-8ed5-2150964b0783,Олексіївська церква, слобода Хороша Павлоградський повіт,
ec0c1237-8fba-42e4-bf1e-4928bd987996,Покровська церква, с. Кам'януватка Катеринопільський повіт,
f5e1c744-59b1-4415-877a-3d79beb87f7d,Церква Успіння Богоматері, с. Полонисте Катеринопільський повіт,
f6a843d5-2452-4719-a3c6-bb7429bae7a6,Різдвяно-Богородицька церква, с. Княжин Лиман Славянський повіт,
f71c52a2-759d-4188-a5a1-47f0fc336d01,Церква Святого Андрія Першозваного, с. Острівець Катеринопільський повіт,
fb8262c0-781f-4c71-954d-eb6fb03ffec5,Покровська церква, с. Глиняне Катеринопільський повіт,
fc4e90d1-926d-4819-9b48-9bbc5f636105,Іоанно-Богословська церква, с. Суха Калигірка Катеринопільський повіт,
ffbb2dc6-2873-4601-95ca-cb3b366399a9,ЄдиновірськаТроїцька церква, с. Троїцьке Одеський повіт,
