target,target_id,url,loser_id,loser_parsed,loser_was_linked,survivor_id,survivor_parsed_before,survivor_parsed_after
file,8056e8bb-f3ff-4523-9917-bd05c9872ed4,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007806263_003_M9MK-33D,56c8c1bf-9e19-4569-8054-a47dfbf3f330,ДАМО-(484-1-561+++484-1-561+++484-1-561),f,5f626556-84fc-4545-8326-c463399003a0,"ДАМО-(484-1-561+++484-1-561+++484-1-561_1878,1899)",ДАМО-(484-1-561+++484-1-561+++484-1-561)
file,3a58c4cf-60d3-45a2-a17b-e0845075652d,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007806790_001_M9MK-3M6,021ce342-e891-4a2b-ae59-7088e730f8cb,ДАДнО-(193-2-7+++193-2-7+++193-2-7),f,73de427d-3497-4d08-a1cf-fa13510b7534,ДАДнО-(193-2-7+++193-2-7+++193-2-7_1893-1895),ДАДнО-(193-2-7+++193-2-7+++193-2-7)
file,ce6d0d4b-30b5-4b36-98b7-368937b0e50f,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808017_005_M9MK-79X,88f15d04-7a22-4620-b3bc-cf959988e8aa,ДАЧкО-(931-1-2981+++931-1-2981+++931-1-2981),f,dc65ece3-cc59-4c9f-a394-ad3ac163a0d4,ДАЧкО-(931-1-2981+++931-1-2981+++931-1-2981_1879),ДАЧкО-(931-1-2981+++931-1-2981+++931-1-2981)
file,d3e20d34-68b5-4156-8466-cf9b93985a37,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808017_007_M9MK-79N,3422f764-60aa-4bdf-98bb-d75eaa6b5bae,ДАЧкО-(931-1-2983+++931-1-2983+++931-1-2983),f,f8a04ba4-7f2e-4e35-9514-2114f39a8bd0,ДАЧкО-(931-1-2983+++931-1-2983+++931-1-2983_1879),ДАЧкО-(931-1-2983+++931-1-2983+++931-1-2983)
file,054fb8c6-8d7c-4a56-b5fb-84bf8f276dcf,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808017_008_M9MK-79J,39b8b73f-30dd-4148-9c74-1671b3c3faba,ДАЧкО-(931-1-2984+++931-1-2984+++931-1-2984),f,b314de27-c05f-4f59-8b02-b130bb474696,ДАЧкО-(931-1-2984+++931-1-2984+++931-1-2984_1880),ДАЧкО-(931-1-2984+++931-1-2984+++931-1-2984)
file,3389cada-d568-43fd-9aec-9a9597ca0a0e,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808018_001_M9MK-WMP,8289f917-e4c9-4608-95d8-a27a1fdfb841,ДАЧкО-(931-1-2985+++931-1-2985+++931-1-2985),f,5b4e1ad8-ac2f-4865-9219-e19bfc5bf8df,ДАЧкО-(931-1-2985+++931-1-2985+++931-1-2985_1881-1883),ДАЧкО-(931-1-2985+++931-1-2985+++931-1-2985)
file,f02eac98-6308-4a7f-92d0-835930edc34a,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808018_002_M9MK-WM5,3ed82c59-e362-49a3-9108-1aa065e3189d,ДАЧкО-(931-1-2986+++931-1-2986+++931-1-2986),f,211c33e2-8b05-4463-bf23-9ab440cf8b4b,"ДАЧкО-(931-1-2986+++931-1-2986+++931-1-2986_1881-1884,1886,1888)",ДАЧкО-(931-1-2986+++931-1-2986+++931-1-2986)
file,5021e838-3aac-4ebc-b5a4-acea78b7cc88,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808018_003_M9MK-WMR,faf7f703-8867-4a10-9c6d-1dc8ca99aae5,ДАЧкО-(931-1-2987+++931-1-2987+++931-1-2987),f,534fc1ec-adb6-4fc5-8e89-beb0c8a0ffba,ДАЧкО-(931-1-2987+++931-1-2987+++931-1-2987_1881-1884),ДАЧкО-(931-1-2987+++931-1-2987+++931-1-2987)
file,5021e838-3aac-4ebc-b5a4-acea78b7cc88,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808019_001_M9MK-74F,a32a77de-7bb1-4735-99a0-0b9a4163692a,ДАЧкО-(931-1-2987+++931-1-2987+++931-1-2987),f,9acc2409-bc27-4358-969e-9a3c70174013,ДАЧкО-(931-1-2987+++931-1-2987+++931-1-2987_1884),ДАЧкО-(931-1-2987+++931-1-2987+++931-1-2987)
file,4a5f1808-a720-4d20-a043-dfb97b616654,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007808019_002_M9MK-74N,47d47d71-aabc-4c42-9ea1-f3d975932565,ДАЧкО-(931-1-2988+++931-1-2988+++931-1-2988),f,a501ba4c-ae55-41ee-a109-5d08c1cb358b,"ДАЧкО-(931-1-2988+++931-1-2988+++931-1-2988_1885-1887,1889)",ДАЧкО-(931-1-2988+++931-1-2988+++931-1-2988)
