target,rule,target_full_code,parsed,resource,oc_id,target_id,url
file,R0 norm+separators,ДАДНО-Р6508-30-103,ДАДнО-Р6508-30-103,wiki,7e5fd36f-251a-4dca-9882-7b2f0fd2a9e6,b580f0c6-3f08-4792-9378-688c072398d7,https://uk.wikisource.org/wiki/Архів:ДАДнО/Р-6508/30/103
file,R0 norm+separators,ДАДНО-Р6508-30-159,ДАДнО-Р6508-30-159,wiki,e607dc16-d6e5-48e2-b645-48f5c79513e7,7d862281-25fc-4f49-bb4a-348d515b9a81,https://uk.wikisource.org/wiki/Архів:ДАДнО/Р-6508/30/159
file,R0 norm+separators,ДАДНО-Р6508-8-631,ДАДнО-Р6508-8-631,wiki,0d776b2c-8ca5-472e-8b18-99d900b10265,200e946a-f6cb-4b55-8318-4f5e5766aef2,https://uk.wikisource.org/wiki/Архів:ДАДнО/Р-6508/8/631
file,R0 norm+separators,ДАДОО-382-1-1,ДАДоО-(382-1-1+++382-1-1+++382-1-1),fs,a3117e91-24e1-4460-9dea-3ffdf6a96ad3,ab0b1e63-ce28-498e-a93c-89fb76d4cc7b,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007606074_004_M924-LX5
file,R0 norm+separators,ДАДОО-382-1-2,ДАДоО-(382-1-2+++382-1-2+++382-1-2),fs,dddc5a21-334d-4d16-8b02-8dcb6d323307,8a8b103b-238f-4232-aaa5-2b85adfd40fe,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007606074_005_M924-LXP
file,R0 norm+separators,ДАДОО-382-1-3,ДАДоО-(382-1-3+++382-1-3+++382-1-3),fs,6bdcc6d2-91ff-4023-b197-58cfe53d61a4,d570038f-508f-45ca-a368-d68122a20676,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007606074_006_M924-LX2
file,R0 norm+separators,ДАДОО-382-1-4,ДАДоО-(382-1-4+++382-1-4+++382-1-4),fs,bcf059df-3b13-4ba2-a986-513b6daf9fc3,994a66d2-ee17-46aa-83ea-16620815e1fc,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=007606074_007_M924-LXG
file,R0 norm+separators,ДАЗКО-151-2-1292,ДАЗкО-(151-2-1292+++151-2-1292+++151-2-1292),fs,b856a21b-ca67-4637-990a-993a4fb8c4f3,4fcdf977-940e-4cef-ba26-3edc130aa6ba,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127839830
file,R0 norm+separators,ДАЗКО-151-9-2450,ДАЗкО-(151-9-2450+++151-9-2450+++151-9-2450),fs,9c0abeab-8990-48a8-95a0-ab19e7639af0,f209d0fa-3566-4360-a801-daae727ece8c,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127765057
file,R0 norm+separators,ДАЗКО-1606-9-102,ДАЗкО-(1606-9-102+++1606-9-102+++1606-9-102),fs,a806a6da-6f09-4173-9a57-004b24ecf277,b0eb8f0d-3cea-4953-9b85-4486645ba5bd,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127945238
