online_copy_id,file_id,full_code,parsed
00d7aa12-2bb6-49bc-a40e-ede4b8601bf1,459cb89f-4a9f-4d17-8561-4da5a0a4365e,ДАДнО-Р6508-6ДОД-18,ДАДнО-(Р-6508-6дод.-18+++Р-6508-6дод.-18+++Р-6508-6дод.-18_1928-1929)
05aa03d5-4b66-4c02-835b-eaea2ec370f9,2276d904-1288-4c9b-bb63-0c28cb4514ea,ДАДнО-Р6508-6ДОД-19,ДАДнО-(Р-6508-6дод.-19+++Р-6508-6дод.-19+++Р-6508-6-дод.19)
7227cd16-846a-4768-8c8c-0c394f841a7b,2276d904-1288-4c9b-bb63-0c28cb4514ea,ДАДнО-Р6508-6ДОД-19,"ДАДнО-(Р-6508-6дод.-19+++Р-6508-6дод.-19+++Р-6508-6-дод.19_1928-1929,1933)"
0f352db9-5f17-41fc-a70c-f8208fd9582a,a53e44a0-11fb-4b20-922f-d9ab71b64c92,ДАДнО-Р6508-6ДОД-20,ДАДнО-(Р-6508-6дод.-20+++Р-6508-6дод.-20+++Р-6508-6дод.-20)
8f599b87-b13a-470a-8ba6-b20a3d187705,a53e44a0-11fb-4b20-922f-d9ab71b64c92,ДАДнО-Р6508-6ДОД-20,ДАДнО-(Р-6508-6дод.-20+++Р-6508-6дод.-20+++Р-6508-6дод.-20_1929-1933)
45624026-b8d2-4fd3-a0e3-bb85db3c4729,4188763c-cb8b-4e40-9985-4d086a3700f3,ДАДнО-Р6508-6ДОД-21,ДАДнО-(Р-6508-6дод.-21+++Р-6508-6дод.-21+++Р-6508-6дод.-21_1929-1933)
39d1b596-9433-45a6-947f-968d2be1922b,f3da2e26-313b-4a52-862f-cbd13c810f03,ДАДнО-Р6508-6ДОД-22,ДАДнО-(Р-6508-6дод.-22+++Р-6508-6дод.-22+++Р-6508-6-22)
6fdd9a54-ccff-45b6-b81d-046ff2f3a125,f3da2e26-313b-4a52-862f-cbd13c810f03,ДАДнО-Р6508-6ДОД-22,ДАДнО-(Р-6508-6дод.-22+++Р-6508-6дод.-22+++Р-6508-6-22_1929-1933)
8b060d08-4bd4-4452-a57c-8000da442a64,8c62c8f5-ea13-4744-9956-143950eb4098,ДАДнО-Р6508-6ДОД-23,ДАДнО-(Р-6508-6дод.-23+++Р-6508-6дод.-23+++Р-6508-6-дод.23)
d63d4df3-7d5a-49cf-9589-052e2726c1d4,8c62c8f5-ea13-4744-9956-143950eb4098,ДАДнО-Р6508-6ДОД-23,ДАДнО-(Р-6508-6дод.-23+++Р-6508-6дод.-23+++Р-6508-6-дод.23_1929-1933)
e63f107d-8d93-49d8-b357-c84e36721771,ce336c8f-7321-4ee7-ac6b-5864777aff34,ДАДнО-Р6508-6ДОД-24,ДАДнО-(Р-6508-6дод.-24+++Р-6508-6дод.-24+++Р-6508-6-дод.24_1929-1931)
