full_code,files,title,fond_title
ДАКО-П10097-13377,0,Опис 13377,Первинна організація Компартії України воєнно-наукового товариства при Київськом
ДАКО-П10098-13378,0,"","Первинна організація Компартії України підприємства «Південенерголегпром», Печер"
ДАКО-П10099-13379,0,"",Первинна організація КП України проектно-конструкторського бюро Міністерства ком
ДАКО-П10100-13380,0,"",Первинна організація Компартії України Київського спеціалізованого управління № 
ДАКО-П10101-13381,0,"","Партійний комітет домобудівельного комбінату №1 тресту «Головкиївміськбуд», Пече"
ДАКО-П10102-13382,0,"",Партійний комітет Державного комітету Української РСР з матеріально-технічного п
ДАКО-П10104-13386,0,"",Партійний комітет автотранспортного підприємства № 09102 Київського міського вир
ДАКО-П10106-13387,0,"","Комітет ЛКСМ України Київського станкобудівельного виробничого об'єднання, Радян"
ДАКО-П10107-13388,0,"","Комітет ЛКСМ України заводу «Червоний екскаватор», Ленінградський район м. Київ"
ДАКО-П10108-13389,0,"",Комітет ЛКСМ України Київського виробничого об'єднання полімерного машинобудуван
ДАКО-П10109-13390,0,"","Комітет ЛКСМ України Київського інституту інженерів цивільної авіації, Жовтневий"
ДАКО-П10111-13406,0,"","Комітет ЛКСМ України Київського медичного училища № 2, Жовтневий район м. Київ"
ДАКО-П10112-13407,0,Опис 13407,Комітет ЛКСМ України заводу ім. Лепсе виробничого об'єднання «Київтрактородеталь
ДАКО-П10113-13408,0,Опис 13408,"комітет Київського метрополітену, Жовтневий район м. Київ"
ДАКО-П10114-13409,0,"","Комітет ЛКСМ заводу «Київприлад», Жовтневий район м. Київ"
ДАКО-П10117-13445,0,"","Комітет ЛКСМ України Київського виробничого об'єднання ім. С. П. Корольова, Жовт"
ДАКО-П10118-13446,0,"","Комітет ЛКСМ України технікуму радянської торгівлі, Ленінградський район м. Київ"
ДАКО-П10120-13447,0,"",Комітет ЛКСМ України Київського ордена Трудового Червоного прапора заводу «Реле 
ДАКО-П10123-13452,0,"","Броварський промислово-виробничий партком, м. Бровари Київська область"
ДАКО-П10124-13453,0,"","Партійний комітет інституту кібернетики ім. В. М. Глушкова Академії наук УРСР, М"
ДАКО-П10125-13454,0,"","Комітет ЛКСМ України Київського науково-виробничого об'єднання «Квант», Московсь"
ДАКО-П10129-13457,0,"","Партійний комітет будівництва Київської гідроелектростанції, Вишгородський район"
ДАКО-П10131-13471,0,"","Комітет ЛКСМ України науково-виробничого об'єднання «Маяк», Мінський район м. Ки"
ДАКО-П10132-13472,0,"","Комітет ЛКСМ України заводу автоматики ім. Г. І. Петровського, Радянський район "
ДАКО-П10133-13473,0,"","Первинна організація Компартії України професійно-технічного училища № 14, Кагар"
ДАКО-П10135-13474,0,Опис 13474,"Первинна організація Компартії України районного агропромислового об'єднання, м."
ДАКО-П10137-13475,0,"","Партком Макарівського виробничого колгоспно-радгоспного управління, смт. Макарів"
ДАКО-П10138-13476,0,"","Первинна організація Компартія України радгоспу ім. Котовського, Макарівського р"
ДАКО-П10139-13477,0,"","Партійний комітет радгоспу «Новоселківський», Макарівський район Київська област"
ДАКО-П10142-13478,0,"","Первинна організація Компартії України відділу народної освіти райвиконкому, Мак"
ДАКО-П10143-13479,0,Опис 13479,Первинна організація Компартії України управління сільського господарства райвик
ДАКО-П10144-13480,0,"","Первинна організація Компартії України редакції газети «Червона зірка», Миронівс"
ДАКО-П10145-13481,0,"","Первинна організація Компартії України комбінату хлібопродуктів, Миронівський ра"
ДАКО-П10146-13482,0,"","Первинна організація Компартії України управління сільського господарства, м. Ми"
ДАКО-П10150-13505,0,"","Протоколи пленумів, засідань бюро, постанови, Комітет ЛКСМ України Кагарлицького"
ДАКО-П10151-13506,0,"","Партійний комітет Бориспільського виробничого колгоспно-радгоспного управління, "
ДАКО-П10152-13507,0,"","Комітет ЛКСМ України Бориспільського об'єднаного авіазагону, м. Бориспіль, Київс"
ДАКО-П10153-13508,0,Опис 13508,Комітет ЛКСМ України Бориспільського виробничого колгоспно-радгоспного управлінн
ДАКО-П10161-13511,0,"",Первинна організація Компартії України міського середнього професійно-технічного
ДАКО-П10163-13512,0,Опис 13512,Первинна організація Компартії України Бортницького управління зрошувальної сист
ДАКО-П10174-13513,0,"","Первинна організацію Компартії України лісгоспзагу, Бориспільський район Київськ"
ДАКО-П10175-13514,0,Опис 13514,"Партійний комітет радгоспу «Бориспільський», Бориспільський район Київська облас"
ДАКО-П10176-13515,0,"","Партійний комітет радгоспу «Промінь», Бориспільський район Київська область"
ДАКО-П10177-13516,0,Опис 13516,"Партійний комітет радгоспу «Дударківський», Бориспільський район Київська област"
ДАКО-П10178-13517,0,Опис 13517,"Партійний комітет радгоспу «Глибоцький», Бориспільський район Київська область"
ДАКО-П10179-13518,0,Опис 13518,"Партійний комітет радгоспу «Сеньківський», Бориспільський район Київська область"
ДАКО-П10180-13519,0,"","Партійний комітет радгоспу «Любарецький», Бориспільський район Київська область"
ДАКО-П10181-13520,0,"","Партійний комітет радгоспу «Вишеньківський», Бориспільський район Київська облас"
ДАКО-П10182-13521,0,"","Партійний комітет радгоспу «Жданівський», Бориспільський район Київська область"
ДАКО-П10183-13522,0,"","Партійний комітет радгоспу «Вороньківський», Бориспільський район Київська облас"
ДАКО-П10184-13523,0,Опис 13523,"Партійний комітет радгоспу «Рогозівський», Бориспільський район Київська область"
ДАКО-П10186-13524,0,Опис 13524,"Комітет ЛКСМ України Яготинського виробничого колгоспно-радгоспного управління, "
ДАКО-П10189-13525,0,"",Первинна організація Компартії України Згурівського професійно-технічного училищ
ДАКО-П10191-13526,0,"",Первинна організація Компартії України Головного підприємства виробничого швейно
ДАКО-П10192-13527,0,"",Первинна організація Компартії України головного підприємства Київського обласно
ДАКО-П10194-13528,0,Опис 13528,"Первинна організація Компартії України виробничого підприємства електромереж, м."
ДАКО-П10196-13529,0,"","Партійний комітет цукрозаводу ім. Ілліча, Яготинський район Київська область"
ДАКО-П10201-13534,0,"",Первинна організація Компартії України редакції районної газети «Зоря комунізму»
ДАКО-П10202-13535,0,"",Первинна організація Компартії України Бородянського середнього професійно-техні
ДАКО-П10203-13536,0,"","Первинна організація Компартії України Білоцерківського медичного училища, м. Бі"
ДАКО-П10208-13537,0,"",Первинна організація Компартії України Білоцерківського філіалу інституту «УкрНД
ДАКО-П10211-13538,0,"","Первинна організація Компартії України радгоспу «Прапор Леніна», Яготинський рай"
ДАКО-П10214-13539,0,"","Партійний комітет радгоспу ім. Чапаєва, Яготинський район Київська область"
ДАКО-П10217-13540,0,"","Первинна організація Компартії України Згурівської районної лікарні, Згурівський"
ДАКО-П10220-13541,0,"","Первинна організація Компартії України комбінату «Будіндустрія», м. Біла Церква "
ДАКО-П10233-13544,0,"","Партійний комітет тресту «Білоцерківхімбуд», м. Біла Церква Київська область"
ДАКО-П10234-13545,0,"","Богуславський промислово-виробничий партком КП України, м. Богуслав Київська обл"
ДАКО-П10248-13554,0,"","Первинна організація Компартії України району електричних мереж, Чорнобильський "
ДАКО-П10249-13555,0,Опис 13555,"Партком Чорнобильського виробничого колгоспно-радгоспного управління, м. Чорноби"
ДАКО-П10250-13556,0,"",Первинна організація Компартії України Чорнобильської автоколони Іванківського а
ДАКО-П10251-13557,0,"","Первинна організація Компартії України районного вузла зв'язку, м. Чорнобиль Киї"
ДАКО-П10252-13558,0,"",Первинна організація Компартії України пересувної механізованої колони № 169 тре
ДАКО-П10253-13559,0,"","Первинна організація Компартії України міжколгоспного будівельного управління, Ч"
ДАКО-П10254-13560,0,Опис 13560,"Первинна організація Компартії України управління сільського господарства, Чорно"
ДАКО-П10255-13561,0,Опис 13561,"Первинна організація Компартії України побутового комбінату, Чорнобильський райо"
ДАКО-П10256-13562,0,"","Первинна організація Компартії України районного об'єднання ""Сільпгосптехніка"", "
ДАКО-П10257-13563,0,Опис 13563,"Первинна організація Компартії України лісгоспзагу, Чорнобильський район Київськ"
ДАКО-П10258-13564,0,Опис 13564,"Первинна організація Компартії України Новошепелицького лісгоспзагу, Чорнобильсь"
ДАКО-П10259-13565,0,Опис 13565,"Партійний комітет радгоспу ""Прип'ятський"", Чорнобильський район Київська область"
ДАКО-П10263-13572,0,"","Первинна організація Компартії України відділу внутрішнійх справ райвиконкому, м"
ДАКО-П10264-13573,0,"","Первинна організація Компартії України колгоспу ім. Фрунзе, с. Чубинці Сквирськи"
ДАКО-П10272-13574,0,"","Первинна організація Компартії України приладобудівельного заводу, Ставищенський"
ДАКО-П10273-13575,0,"","Первинна організація Компартії України управління сільського господарства, Стави"
ДАКО-П10276-13576,0,"","Первинна організація Компартії України редакції районної газети ""Прапор Леніна"","
ДАКО-П10282-13577,0,"","Поліський промислово-виробничий партком, смт. Поліське Київська область"
ДАКО-П10283-13578,0,"",Первинна організація Компартії України районного управління сільського господарс
ДАКО-П10284-13579,0,"","Первинна організація Компартії України радгоспу ""Дружнянський"", с. Дружня Бородя"
ДАКО-П10285-13580,0,"","Партійний комітет радгоспу ""Майданівський"" підсобного господарства виробничого о"
ДАКО-П10287-13581,0,"","Первинна організація Компартії України Немішаївської середньої школи, Бородянськ"
ДАКО-П10288-13582,0,Опис 13582,Первинна організація Компартії України Клавдієвського дослідно-експериментальног
ДАКО-П10289-13583,0,"",Первинна організація Компартії України Клавдієвської фабрики ялинкових виробів о
ДАКО-П10296-13585,0,"","Первинна органзація Компартії України редакції газети ""Баришівські вісті"", смт. "
ДАКО-П10299-13586,0,Опис 13586,"Первинна організація Компартії України установи АЮ 45/95, Баришівський район Киї"
ДАКО-П10303-13587,0,Опис 13587,"Первинна організація Компартії України плодорозплідницького радгоспу, Баришівськ"
ДАКО-П10308-13588,0,"","Первинна організація Компартії України Березанської сукрнної фабрики, Баришівськ"
ДАКО-П10309-13589,0,Опис 13589,"Первинна організація Компартії України Баришівського шкіряного заводу, смт. Бари"
ДАКО-П10312-13590,0,Опис 13590,"Партійний комітет радгоспу ""Більшовик"", Баришівський район Київська область"
ДАКО-П10313-13591,0,"","Первинна організація Компартії України управління сільського господарства, Бариш"
ДАКО-П10314-13592,0,"","Партійний комітет Морозівської птахофабрики, Баришівський район Київська область"
ДАКО-П10315-13593,0,"","Партійний комітет радгоспу ""Заповіт Леніна"", Баришівський район Київська область"
ДАКО-П10316-13594,0,"","Партійний комітет радгоспу ""Семенівський"", Баришівський район Київська область"
ДАКО-П10317-13595,0,"","Партійний комітет радгоспу ім. Леніна, Баришівський район Київська область"
ДАКО-П10318-13596,0,"","Партійний комітет радгоспу ім. Комінтерна, Баришівський район Київська область"
ДАКО-П10319-13597,0,"","Партійний комітет радгоспу ""Перемога"", Баришівський район Київська область"
ДАКО-П10320-13598,0,Опис 13598,"Партійний комітет радгоспу ""Україна"", Баришівський район Київська область"
ДАКО-П10321-13599,0,Опис 13599,"Первинна організація Компартії України радгоспу ""Пилипчанський"", Баришівський ра"
ДАКО-П10322-13600,0,"","Партійний комітет радгоспу ім. Жданова, Згурівський район Київська область"
ДАКО-П10323-13601,0,"","Первинна організація Компартії України радгоспу ""Усівський"", Баришівський район "
ДАКО-П10325-13602,0,"",Первинна організація Компартії України Баришівського районного відділу внутрішні
ДАКО-П10326-13603,0,Опис 13603,"Партійний комітет радгоспу ""Лихнівський"", Баришівський район Київська область"
ДАКО-П10328-13604,0,"","Поліський промислово-виробничий комітет ЛКСМ України, смт. Поліське Київська обл"
ДАКО-П10329-13605,0,Опис 13605,Комуністичний осередок 8-го артилерійського повітроплавального загону Українсько
ДАКО-П10330-13606,0,"",Комуністичний осередок постійної повітряноплавальної бази № 2
ДАКО-П10331-13607,0,"",Таращанський повітовий комітет КП(б)України
ДАКО-П10332-13608,0,Опис 13608,"Коміністичний осередок при тресті ""Укркаолін"""
ДАКО-П10337-13609,0,"","Партійний комітет тресту ""Броварисільбуд"" Міністерства сільського будівництва УР"
ДАКО-П10349-13660,0,"","Первинна організація Компартії України Дарницького відділу внутрішніх справ, м. "
ДАКО-П10351-13661,0,"","Партійний комітет завлду ""Радіовимірювач"" Міністерства промисловості СРСР, Дарни"
ДАКО-П10355-13666,0,"","Комітет ЛКСМ україни радіомеханічного технікуму, Дарницький район м. Київ"
ДАКО-П10358-13667,0,"","Партійний комітет науково-дослідного інституту ""Сатурн"", Ленінградський район м."
ДАКО-П10364-13668,0,"","Первинна організація Компартії України інституту географії Академії наук УРСР, Л"
ДАКО-П10365-13669,0,Опис 13669,"Комітет ЛКСМ України домобудівного комбінату № 3, Жовтневий район м. Київ"
ДАКО-П10367-13670,0,"","Київський промисловий обком ЛКСМ України, м. Київ"
ДАКО-П10368-13671,0,"","Київський сільський обком ЛКСМ України, м. Київ"
ДАКО-П10369-13672,0,"",Комітет ЛКСМ України Київського ордена Леніна політенічного інституту ім. 50-річ
ДАКО-П10370-13673,0,Опис 13673,Партійний комітет Київського філіалу Всесоюзного науково-дослідного і пректного 
ДАКО-П10376-13693,0,Опис 13693,"Комітет ЛКСМ України тресту ""Київміськбуд № 3"", Ленінградський район м. Київ"
ДАКО-П10377-13694,0,"","Комітет ЛКСМ України виробничого об'єднання ""Ізумруд"", Ленінградський район м. К"
ДАКО-П10383-13699,0,Опис 13699,Комітет ЛКСМ України Київського виробничого швейного об'єднання ім. Смирнова-Лас
ДАКО-П10387-13707,0,"","Комітет ЛКСМ України Київського виробничого об'єднання ""Октава"", Мінський район "
ДАКО-П10390-13710,0,Опис 13710,Первинна організація Компартії України Всесоюзного науково-дослідного інституту 
ДАКО-П10392-13711,0,"","Первинна організація Компартії України інституту ""Укрмонтажоргшляхбуд"" Міністерс"
ДАКО-П10395-13712,0,"","Первинна організація Компартії України редакції газети ""Ленінський шлях"", Білоце"
