online_copy_id,seg,fond,inv,file,file_id,inventory_id
6840c4b4-b12a-4ae3-8816-14e2a4279e7a,1_173_2_ч3,1,173,2,f99bd662-272d-4fdd-8286-62c7a308ff19,
145b8e60-1872-4d34-9409-7228b088e1aa,1_174_1_ч2,1,174,1,c88515f4-6941-4196-87cd-28ec640dd8da,
057699d7-8356-4840-935a-a72cdb360f38,1_174_1_ч7,1,174,1,c88515f4-6941-4196-87cd-28ec640dd8da,
f1df6576-48c9-4d5d-ae75-8227f45a0cfe,1_174_1_ч4,1,174,1,c88515f4-6941-4196-87cd-28ec640dd8da,
36ceee2a-476f-4cf2-97af-9651aa4c72dd,1_174_2_ч1,1,174,2,b7f73381-0df7-4d76-abca-e9da94639f39,
a962007a-5693-4454-ba69-2fa31e5d446e,1_174_2_ч2,1,174,2,b7f73381-0df7-4d76-abca-e9da94639f39,
5a1b07f0-7c66-407c-8e86-9169f5df9224,1_174_2_ч3,1,174,2,b7f73381-0df7-4d76-abca-e9da94639f39,
00cf3eb0-2011-46bb-b17a-7b117d3f6ecc,1009_1_1,1009,1,1,2e4a486d-7168-4c8b-af51-f6a41d37eb6f,
5482b876-e1f1-4c68-b0b8-ca90c8cc9085,1009_1_2,1009,1,2,19f6797b-0655-4a47-90d4-d09e6e27d5a9,
e09c100c-3c11-442e-93e6-b18a15f7a569,1009_1_3,1009,1,3,ddf78120-37e1-47e7-b25c-53555b1e5da4,
2893012b-4b91-4660-b8c7-45af7ee35553,1009_1_4,1009,1,4,fd401094-ea70-4870-8e41-0c4e83c34130,
1cf020c6-0a4a-4a34-a9af-aa4725170cd7,1009_1,1009,1,,,d385e1a7-1d73-4ca8-ba46-acd5373a9f1c
146b15fb-36f7-47dd-8657-53bfc70820ae,1010_1_1,1010,1,1,b9c00e36-f0f4-44c4-b22f-a9ca935a801a,
fd0a8afb-278c-47f8-b15b-c500747c7cfc,1010_1_2,1010,1,2,552fa95e-1179-4b0a-a40a-ad04cf1d438b,
1f64e1fd-d908-4b42-ba08-291db50bb8a6,1010_1_3,1010,1,3,ab576ea9-204c-41e1-8733-82a2ac3c4667,
ac50cdeb-b7f9-4b75-8a04-8afd062ffe78,1010_1_4,1010,1,4,019d7644-db04-4bb4-b6c0-125918799c6d,
ca3fb155-94ee-4b8c-988c-c8da5877b5d3,1010_1_5,1010,1,5,dc005a9e-de1f-437e-b0c1-7b23903ea591,
37b5086e-7bd3-4725-ad67-1a9932a987c5,1010_1_6,1010,1,6,7563ffb1-c944-478c-b011-0fdb8234babe,
0a3172d0-759d-4d91-963b-20214b1e09db,1010_1_7,1010,1,7,de2e2359-bda1-4e84-9a92-054bd4264c98,
4ff96836-d6a1-487a-8b56-35845219750d,1010_1_8,1010,1,8,de44c20d-51d9-4601-abe7-bf861c815b27,
0c4a437b-e510-4cee-93e9-383347355d10,1010_1,1010,1,,,90b7c278-40d2-4449-a939-33944046553b
93970ede-d054-4643-a288-48baf8c13ae1,1011_1_1,1011,1,1,fcc0c3f1-1323-4167-a20d-196f8c0363ee,
008283ed-81c9-4414-a176-3dd024f43c5c,1011_1_2,1011,1,2,37d8bbc3-048c-4b2a-a7b3-8236439333dd,
8e384657-391f-4a44-92f1-ab19ab815d65,1011_1_3,1011,1,3,b5f581c3-9f0d-485d-8120-191eacfbd859,
5dc76d1e-7e28-42c1-a72c-840cd1d469fe,1011_1,1011,1,,,0c1353aa-b452-4075-b388-27066b570e0c
e9dbfc26-de52-4d0d-91b3-33323be4d2d0,1012_1_1,1012,1,1,5fdab356-e2d7-449c-8e23-e546d0a31281,
c17ba176-6c9d-48ac-ac91-9c15898387b0,1012_1,1012,1,,,80d62f31-4f7e-4dd2-a7a2-b3fad37e0ca4
6fc0e9f7-2b1f-49e1-be07-b453f4cfa9fe,1013_1_1,1013,1,1,315a4038-20c0-4cea-8d6d-24322d2cd6f1,
f43aee2c-a26a-42a9-a436-5c71bfa18af0,1013_1_2,1013,1,2,e072413e-57d3-45ac-9bef-976c1facde85,
63fb084d-0a77-4802-84e2-c116295ae332,1013_1_3,1013,1,3,3603a9d8-8971-4a36-a1d4-ab69b9024c74,
caa89e3c-3336-4b96-b67f-2ec359dfbdb7,1013_1_4,1013,1,4,0d9674b5-d677-4d5b-bd6c-26053695720d,
eede070f-4434-4810-9681-6e54aae61807,1013_1_5,1013,1,5,aa21cd98-4b73-440d-8443-a75302d076b1,
d32c5f57-0c91-46bb-87c2-7fd61923b5f0,1013_1,1013,1,,,d829a59d-63d6-4f86-92ae-0195aec3d526
44ef747f-4bbe-4cb2-95cf-17b2ac14ef1b,110-_1_1019,110,1,1019,3a41ea80-4653-4a11-8a19-968484dc9964,
886d9aff-7a76-4f98-b06e-10ef628f13ef,1137_1_1,1137,1,1,23f660a6-6c0c-4f2b-8ae6-ce2f40aac977,
229a6ec0-4591-4922-81d6-b117be1440b9,1137_1,1137,1,,,96d9137f-74b3-45d6-8877-fd52d04ef8c6
ca0dd564-337b-4af9-875e-feda4e333e21,1165_1_1,1165,1,1,6497a80d-9923-4b0f-92fe-9a20393e781a,
6ac2a573-2ded-4053-a222-3ecf3905ca85,1165_1_2,1165,1,2,3931ac00-9c25-4015-b9ff-558cfa59d23f,
c353d6cc-551a-4f75-995a-64af551d8580,1165_1_3,1165,1,3,0e8bba2c-2987-435f-a6bb-c5ae8370e145,
b52852a1-b70d-45e2-986d-ce39fa6b25f7,1165_1_4,1165,1,4,fad27d19-3bd7-4871-a0ad-a493c2773a19,
0985f2aa-4abe-4376-b342-4a01f6746cf2,1165_1_5,1165,1,5,97439df7-a6f1-4b54-99f1-4a38f8cc2610,
1baf5108-8528-4762-8289-9bc8838f9a04,1165_1_6,1165,1,6,35f5a8fd-36f6-44c3-a8ed-aa663c781679,
6f1d7f2c-fe83-48ee-9651-ac7c749135f0,1165_1_7,1165,1,7,cad6b019-40b9-4504-9963-8a2e44d2561b,
d652af51-043b-4d28-a0eb-d56a5a318e96,1165_1_8,1165,1,8,97744282-2bee-4ea4-ba0a-800b178b3b8d,
b90ef7c7-c775-4de2-a593-fad672248f24,1165_1_9,1165,1,9,ce24c63b-d049-48d8-b4fc-cd0dae770935,
c784b8aa-fe43-4db3-823c-d4bd631202db,1165_1,1165,1,,,a2f658dc-ff1f-4bbe-9daa-76d90a53f64b
4a81294a-ae92-4548-ae26-366cc068c3d9,1166_1_1,1166,1,1,1f2094a6-5274-4e3b-aeb3-198105e7d06f,
9bdc51a1-f6bc-4148-b444-9ef6c635f515,1166_1,1166,1,,,b0aed496-f374-49ed-8783-2a11f9cc7c19
2d1fb9a7-419b-48bf-8f5f-cb0b90fee151,16_124_17415_ч2,16,124,17415,4dbe6051-9d3d-4ec3-a911-8d76447e3ede,
2983d3fc-e171-4200-9fc8-18eeb1a0a53a,16_124_17548_ч2,16,124,17548,6e876217-a51e-405b-b02f-5d76e415c87f,
97bf1095-5d66-4e44-9ce0-5466b6fc70cc,16_124_17563_ч2,16,124,17563,e8d4acd4-089e-4403-b7da-9c96b7012722,
8573e699-5f00-4782-a12b-8cd66f08c75c,16_124_8998_ч1,16,124,8998,9c003e47-f99a-4e4f-871d-b8327fa47782,
a9c60fc9-b6bd-4a7e-bed7-43c42c1515b1,16_124_8999_ч1,16,124,8999,c66162ae-ee09-427a-82d2-39776b55e50d,
bbbfd726-fc21-49c4-aa9c-933d5e3c56fc,16_124_9001_ч1,16,124,9001,d208acc4-ba9a-420a-b6af-611c56967d34,
b654e918-2cf0-4e67-90d0-7876492b161d,16_124_9004_ч1,16,124,9004,d0d84bf7-ff97-4c7f-912d-ce3199fd5167,
2a37607d-84b7-4cf2-9cb0-9937f98eaaec,16_124_9005_ч1,16,124,9005,8670aaea-2287-431a-a53e-2e23180d4c7d,
c59ebc3b-52d3-4f4e-a5ba-b493b506be58,16_124_9006_ч1,16,124,9006,ef61d174-c4dc-4cff-9c87-77185c61fb2f,
8566a1fe-4f1d-4acf-8acf-2ac41e50b982,164_1_л_1,164,1Л,1,62da6e63-07a6-4da2-ba6f-9f3b3f7daf81,
92cb7a11-89a6-448b-b8cd-06a81d592f4a,164_1_л_10,164,1Л,10,eea2b8bd-6380-44a2-9d6a-37b57cdea7b3,
fee8c11f-d167-4ff4-b903-46f447a80061,164_1_л_11,164,1Л,11,b7bce79e-718d-4dac-8f26-a5133a3ea0a5,
9a28e98b-6200-4bac-b314-3c3e8f9f40e3,164_1_л_12,164,1Л,12,aebe5dac-a868-4a50-97f4-29597517f050,
5006b272-89ca-4e78-97c7-05a736d1d977,164_1_л_13,164,1Л,13,850299c3-794d-4941-bf88-bf5d7ea26f0d,
420f8995-7445-4018-88e3-7e4ae7d57553,164_1_л_14,164,1Л,14,b34a2f78-738b-4f7d-b01b-4aca5f600ad4,
aae999f6-3a1d-495c-ac0b-039cd8cff494,164_1_л_15,164,1Л,15,a2cd464c-c9a3-4307-ac6a-e9c75a7aad54,
86331970-ad0f-4876-88aa-4cb7d75d3dfd,164_1_л_16,164,1Л,16,7c9045bb-a5ae-463f-ba91-76d533b42f5d,
c9b02fb8-e5ef-4597-9b55-dba6be2a3232,164_1_л_17,164,1Л,17,de57bbd4-7be5-40d3-9182-af16ccc52a7d,
9e278266-71ae-406d-a70d-76121025ca57,164_1_л_18,164,1Л,18,d31e4bae-11da-4de2-aff6-f007c5ca8dc2,
4b6b6a8f-b069-46ef-8ab5-93a5ff8a7b20,164_1_л_19,164,1Л,19,4ff308ed-7980-4f3a-9dac-337d43569b26,
59be6bd9-09ca-45e8-8dfb-25365fcfdddd,164_1_л_2,164,1Л,2,2a80ccfa-1234-4cd8-85f3-416fc43cee77,
c24d3d84-c9ef-4a05-a830-53c4274f53e8,164_1_л_20,164,1Л,20,b8b3fac9-9418-4d93-88ae-1e6a9b122161,
bf974898-574e-4019-9a34-e64f55ff71ca,164_1_л_21,164,1Л,21,b606ec98-6d2d-4743-8577-90fb8e52b631,
e9ff6804-a52f-4549-b229-00b40b71f2fd,164_1_л_22,164,1Л,22,20ad8cd0-1a18-4e4b-8920-ec329eef0bd7,
3ee0d047-fd10-4730-b9fb-276133936b48,164_1_л_23,164,1Л,23,2c2b0692-9424-4e54-b5aa-eade12f9cb17,
4f5fadb0-8a03-41df-a1e3-01a2aa78320c,164_1_л_24,164,1Л,24,5951139c-f932-4f19-bee9-70fd4a280fb7,
5263ec37-0c7d-4289-9a73-89ead489eb24,164_1_л_25,164,1Л,25,8bc0bcb8-eeb4-4455-9e14-5fcb77e69d94,
ad15fe0c-fd12-4e66-93a0-5480b82ccb1f,164_1_л_26,164,1Л,26,3f8ece36-f99e-4b29-963a-fe4387f98b2b,
de817afe-797c-43c8-804f-59fb4704ad8d,164_1_л_27,164,1Л,27,c0cb04af-fd86-4a87-a9dd-ff5e5651b3df,
02bec200-9bde-4eef-84ca-c6aa5e1408fd,164_1_л_28,164,1Л,28,e0ae6037-d20c-4cf1-b0e0-6d806e7a1517,
4888102b-fc48-4881-9b2e-b4a1e5b644f6,164_1_л_29,164,1Л,29,24d9043b-0e1a-4de9-afb4-95af3abadd66,
b30978a1-94bd-4993-83ee-c5f944478681,164_1_л_3,164,1Л,3,7b27fd9d-5cb9-4c8e-b559-5d03a46851fd,
d5f5de73-71ca-4783-814c-31033400f238,164_1_л_30,164,1Л,30,692f06ff-3a01-4f08-87a7-55e60c3889de,
33757bff-dea7-4b25-89ae-d06f334889f4,164_1_л_31,164,1Л,31,9abb26e5-6589-48bb-9f61-075f2f47a7ac,
7e658bf2-6fe7-45c8-928e-440fbc3209bf,164_1_л_32,164,1Л,32,46caf763-0a84-4afe-88bd-0a88535f0db4,
aebc5139-595a-4d90-8646-79b92c9bd13e,164_1_л_33,164,1Л,33,39b220c8-e77a-4b83-b6be-3903627ad451,
a8182455-a528-4087-a6e0-4b6b05acc79f,164_1_л_34,164,1Л,34,7c63e74e-0957-4664-a2a8-478ba5b110bd,
66dfa73f-413a-4915-95b6-d62fd13e07a6,164_1_л_4,164,1Л,4,88ac34f9-7d3b-40ef-ab08-258b285a042c,
9c8e6561-1d27-4697-b7ab-d968a72e54b0,164_1_л_5,164,1Л,5,70063349-cc3d-4e90-8032-fcc19a4ccd13,
8696e438-ebf0-49a5-a457-b8614af6f248,164_1_л_6,164,1Л,6,d4e2ea05-8c34-4d34-9aeb-fc3b8d6a721f,
1d04fbc5-d916-4209-99c3-19457741468b,164_1_л_7,164,1Л,7,7a937ba9-710a-42e6-b3dd-6a60ea6d96eb,
dc1c1630-bd04-4815-9c44-a69af75c81fa,164_1_л_8,164,1Л,8,e29879ba-3cfd-4b25-9daa-b06bd7710ffe,
20e6f6a7-3135-4ac2-9571-bceb374265b9,164_1_л_9,164,1Л,9,d09811ac-c0ce-4a69-a67e-03d7df5e9d7a,
1dfbbe11-c8b8-4a4c-995c-7771ead041f6,164_1_л,164,1Л,,,db575ed2-2d64-4f2a-9447-6d476c1ae384
0616e0b5-2735-4100-912e-431d781487b8,2013_1_100,2013,1,100,e068367a-ac94-475a-87ef-91a9c0a6b910,
b85c0de5-bee2-4640-b9bc-f6c6bb888f09,2013_1_1000,2013,1,1000,235d51ad-f9a8-459d-ae10-cd50a4d91436,
0af2607d-8828-43e1-a348-cad5545c547b,2013_1_1001,2013,1,1001,5e07106d-a8ca-4a4e-9030-37469a860240,
7e89f2fb-42cc-45f8-956a-e40bb7ddfb4b,2013_1_1002,2013,1,1002,f3c2724d-4f71-40ec-9e7f-056645328979,
50a30b64-2973-492e-b80f-303f3c250aeb,2013_1_1003,2013,1,1003,2a9f34a0-b895-4fd5-a0a5-8f989f6b5405,
eef540c2-0fc6-4747-a3ba-a7808e30d884,2013_1_1004,2013,1,1004,7d56b745-e2d3-46ab-b5c8-096d9894c023,
35fa8490-bf35-4d64-9453-b9f80c44916c,2013_1_1005,2013,1,1005,df703cb7-45b1-47b6-b1b2-f244acf61bc9,
5d1f34b3-4f86-4bbc-a755-3a910bf692c5,2013_1_1006,2013,1,1006,f0dcbc7c-c9dd-45e7-94e8-80a6002b5150,
9ffc818e-07d5-4b93-94a4-bac238547fcf,2013_1_1007,2013,1,1007,bdfe8280-628a-450e-8a22-8aff69521bfc,
3c94e4c3-7d46-48b7-abee-7b44e0ef85ae,2013_1_1008,2013,1,1008,0ea2226e-71a9-4c75-a4ff-3b5b27a45ecc,
65d8fd5f-9be9-4e5a-ba96-4d8667897185,2013_1_1009,2013,1,1009,13f19a28-2837-4dae-b06d-75e599c0fb94,
d858e2bf-d5b4-414a-a019-51d5cf45d1bd,2013_1_101,2013,1,101,8baf4768-7d0e-400e-85a8-7aa8738d2a3b,
7830786e-a35c-42db-bda7-2389608dec81,2013_1_1010,2013,1,1010,529e929d-702a-485c-9236-20e850b8f055,
e1fd89c1-4259-4890-8636-8b5d00806fab,2013_1_1011,2013,1,1011,1fe45835-32dd-44ad-84bd-0b0180bcd226,
9b29bd7b-d6ac-4c36-9909-5aaa2acf5396,2013_1_1012,2013,1,1012,8a96e641-e05c-4360-9698-bd6159c46d1f,
d299def9-be99-44b7-9ec0-59b39e8598c3,2013_1_1013,2013,1,1013,b1cee6a8-ea74-40a8-b83c-222d0383be52,
268f7bc4-e2fe-41c8-a609-f77ce76db421,2013_1_1014,2013,1,1014,01e0a4dc-8c49-4a4f-b536-008e7eeb8294,
9f5ffc67-e91f-4384-9205-c4da94812e56,2013_1_1015,2013,1,1015,5e1a03b3-3ccc-472f-a70d-3b20f7f19642,
81f62bff-a4b2-49a2-b10c-57f4a62a27ca,2013_1_1016,2013,1,1016,8a80242d-dc3b-46d6-b988-024466f2dbfc,
47433b86-937e-4e6f-8ba1-c6c970961301,2013_1_1017,2013,1,1017,bbc427bf-6bdd-421d-ba83-7bfb1678266f,
a7c3e8e8-db96-4dde-862e-1dbe6cbf304c,2013_1_1018,2013,1,1018,024e80ac-e07a-4032-b242-08fc6b8fe239,
