online_copy_id,file_id,inv_code,sprava,parsed
77f712a7-82f5-432e-bc2e-12dee80ad390,bf213ebf-9c4f-4d1f-9f70-f58101bb60a4,14ДОД,32,ДАДнО-(Р-6508-14дод.-32+++Р-6508-14дод.-32+++Р-6508-14дод.-32_1926-1933)
bdeb5700-f330-4617-8652-1638a56e70e9,a966870c-bcf0-44bc-a57c-f52518c19032,14ДОД,32А,ДАДнО-(Р-6508-14дод.-32а+++Р-6508-14дод.-32а+++Р-6508-14.дод-32а_1926-1934)
449b9dba-dcb3-4681-9a41-094118a45c99,cec6b791-63bb-4f34-975b-082ccb478f75,14ДОД,33,ДАДнО-(Р-6508-14дод.-33+++Р-6508-14дод.-33+++Р-6508-14.дод-33_1927-1933)
a056482a-7486-4ca7-853d-3935aa1ab590,adecdd27-7a19-48ac-9537-fa7690023cdf,14ДОД,34,ДАДнО-(Р-6508-14дод.-34+++Р-6508-14дод.-34+++Р-6508-14.дод-34_1927-1933)
7ababb14-c91d-4259-a720-5e7325660e89,23f169b6-70e3-4870-9bd6-db6376a59146,14ДОД,35,ДАДнО-(Р-6508-14дод.-35+++Р-6508-14дод.-35+++Р-6508-14-дод.35_1928-1930)
f11f4064-0a19-4db9-96e0-c8f3c8cebd48,f8ce54db-8ee2-47c3-9f9f-9d6c4013883c,14ДОД,4,ДАДнО-(Р-6508-14дод.-4+++Р-6508-14дод.-4+++Р-6508-14дод.-4_1920-1933)
9120c1de-ee59-4d19-a86f-6356ea8dc406,985a9cf8-4f93-4200-937e-f9733fcd2ec6,14ДОД,5,ДАДнО-(Р-6508-14дод.-5+++Р-6508-14дод.-5+++Р-6508-14-дод.5_1920-1933)
7ae8f8e6-8fa0-456a-a87c-7ef92ff742ed,cbd3f5ff-8b4f-4014-b451-9cd1a122781c,14ДОД,6,ДАДнО-(Р-6508-14дод.-6+++Р-6508-14дод.-6+++Р-6508-14дод.-6)
9a28675d-0832-4a1a-a9bb-ba286c8a1b0a,60c11387-3fdf-47f4-aeb8-768472057d8f,14ДОД,7,ДАДнО-(Р-6508-14дод.-7+++Р-6508-14дод.-7+++Р-6508-14-дод.7_1920-1933)
7e0b53e0-3888-496e-89b8-78fddec43502,34f23fd7-d98a-4b37-b833-ade6d2139033,14ДОД,8,ДАДнО-(Р-6508-14дод.-8+++Р-6508-14дод.-8+++Р-6508-14.дод-8_1920-1933)
