188	1	19	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1901-1901	метрична книга|народження|смерть|шлюб	1	1
188	1	2	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1880-1883	метрична книга|народження|смерть|шлюб	1	1
188	1	20	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1902-1902	метрична книга|народження|смерть|шлюб	1	1
188	1	21	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1903-1903	метрична книга|народження|смерть|шлюб	2	1
188	1	22	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1904-1904	метрична книга|народження|смерть|шлюб	1	1
188	1	23	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1905-1905	метрична книга|народження|смерть|шлюб	1	1
188	1	24	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1906-1906	метрична книга|народження|смерть|шлюб	2	1
188	1	25	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1907-1907	метрична книга|народження|смерть|шлюб	1	1
188	1	26	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1908-1908	метрична книга|народження|смерть|шлюб	1	1
188	1	27	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1909-1909	метрична книга|народження|смерть|шлюб	1	1
188	1	28	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1910-1910	метрична книга|народження|смерть|шлюб	1	1
188	1	29	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1911-1911	метрична книга|народження|смерть|шлюб	0	1
188	1	3	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1881-1882	метрична книга|народження|смерть|шлюб	2	1
188	1	30	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1912-1912	метрична книга|народження|смерть|шлюб	0	1
188	1	31	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1913-1913	метрична книга|народження|смерть|шлюб	0	1
188	1	32	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1915-1915	метрична книга|народження|смерть	0	1
188	1	33	Метрична книга. Покровська церква, с. Зайцеве Бахмутського пов.	1916-1916	метрична книга|народження|смерть|шлюб	0	1
