1	1			1
20	1			12
26	1			1
28	1			1
54	1			24
69	1			0
74	1			1
76	1			14
82	1			1
83	1			1
102	1			17
103	1			1
106	1			1
134	1			1
153	1			1
155	1			1
162	1			1
164	1			1
171	1			1
188	1			35
189	1			37
190	1			23
191	1			51
191	178			1
192	1			48
193	1			51
193	180			1
193	5			1
194	1			28
195	1			16
196	1			13
197	1			19
198	1			17
199	1			8
200	1			17
201	1			17
202	1			9
203	1			19
204	1			13
205	1			13
206	1			24
208	1			20
209	1			34
210	1			16
211	1	Метричні книги записів актів цивільного стануСинагога міста Маріуполя Маріупольського повіту Катеринославської губернії	1866-1922	41
212	1			30
212	86			1
213	1			26
214	1			19
215	1			38
216	1			25
217	1			20
219	1			13
220	1			29
221	1			28
222	1			19
223	1			15
224	1			7
225	1			19
226	1			36
226	14			1
228	1			12
229	1			20
230	1			8
232	1			18
233	1			21
234	1	Метричні книги	1879-1919	4
235	1			11
236	1			11
237	1	Метричні книги	1871-1919	11
238	1	Метричні книги Дмитрівської церкви с. Золотий Колодязь	1861-1919	25
238	187			1
240	1			45
241	1			23
242	1			30
243	1			16
244	1			7
245	1			4
246	1			7
247	1			34
249	1			19
250	1			13
251	1			20
260	1			66
260	156			1
261	1			28
262	1			37
263	1			9
264	1			25
265	1			11
266	1			14
267	1			22
268	1			31
269	1			20
270	1			34
271	1			23
272	1			14
273	1			2
274	1			29
277	1			6
Р277	1			1
278	1			24
279	1			17
Р279	2			3
280	1			16
281	1			24
284	1			9
285	1			12
285	107			1
Р285	1			2
287	1			6
288	1			9
289	1			9
291	1			12
292	1			8
293	1			40
294	1			11
295	1			30
296	1			26
297	1			27
298	1			31
299	1			41
300	1			1
302	1			9
303	1			29
304	1			6
307	1			17
307	110			1
308	1			29
308	111			1
309	1			32
310	1			30
311	1			24
312	1			30
312	114			1
313	1			8
314	1			6
315	1			25
317	1			10
319	1			8
320	1			29
322	1			25
324	1			36
327	1			12
328	1			6
330	1			18
331	1			12
332	1			44
333	1			14
334	1			23
335	1			13
336	1			9
337	1			12
338	1			13
339	1			21
340	1			18
341	1			8
342	1			6
343	1			11
343	120			1
344	1			10
345	1			9
346	1			20
347	1			6
348	1			13
349	1			15
Р349	1			1
350	1			22
351	1			8
352	1			8
353	1			5
354	1			16
355	1			11
355	121			1
356	1			35
357	1			22
358	1			19
359	1			8
360	1			17
361	1			25
362	1			3
363	1			15
364	1			30
365	1			16
366	1			20
367	1			18
368	1			28
369	1			17
370	1			20
371	1			19
372	1			8
373	1			12
374	1			22
375	1			11
376	1			7
377	1			14
378	1			12
379	1			11
380	1		1896-1919	7
381	1			11
382	1			4
384	1			13
385	1			7
386	1			11
387	1			23
388	1			8
389	1			13
391	1			14
392	1			6
393	1			18
394	1			5
395	1			11
396	1			5
397	1			1
398	1	Метричні книги	1878-1919	19
399	1			6
400	1			20
401	1			18
402	1	Метричні книги	1867-1920	30
404	1			7
405	1			24
406	1			9
407	1			8
408	1			10
409	1			1
410	1			4
411	1			4
412	1			10
413	1			14
414	1			8
415	1			10
416	1			14
417	1			22
418	1			19
419	1			4
420	1			26
421	1			5
422	1			31
423	1			13
423	140			1
424	1			14
425	1			3
426	1			14
427	1			25
428	1			15
429	1			7
430	1			34
431	1			14
432	1			9
433	1			86
434	1			13
435	1			6
436	1			20
436	146			1
437	1			1
438	1			4
439	1			20
440	1			9
441	1			3
442	1			1
443	1			8
444	1			1
445	1			3
446	1			18
447	1			7
448	1			2
449	1			2
450	1			2
451	1			5
452	1			6
453	1			28
454	1			5
455	1			4
456	1			7
457	1			1
458	1			5
459	1			3
460	1			1
461	1			1
462	1			2
463	1			2
464	1			6
465	1			4
466	1			1
467	1			6
468	1			4
469	1			1
470	1			3
471	1			1
472	1			5
473	1			1
474	1			2
475	1		1911-1919	5
476	1		1918-1919	1
477	1		1911-1920	2
478	1		1913-1913	1
479	1		1911-1929	1
480	1		1908-1927	2
481	1		1919-1919	1
482	1		1901-1920	1
483	1		1896-1921	2
484	1		1876-1904	1
485	1		1901-1919	5
486	1		1878-1920	9
487	1		1913-1928	1
1069	1			14
2013	1			2
