54	1	9	Метрична книга. Успенська церква, слоб. Макіївка Макіївської вол.	1902-1902	метрична книга|народження|смерть|шлюб	1	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського | Успенська церква, слоб. Макіївка Макіївська волость
54	1	10	Метрична книга. Успенська церква, слоб. Макіївка Макіївської вол.	1903-1903	метрична книга|народження|смерть|шлюб	0	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського | Успенська церква, слоб. Макіївка Макіївська волость
54	1	11	Метрична книга. Успенська церква, слоб. Макіївка Макіївської вол.	1904-1904	метрична книга|народження|смерть|шлюб	0	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського | Успенська церква, слоб. Макіївка Макіївська волость
54	1	12	Метрична книга. Успенська церква, слоб. Макіївка Макіївської вол.	1905-1905	метрична книга|народження|смерть|шлюб	0	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського | Успенська церква, слоб. Макіївка Макіївська волость
54	1	13	Метрична книга. Успенська церква, слоб. Макіївка Макіївської вол.	1906-1906	метрична книга|народження|смерть|шлюб	0	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського | Успенська церква, слоб. Макіївка Макіївська волость
54	1	14	Метрична книга. Успенська церква, слоб. Макіївка Макіївської вол.	1907-1907	метрична книга|народження|смерть|шлюб	0	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського | Успенська церква, слоб. Макіївка Макіївська волость
54	1	15	Метрична книга. Успенська церква, слоб. Макіївка Макіївської вол.	1908-1909	метрична книга|народження|смерть|шлюб	1	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського | Успенська церква, слоб. Макіївка Макіївська волость
54	1	16	Метрична книга. Успенська церква, слоб. Макіївка Макіївської вол.	1910-1911	метрична книга|народження|смерть|шлюб	1	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського | Успенська церква, слоб. Макіївка Макіївська волость
54	1	17	Метрична книга. Успенська церква, слоб. Макіївка Макіївської вол.	1913-1913	метрична книга|народження|смерть|шлюб	1	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського | Успенська церква, слоб. Макіївка Макіївська волость
54	1	18	Метрична книга. Успенська церква, слоб. Макіївка Макіївської вол.	1914-1914	метрична книга|народження|смерть|шлюб	1	Успенська церква Донської духовної консисторії, сл. Макіївка Макіївської волості Міуського, з 1887 р. – Таганрозького округу Області Війська Донського | Успенська церква, слоб. Макіївка Макіївська волость
