81	Вєтковське поштово-телеграфне відділення Катеринославського поштово-телеграфного округу Бахмутського повіту Катеринославської губернії, з 1919 р. – Юзівського повіту Донецької губернії			0	0
82	Мушкетовське поштово-телеграфне відділення Катеринославського поштово-телеграфного округу, с. Мушкетове Таганрозького округу Області Війська Донського			1	1
83	Мар’їнське поштове відділення Вознесенської рудникової поштово-телеграфної контори Катеринославського поштово-телеграфного округу, с. Мар’їнка Мар’їнської волості Маріупольського повіту Катеринославської губернії			1	1
84	Старо-Михайлівське поштове відділення Катеринославського поштово-телеграфного округу Бахмутського повіту Катеринославської губернії			0	0
86	Завод карбід кальцію акціонерного товариства для вироблення карбід кальцію, розчиненого ацетилену і для газової обробки металів “Перун”, сл. Макіївка Макіївської волості Таганрозького округу Області Війська Донського			0	0
87	Дружківська поштово-телеграфна контора Катеринославського поштово-телеграфного округу Бахмутського повіту Катеринославської губернії			0	0
88	Бахмутська поштова-телеграфна контора Катеринославського поштово-телеграфного округу, м. Бахмут Бахмутського повіту Катеринославської губернії			0	0
89	Єнакієвська поштово-телеграфна контора Катеринославського поштово-телеграфного округу Бахмутського повіту Катеринославської губернії			0	0
90	Бахмутська міська управа, м. Бахмут Бахмутського повіту Катеринославської губернії			0	0
91	Слов’янська міська управа, м. Слов’янськ Ізюмського повіту Харківської губернії			0	0
92	Деконське поштово-телеграфне відділення Бахмутської поштово-телеграфної контори Катеринославського поштово-телеграфного округу, ст. Деконська Бахмутського повіту Катеринославської губернії			0	0
94	Марь’євська поштово-телеграфна контора Катеринославського поштово-телеграфного округу, с. Мар’євка Бахмутського повіту Катеринославської губернії			0	0
95	Горлівська поштово-телеграфна контора Катеринославського поштово-телеграфного округу, с. Горлівка Бахмутського повіту Катеринославської губернії			0	0
96	Дмитрієвська поштово-телеграфна контора Катеринославського поштово-телеграфного округу, сел. Дмитрієвка Бахмутського повіту Катеринославської губернії			0	0
97	Микитівська поштово-телеграфна контора Катеринославського поштово-телеграфного округу, с. Микитівка Бахмутського повіту Катеринославської губернії			0	0
99	Гришинська вокзальна поштово-телеграфна контора Катеринославського поштово-телеграфного округу, ст. Гришино Бахмутського повіту Катеринославської губернії			0	0
100	Ясинуватська поштова-телеграфна контора Катеринославського поштово-телеграфного округу, сел. Ясинувата Бахмутського повіту Катеринославської губернії, з 1919 р. – Юзівського повіту Донецької губернії			0	0
101	Бахмутська повітова земська управа, м. Бахмут Бахмутського повіту Катеринославської губернії			0	0
102	Миколаївська церква Катеринославської духовної консисторії, с. Олексіївка Бахмутського повіту Катеринославської губернії			1	17
103	Єлізаветівське сільське правління Романівської волості Маріупольського повіту Катеринославської губернії			1	1
105	Богословське сільське правління Іванівської волості Маріупольського повіту Катеринославської губернії			0	0
106				1	1
107	Маріупольська міська дума, м. Маріуполь Маріупольського повіту Катеринославської губернії			0	0
108	Зачатівське сільське правління, с. Зачатівка Олександрівської волості Маріупольського повіту Катеринославської губернії			0	0
109	Маріупольське міське поліцейське правління, м. Маріуполь Маріупольського повіту Катеринославської губернії			0	0
110	Маріупольська повітова земська управа, м. Маріуполь Маріупольського повіту Катеринославської губернії			0	0
113	Маріупольська міська управа, м. Маріуполь Маріупольського повіту Катеринославської губернії			0	0
114	Ново-Дворовське сільське правління Романівської волості Маріупольського повіту Катеринославської губернії			0	0
115	Старо-гнатівське поштово-телеграфне відділення Катеринославського поштово-телеграфного округу, с. Старо-Гнатівка Маріупольського повіту Катеринославської губернії			0	0
116	Акцизне управління 2-го округу Катеринославського губернського акцизного управління Міністерства фінансів, м. Маріуполь Маріупольського повіту Катеринославської губернії			0	0
117	Управління робіт Маріупольського порту, м. Маріуполь Маріупольського повіту Катеринославської губернії			0	0
118	Сухоялинське поштове відділення Катеринославського поштово-телеграфного округу Маріупольського повіту Катеринославської губернії			0	0
119	Доменний завод Нікополь-Маріупольського гірничого та металургійного товариства, ст. Сартана Маріупольського повіту Катеринославської губернії			0	0
120	Управління заводами “Російський Провіданс” Маріупольського гірничо-металургійного товариства, ст. Сартана Маріупольського повіту Катеринославської губернії			0	0
121	Троїцька церква, сел. Дмитрієвськ Бахмутського повіту Катеринославської губернії			0	0
127	Новотроїцьке поштове відділення Юзівської поштово-телеграфної контори Катеринославського поштово-телеграфного округу, с. Новотроїцьке Новотроїцької волості Маріупольського повіту Катеринославської губернії			0	0
130	Маріупольська нижня розправа, м. Маріуполь Маріупольського повіту Катеринославського намісництва			0	0
131	Маріупольське повітове казначейство Маріупольського повіту Катеринославської губернії			0	0
132	Маріупольське духовне правління Новоросійської, з 1802 р. – Катеринославської духовної консисторії, м. Маріуполь Новоросійської, з 1802 р. – Катеринославської губернії			0	0
133	Голландський соляний рудник Голландського анонімного товариства для розробки кам’яної солі в Росії, ст. Ступки Бахмутського повіту Катеринославської губернії			0	0
134	Маріупольська портова митниця, м. Маріуполь Маріупольського повіту Катеринославської губернії			1	1
135	Маріупольське відділення Катерининського жандармського поліцейського управління залізниць, м. Маріуполь Маріупольського повіту Катеринославської губернії			0	0
137	Ново-Бахмутське сільське правління Скотоватської волості Бахмутського повіту Катеринославської губернії			0	0
138	Свято-Преображенське братство, м. Юзівка Бахмутського повіту Катеринославської губернії, з 1919 р. – Юзівського повіту Донецької губернії			0	0
139	Встретенське сільське правління, с. Встретенка Галицинівської волості Бахмутського повіту Катеринославської губернії			0	0
140	Іловайська поштово-телеграфна контора Ростовського поштово-телеграфного округу, ст. Іловайськ Таганрозького повіту Катеринославської губернії			0	0
142	Кашлагачське поштово-телеграфне відділення Катеринославського поштово-телеграфного округу, с. Кашлагач Маріупольського повіту Катеринославської губернії			0	0
143	Стильське поштове відділення Маріупольської, з 01.01.1918 – Юзівської поштово-телеграфної контори Катеринославського поштово-телеграфного округу, с. Стила Стильської волості Маріупольського повіту Катеринославської губернії			0	0
144	Щербинівська поштово-телеграфна контора Катеринославського поштово-телеграфного округу, сел. Щербинівка Бахмутського повіту Катеринославської губернії			0	0
145	Маріупольська поштово-телеграфна контора Катеринославського поштово-телеграфного округу, м. Маріуполь Маріупольського повіту Катеринославської губернії			0	0
146	Бахмутська повітова землевпорядна комісія, м. Бахмут Бахмутського повіту Катеринославської губернії			0	0
148	Слов’янське казначейство, м. Слов’янськ Харківської губернії			0	0
150	Хімічний завод фірми “Олів’є Пієтт”, с. Макіївка Таганрозького округу Області Війська Донського			0	0
151	Юзівський хімічний завод “Еванс Коппе”, с. Юзівка Бахмутського повіту Катеринославської губернії			0	0
152	Хімічний завод фірми “Еванс Коппе”, сел. Єнакієве Катеринославської губернії			0	0
153				1	1
154	Мушкетівський хімічний завод “Еванс Коппе”, сел. Мушкетове Таганрозького округу Області Війська Донського			0	0
155	Миколаївська церква Бахмутського духовного правління, с. Миколаївка Слов’яносербського повіту Катеринославської губернії			1	1
156	Маріупольська повітова землевпорядна комісія, м. Маріуполь Маріупольського повіту Катеринославської губернії			0	0
157	Цегельний завод братів Фресс і Ко, сел. Макіївка Таганрозького округу Області Війська Донського			0	0
159	Міуський окружний землемір, сл. Голодаївка Міуського округу Області Війська Донського			0	0
160	Хімічний завод фірми “Олів’є Пієтт”, сел. Дружківка Бахмутського повіту Катеринославської губернії			0	0
161	Контора Є. Л. Веллера, представника у Варшаві, Олександро-Василівського механічного солеварного заводу товариства братів Гольберг у м. Слов’янську Харківської губернії			0	0
162	Бахмутський з’їзд мирових суддів Катеринославської губернії			1	1
163	Маріупольське духовне училище, м. Маріуполь Маріупольського повіту Катеринославської губернії			0	0
