copy_id,parsed,ref,fond,complex,inv_code,file_code,method
a5cbb7fc-8953-418a-8303-7e4aa9e2cf19,ЦДНТА-(Р-17-3-9-4-2567+++Р-17-3-9-4-2567+++Р-17-3-9-4-2567),Р-17-3-9-4-2567,Р17,3-9,4,2567,opys-explicit
b3fce7ba-a8d7-49a6-9f0c-9f8d40a36c3a,ЦДНТА-(Р-107-3-36-3-256+++Р-107-3-36-3-256+++Р-107-3-36-3-256),Р-107-3-36-3-256,Р107,3-36,3,256,opys-explicit
54233015-e642-4211-b838-dfcc9998e14c,ЦДНТА-(Р-17-3-9-3-992+++Р-17-3-9-3-992+++Р-17-3-9-3-992),Р-17-3-9-3-992,Р17,3-9,3,992,opys-explicit
29d0aaca-c0f9-4b01-a4c5-a206ea34e06f,ЦДНТА-(Р-17-3-9-3-996+++Р-17-3-9-3-996+++Р-17-3-9-3-996),Р-17-3-9-3-996,Р17,3-9,3,996,opys-explicit
c6885d69-a2ee-4f57-9c17-15f78cd09767,ЦДНТА-(Р-17-3-9-3-983+++Р-17-3-9-3-983+++Р-17-3-9-3-983),Р-17-3-9-3-983,Р17,3-9,3,983,opys-explicit
47ba87b8-a3d6-4299-984e-9cb547d4f33d,ЦДНТА-(Р-17-3-9-3-1131+++Р-17-3-9-3-1131+++Р-17-3-9-3-1131),Р-17-3-9-3-1131,Р17,3-9,3,1131,opys-explicit
d069f4da-2ba9-40b7-ad2b-247f861a708d,ЦДНТА-(Р-17-3-9-3-1166+++Р-17-3-9-3-1166+++Р-17-3-9-3-1166),Р-17-3-9-3-1166,Р17,3-9,3,1166,opys-explicit
be5692cd-866e-43af-9f34-0dd752ce2d6f,ЦДНТА-(Р-17-3-9-3-959+++Р-17-3-9-3-959+++Р-17-3-9-3-959),Р-17-3-9-3-959,Р17,3-9,3,959,opys-explicit
a62963f9-42c7-49b0-a1a7-53fcd7a40e9e,ЦДНТА-(Р-17-3-9-3-977+++Р-17-3-9-3-977+++Р-17-3-9-3-977),Р-17-3-9-3-977,Р17,3-9,3,977,opys-explicit
aaf83c44-d86c-4c49-ab45-c109479ed7cf,ЦДНТА-(Р-17-3-9-3-979+++Р-17-3-9-3-979+++Р-17-3-9-3-979),Р-17-3-9-3-979,Р17,3-9,3,979,opys-explicit
bf3fbb36-02bd-4d72-86f4-7be3dc22c50a,ЦДНТА-(Р-17-3-9-3-1054+++Р-17-3-9-3-1054+++Р-17-3-9-3-1054),Р-17-3-9-3-1054,Р17,3-9,3,1054,opys-explicit
6730bc19-74f4-40ce-9a72-a527e4040e54,ЦДНТА-(Р-17-3-9-3-1121+++Р-17-3-9-3-1121+++Р-17-3-9-3-1121),Р-17-3-9-3-1121,Р17,3-9,3,1121,opys-explicit
5963a4dc-334f-4d7e-b1ff-762688266ec3,ЦДНТА-(Р-17-3-9-3-1118+++Р-17-3-9-3-1118+++Р-17-3-9-3-1118),Р-17-3-9-3-1118,Р17,3-9,3,1118,opys-explicit
9b2a54d2-136a-4a4a-b028-d1d45d78bb6a,ЦДНТА-(Р-17-3-9-3-1129+++Р-17-3-9-3-1129+++Р-17-3-9-3-1129),Р-17-3-9-3-1129,Р17,3-9,3,1129,opys-explicit
b8fad983-11f8-48e9-9ba8-ad577adefe1c,ЦДНТА-(Р-17-3-9-3-1191+++Р-17-3-9-3-1191+++Р-17-3-9-3-1191),Р-17-3-9-3-1191,Р17,3-9,3,1191,opys-explicit
1e64a2c4-ddac-4655-b472-ee5a01bb4fad,ЦДНТА-(Р-17-3-9-3-1190+++Р-17-3-9-3-1190+++Р-17-3-9-3-1190),Р-17-3-9-3-1190,Р17,3-9,3,1190,opys-explicit
279ba026-2d04-4618-b2bb-9f400d27ee45,ЦДНТА-(P-107-3-36-1-3+++P-107-3-36-1-3+++P-107-3-36-1-3),Р-107-3-36-1-3,Р107,3-36,1,3,opys-explicit
344df206-eb14-406c-8b90-82ee9cb87c16,ЦДНТА-(P-107-3-36-1-6+++P-107-3-36-1-6+++P-107-3-36-1-6),Р-107-3-36-1-6,Р107,3-36,1,6,opys-explicit
d84d3746-f3e9-4909-bbc8-ae556baa1f5c,ЦДНТА-(Р-107-3-36-1-32+++Р-107-3-36-1-32+++Р-107-3-36-1-32),Р-107-3-36-1-32,Р107,3-36,1,32,opys-explicit
7e76a4c0-00c2-47ac-8f57-0a76c71cca9e,ЦДНТА-(Р-107-3-36-1-9+++Р-107-3-36-1-9+++Р-107-3-36-1-9),Р-107-3-36-1-9,Р107,3-36,1,9,opys-explicit
b26eacab-a1ab-4b28-91a1-a907071a5953,ЦДНТА-(Р-107-3-36-1-30+++Р-107-3-36-1-30+++Р-107-3-36-1-30),Р-107-3-36-1-30,Р107,3-36,1,30,opys-explicit
fb7f0a79-7cc4-47bc-a7a9-133704d8e95b,ЦДНТА-(Р-107-3-36-1-33+++Р-107-3-36-1-33+++Р-107-3-36-1-33),Р-107-3-36-1-33,Р107,3-36,1,33,opys-explicit
3b9871d7-7430-4ec0-8822-7558ae069988,ЦДНТА-(Р-107-3-36-1-52+++Р-107-3-36-1-52+++Р-107-3-36-1-52),Р-107-3-36-1-52,Р107,3-36,1,52,opys-explicit
b9467fe7-9ffa-4e38-bf0c-3c3139140dd1,ЦДНТА-(Р-107-3-36-1-46+++Р-107-3-36-1-46+++Р-107-3-36-1-46),Р-107-3-36-1-46,Р107,3-36,1,46,opys-explicit
71ee1520-a339-4ab2-9203-49342079fc82,ЦДНТА-(Р-107-3-36-1-73+++Р-107-3-36-1-73+++Р-107-3-36-1-73),Р-107-3-36-1-73,Р107,3-36,1,73,opys-explicit+outofrange
2a9f0354-7e8a-423d-9787-bc9149856545,ЦДНТА-(Р-107-3-36-1-57+++Р-107-3-36-1-57+++Р-107-3-36-1-57),Р-107-3-36-1-57,Р107,3-36,1,57,opys-explicit
16ddb02a-8c4b-4e0c-83c1-8d1d09c4107b,ЦДНТА-(Р-107-3-36-1-65+++Р-107-3-36-1-65+++Р-107-3-36-1-65),Р-107-3-36-1-65,Р107,3-36,1,65,opys-explicit+outofrange
0002535c-0627-440a-9c56-da0d1733ff7e,ЦДНТА-(Р-107-3-36-1-71+++Р-107-3-36-1-71+++Р-107-3-36-1-71),Р-107-3-36-1-71,Р107,3-36,1,71,opys-explicit+outofrange
