fond_code,inv_code,page,complex,opys,title,info,year_start,year_end,pdf_urls
Р45,1,opisi-2,2-49,1,Вугільний комбайн для пластів крутого падіння УКР,"к. 2-49, од.зб. 1-19",1953,1960,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-49_1.pdf
Р45,2,opisi-2,2-49,2,Вугільний комбайн для пластів крутого падіння УКР,"к. 2-49, од.зб. 20-87",1959,1970,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-49_2.pdf
Р50,1,opisi-2,2-50,1,Агрегат 8 У-22,"к. 2-50, од.зб. 1-104",1951,1958,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-50_1__2-51_1__2-52_1__2-53_1__2-54_1.pdf
Р50,1А,opisi-2,2-51,1,Агрегат 8 У-24,"к. 2-51, од.зб. 1-77",1952,1960,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-50_1__2-51_1__2-52_1__2-53_1__2-54_1.pdf
Р50,1Б,opisi-2,2-52,1,Агрегат 8 У-25,"к. 2-52, од.зб. 1-95",1956,1962,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-50_1__2-51_1__2-52_1__2-53_1__2-54_1.pdf
Р50,1В,opisi-2,2-53,1,Агрегат 8 Т-21 /Козловий кран/,"к. 2-53, од.зб. 1-52",1951,1958,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-50_1__2-51_1__2-52_1__2-53_1__2-54_1.pdf
Р50,1Г,opisi-2,2-54,1,Агрегат 8 Т-130 /К-1 Трансбордерний візок/,"к. 2-54, од.зб. 1-44",1953,1958,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-50_1__2-51_1__2-52_1__2-53_1__2-54_1.pdf
Р4,1,opisi-2,2-55,1,Перший радянський слябінг Ø 1100 мм,"к. 2-55, од.зб. 1-111",1935,1936,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-55_1.pdf
Р40,1А,opisi-2,2-56,1,Комбайновий дизельний двигун СМД-7,"к. 2-56, од.зб. 1-37",1953,1969,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-56_1.pdf
Р53,1,opisi-2,2-57,1,Пересувний локомобіль П-38,"к. 2-57, од.зб. 1-9",1949,1958,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-57_1__2-58_1.pdf
Р53,1А,opisi-2,2-58,1,Пересувний локомобіль 4-ЛП-20,"к. 2-58, од.зб. 1-9",1946,1951,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-57_1__2-58_1.pdf
Р50,1Ґ,opisi-2,2-59,1,Слябінг 1150 для Карагандинського металургійного заводу,"к. 2-59, од.зб. 1-23",1949,1961,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-59_1__2-63_1__2-64_1.pdf
Р54,1,opisi-2,2-60,1,Мотор електробура 3250/8,"к. 2-60, од.зб. 1",1938,1938,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-60_1__2-61_1__2-62_1.pdf
Р54,1А,opisi-2,2-61,1,Електробур Э-250,"к. 2-61, од.зб. 1-12",1957,1964,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-60_1__2-61_1__2-62_1.pdf
Р54,1Б,opisi-2,2-62,1,Електробур ЭР 170А,"к. 2-62, од.зб. 1-20",1963,1966,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-60_1__2-61_1__2-62_1.pdf
Р50,1Д,opisi-2,2-63,1,Блюмінг 1000 для Руставського металургійного заводу,"к. 2-63, од.зб. 1",1945,1950,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-59_1__2-63_1__2-64_1.pdf
Р50,1Е,opisi-2,2-64,1,Роторний екскаватор ЭРГ-1600,"к. 2-64, од.зб. 1-2",1954,1963,https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-59_1__2-63_1__2-64_1.pdf
