fond_code,inv_code,seg_start,seg_end,letter_extras
Р118,1А,1,34,
Р118,1Б,1,40,
Р54,1В,1,125,
Р54,2,126,165,
Р54,1Г,1,43,
Р54,2А,44,226,
Р54,3,227,378,
Р54,4,379,1011,
Р119,1,1,105,
Р120,1,1,33,
Р120,1А,1,32,
Р123,1,1,32,
Р122,1,1,22,
Р122,1А,1,59,
Р122,1Б,1,52,
Р122,1В,1,128,
Р78,1,1,18,
Р78,2,19,40,
Р78,1А,1,127,
Р78,1Б,1,13,
Р36,1А,1,308,
Р128,1,1,738,
Р74,1Д,1,44,
Р55,1,1,188,
Р61,1Є,1,300,
Р131,1,1,36,
Р131,1А,1,77,
Р131,1Б,1,499,
Р131,1В,1,79,
Р131,1Г,1,117,
Р131,1Ґ,1,77,
Р131,1Д,1,84,
Р131,1Е,1,183,
Р133,1,1,141,
Р134,1,1,135,
Р136,1,1,104,
Р138,1,1,54,
Р141,1,1,28,
Р142,1,1,221,
Р142,2,222,570,
Р77,1Ж,1,609,
Р77,1Ж,610,1334,
Р77,1Ж,1335,2003,
Р77,2Б,2004,3074,
Р77,2Б,3075,3947,
Р77,3,3948,4912,
Р77,3,4913,5815,
Р91,1А,1,22,
Р91,1Б,1,82,
Р91,1В,1,28,
Р91,1Г,1,40,
Р91,1Ґ,1,105,
Р144,1,1,25,
Р23,1Ж,1,71,
Р23,1З,1,153,
Р23,1И,1,305,
Р73,1Є,1,326,
Р73,1Ж,1,164,
Р153,1,1,288,
Р20,1Г,1,1380,
Р142,1А,1,59,
Р117,1А,1,21,
Р117,1Б,1,13,
Р117,2А,14,39,
Р161,1,1,7,
Р104,1А,1,1,
Р104,1Б,1,34,
Р43,1,1,1,
Р43,1А,1,1,
Р43,1Б,1,1,
Р43,1В,1,1,
Р138,1А,1,6,
Р166,1,1,8,
Р166,1А,1,5,
Р166,1Б,1,14,
Р71,1А,1,15,
Р45,1Г,1,6,
Р44,1В,1,14,
Р104,1В,1,100,
Р173,1,1,2,
Р226,1,1,5,
Р175,1,1,83,
Р177,1,1,224,
Р177,2,225,295,
Р184,1А,1,16,
Р185,1,1,17,
Р185,1А,1,69,
Р45,1Ґ,1,5,
Р188,1,1,38,
Р188,1А,1,24,
Р188,1Б,1,44,
Р74,1Е,1,32,
Р188,1В,1,68,
Р188,1Г,1,16,
Р188,1Ґ,1,18,
Р188,1Д,1,33,
Р188,1Е,1,29,
Р188,1Є,1,46,
Р189,1,1,572,
Р188,1Ж,1,37,
Р190,1,1,41,
Р191,1,1,474,
Р192,1,1,81,
Р188,1З,1,23,
Р188,1И,1,18,
Р188,1І,1,20,
Р188,1Ї,1,45,
Р188,1Й,1,30,
Р188,1К,1,30,
Р188,1Л,1,36,
Р188,1М,1,22,
Р188,1Н,1,29,
Р188,1О,1,15,
Р188,1П,1,13,
Р173,1А,1,8,
Р184,1Б,1,29,
Р196,1,1,10,
Р196,1А,1,44,
Р196,1Б,1,42,
Р196,1В,1,26,
Р196,1Г,1,29,
Р196,1Ґ,1,28,
Р78,1В,1,9,
Р78,2А,1,24,
Р78,3,34,55,
Р188,1Р,1,87,
Р188,1С,1,41,
Р188,1Т,1,16,
Р188,1У,1,85,
Р188,1Ф,1,54,
Р188,1Х,1,65,
Р188,2,66,174,
Р188,3,175,246,
Р199,1,1,160,
Р198,1,1,116,
Р198,1А,1,38,
Р184,1В,1,171,
Р200,1,1,122,
Р200,1А,1,38,
Р200,1Б,1,13,
Р200,1В,1,51,
Р200,1Г,1,25,
Р200,1Ґ,1,113,
Р184,1Г,1,10,
Р138,1Б,1,151,
Р77,1З,1,294,
