fond_code,title
Р206,"Матвієнко Олександра Михайлівна (1910–1996 рр.) – ботанік-альголог, доктор біологічних наук, професор Харківського державного університету імені М. Горького"
Р207,Установка для виготовлення склопластикових труб УТНП-2
Р208,Звіти про науково-дослідні роботи НВО «Укргідроспецбуд»
Р209,"Прокудін Юрій Миколайович (1911–1992 рр.) – вчений-ботанік, доктор біологічних наук, професор Харківського державного університету імені М. Горького"
Р21,
Р213,Звіти про науково-дослідні роботи Українського наукового центру охорони вод
Р216,"Звіти про науково-дослідні роботи Спеціального проектного конструкторсько-технологічного інституту по розробкам і впровадженню автоматизованих систем управління та обладнання, СПКТІ АС"
Р218,
Р219,
Р22,Перший радянський блюмінг
Р220,
Р221,Велосипеди шляхові
Р222,"Звіти про науково-дослідні роботи Харківського спеціального конструкторсько-технологічного бюро ""Машприладпластик"""
Р223,"Маєвська Валентина Григорівна (1929–1992 рр.) – професор архітектури, кандидат архітектури, Заслужений архітектор УРСР"
Р224,"Фукс Георгій Борисович (1927–2008 рр.) – інженер-будівельник, спеціаліст у галузі проектування мостів, кандидат технічних наук, професор, Заслужений будівельник України"
Р225,Комплекс агрегатних засобів вимірювальних «Кварц-2М»
Р226,
Р228,"Панченко Тамара Федотівна (1936 р. н.) – доктор архітектури, професор, дійсний член Академії архітектури, Народний архітектор України"
Р229,"Тер-Арутюнянц Георгій Йосипович (1914–2004 рр.) – інженер-конструктор, Заслужений будівельник України"
Р23,
Р231,"Тиховський Володимир Олександрович (1892–1963 рр.) – інженер-металург, спеціаліст у галузі сталеплавильного та прокатного будівництва, професор, кандидат технічних наук"
Р232,"Яблонський Дмитро Нілович (1921–2001 рр.) – доктор архітектури, спеціаліст у галузі автоматизованого проектування житлового будівництва"
Р233,"Головко Віктор Павлович (1927–1994 рр.) – інженер, спеціаліст у галузі систем теплопостачання і вентиляції, директор інституту «Харківсантехпроект»"
Р234,"Об'єднаний архівний фонд особового походження. Бут Євген Миколайович (1941–2010 рр.) – доктор технічних наук, теплофізик. Бут Микола Григорович (1913–1992 рр.) – учасник Другої світової війни, полковник"
Р235,"Нікітенко Веніамін Йосипович (1937–2010 рр.) – інженер, кандидат технічних наук, член Академії будівництва України, лауреат премії Академії будівництва України імені академіка М. С. Буднікова"
Р236,"Бєлан Микола Васильович (1937–2006 рр.) – інженер, спеціаліст у галузі авіаційної промисловості, професор, доктор технічних наук, лауреат премії Ради Міністрів СРСР, Заслужений працівник вищої школи УРСР"
Р237,"М’ялиця Анатолій Костянтинович (1940 р. н.) – інженер, доктор технічних наук, почесний професор Національного аерокосмічного університету імені М. Є. Жуковського «Харківський авіаційний інститут», Міністр промислової політики України (2002–2004)"
Р239,"Кондратьєв Микола Федорович (1926–2009 рр.) – перший директор Центрального державного архіву науково-технічної документації УРСР, ветеран праці, історик-архівіст"
Р24,
Р240,
Р241,"Істомін Олександр Миколайович (1933–2005 рр.) – доктор геолого-мінералогічних наук, академік, член Президії Української нафтогазової академії, Заслужений працівник промисловості України"
Р242,"Істоміна Лідія Петрівна (1932 р. н.) – кандидат біологічних наук, ентомолог, старший науковий співробітник"
Р244,Звіти про науково-дослідні роботи
Р247,"Черановський Олег Романович (1927 р. н.) – доктор технічних наук, Лауреат премії Ради Міністрів СРСР, Лауреат Державної премії України, Почесний авіабудівник СРСР"
Р248,
Р249,"Гайдачук Віталій Євгенович (1938 р. н.) – фахівець у галузі авіаційної техніки, доктор технічних наук, професор, завідувач кафедри проектування ракетно-космічних апаратів Національного аерокосмічного університету імені М. Є. Жуковського «Харківський авіаційний інститут», лауреат Державної премії України, Заслужений діяч в галузі науки і техніки України"
Р25,
Р250,Устаткування для підприємств харчової промисловості
Р252,Термомагнітні газоаналізатори
Р255,"Криштафович Микола Йосипович - геолог, викладач, редактор, доктор геології і мінералогії, професор"
Р26,
Р27,
Р29,Турбогенератор ТГВ-25
Р30,"Автобуси ЛАЗ-695, ЛАЗ-697 (697Е – варіант) «Турист»"
Р36,
Р37,
Р38,"Комбайн «Комунар ЖМ-4,6»​"
Р39,
Р4,Перший радянський слябінг Ø 1100 мм
Р40,
Р41,
Р42,
Р43,
Р44,
Р45,
Р47,"Бекетов Олексій Миколайович (1862–1941 рр.) – український радянський архітектор і педагог, професор, академік Санкт–Петербурзької імператорської Академії мистецтв, дійсний член Академії архітектури СРСР, Заслужений діяч мистецтв УРСР"
Р50,
Р53,
Р54,
Р55,
Р56,
Р57,Звіти про науково- дослідні роботи Державного науково-дослідного інституту основної хімії «НІОХІМ»
Р58,Звіти про науково- дослідні роботи Українського науково-дослідного інституту природних газів «УкрНДІгаз»
Р60,
Р61,
Р62,Звіти про науково-дослідні роботи Всесоюзний науково-дослідний і проектний інститут титану
Р63,
Р64,
Р65,"Звіти про науково- дослідні роботи Всесоюзного науково-дослідного і конструкторського інституту хімічного машинобудування ""НДІхіммаш"", м. Сєвєродонецьк"
Р66,"Звіти про науково- дослідні роботи Інституту спеціальних сталей, сплавів та феросплавів"
Р67,Звіти про науково- дослідні роботи Інституту верстатів та інструментів
Р68,
Р69,Наукові дослідження в організації виробництва нафтогазової промисловості
Р71,
Р73,
Р74,
Р76,"Звіти про науково- дослідні роботи Всесоюзного науково-дослідний інституту гірничої механіки ім. М.М. Федорова, м Донецьк"
Р77,
Р78,
Р79,Звіти про науково- дослідні роботи Харківської філії Всесоюзного науково-дослідного інституту жирів (ХФ «ВНДІЖ»)
Р82,
Р83,Звіти про науково- дослідні роботи Київського відділення центрального науково-дослідного інституту зв’язку (КВНДІЗ)
Р86,
Р88,
Р9,
Р90,Звіти про науково- дослідні роботи інституту «Діпровугле автоматизація»
Р91,
Р92,
Р93,
Р94,Звіти за темами науково-дослідних робіт
Р95,
Р96,
Р97,Колекція коксового обладнання
Р98,Звіти про науково-дослідні роботи
Р99,Звіти за темами науково-дослідних робіт по проблемах Науково-дослідного інституту будівельних матеріалів та виробів (НДІБМВ)
