645	Примарія комуни Молниця Дорохойського повіту		0	0
647	Примарія комуни Мамалига Хотинського повіту		0	0
648	Примарія комуни Малинці Хотинського повіту		0	0
649	Примарія комуни Верхні Станівці Сторожинецького повіту		0	0
65	Примарія комуни Маморниця Чернівецького повіту		0	0
650	Примарія комуни Нижні Станівці Сторожинецького повіту		0	0
651	Примарія міста Хотин Хотинського повіту		0	0
391	Хотинський повітовий поселянський стряпчий Бессарабської губернії		0	0
392	Кишинівська окружна лісна дирекція, м. Кишинів		0	0
394	Чернівецька окружна лісна дирекція		0	0
395	Початкова змішана державна школа в комуні Бабин		0	0
396	Початкова змішана школа с. Тирнова		0	0
397	Дорохойський повітовий трибунал		0	0
398	Примарія комуни Ленківці Хотинського повіту		0	0
399	Примарія комуни Неполоківці Чернівецького повіту		0	0
40	Хотинський міський магістрат		0	0
400	Примарія комуни Зелена Хотинського повіту		0	0
401	Примарія комуни Магала Чернівецького повіту		0	0
402	Примарія комуни Кут Баїнські (нині Кут) Чернівецького повіту		0	0
403	Примарія комуни Пригородок Хотинського повіту		0	0
405	Примарія комуни Кут Остриця (нині Остриця) Чернівецького повіту		0	0
407	Примарія комуни Звенячин Чернівецького повіту		0	0
408	Примарія комуни Ставчани Чернівецького повіту		0	0
409	Примарія комуни Шишківці Чернівецького повіту		0	0
41	Примарія комуни Гвіздівці Хотинського повіту		0	0
453	Жандармський пост с. Борівці Чернівецького повіту		0	0
454	Жандармський пост с. Старі Бросківці Сторожинецького повіту		0	0
455	Жандармський пост с. Буда Герцаївської волості Дорохойського повіту		0	0
497	Консульство Чехословацької Республіки в м. Чернівці		0	0
547	Жандармський пост с. Стара Жучка Чернівецького повіту		0	0
549	Жандармський пост с. Ропча Сторожинецького повіту		0	0
55	Примарія комуни Великий Кучурів Чернівецького повіту		0	0
550	Жандармський пост с. Дорошівці Чернівецького повіту		0	0
551	Жандармський пост с. Глиниця Сторожинецького повіту		0	0
552	Жандармський пост с. Ленківці Чернівецького повіту		0	0
553	Жандармський пост с. Динівці Хотинського повіту		0	0
571			1	1
570			1	1
555	Жандармський пост с. Василів Чернівецького повіту		0	0
556	Жандармський пост с. Коржеуци Хотинського повіту		0	0
559	Жандармський пост с. Кадубівці Чернівецького повіту		0	0
56	Примарія комуни Бояни Чернівецького повіту		0	0
560	Жандармський пост с. Ошихліби Чернівецького повіту		0	0
561	Жандармський пост м. Вижниця Сторожинецького повіту		0	0
562	Жандармський пост с. Сучевень Сторожинецького повіту		0	0
563	Жандармський пост с. Романківці Хотинського повіту		0	0
564	Жандармський пост с. Пашківці Хотинського повіту		0	0
655	Примарія міста Вашківці Сторожинецького повіту		0	0
656	Примарія комуни Вашківці Хотинського повіту		0	0
1108	Жандармський пост с. Росошани Хотинського повіту		0	0
1109	Жандармський пост с. Бабин Хотинського повіту		0	0
10	Дирекція поліції, м. Чернівці		0	0
100	Примарія комуни Пелінешти (Білоусівка) Хотинського повіту		0	0
1000	Студентське товариство "Дачія", м. Чернівці		0	0
1001	Студентське товариство "Жунімя", м. Чернівці		0	0
1002	Галицько-Буковинська комісія при обласному комісарі Галичини та Буковини з надання допомоги біженцям з Галичини та Буковини (1917—1918)		0	0
1003	Громадське комерційне управління "Економічні підприємства" примарії м. Чернівці		0	0
1004	Спортивне товариство атлетів Буковини		0	0
1005	Чернівецький окружний комітет товариства Румунського об'єднання футболістів		0	0
1006	Приватна дівоча учительська семінарія "Українська школа" в м. Чернівці		0	0
1007	Початкова змішана державна школа в комуні Старий Вовчинець		0	0
1008	Кооперативне кредитно-ощадне товариство "Албіна" с. Стрілецький Кут Чернівецького повіту		0	0
1009	Кельменецький волосний земельний відділ Хотинського повіту		0	0
1010	Екзаменаційна комісія для учнів середніх шкіл Буковини м. Відень		0	0
1011	Школа вправ, з'єднана з Чернівецькою учительською семінарією		0	0
1012	Австро-румунська комісія з урегулювання кордону між Буковиною та Ру-мунією		0	0
1013	Курси для учениць жіночих ліцеїв Буковини м. Відень		0	0
1014	Студентське товариство "Молода Україна" м. Чернівці		0	0
1015	Примарія комуни Мілієве Сторожинецького повіту		0	0
1016	Головна крайова каса Буковини		0	0
1017	Центральна окружна комісія по встановленню земельних податків на Буковині		0	0
1018	Фінансова прокуратура в м. Львів (у справах Буковини)		0	0
1019	Крайова фінансова дирекція, м. Львів		0	0
1020	Галицьке управління непрямих податків		0	0
1021	Крайова лісова інспекція		0	0
1022	Примарія комуни Тирново Хотинського повіту		0	0
1025	Юридична комісія Чернівецького громадського виконавчого комітету		0	0
1026	Галицька губернська управа (намісництво) у справах Буковини		0	0
1027	Українське студентське товариство "Союз", м. Чернівці		0	0
1028	Чернівецький карний суд		0	0
1029	Сторожинецька повітова управа		0	0
103	Примарія комуни Клішківці Хотинського повіту		0	0
1030	Комісаріат фінансової охорони Буковини		0	0
1031	Чернівецька секція комісаріату фінансової охорони Буковини		0	0
1032	Герцаївський волосний шкільний інспекторат Дорохойського повіту		0	0
1033	Початкова державна мішана школа в с. Антонешть комуни Каплівка		0	0
111	Примарія комуни Турятка Дорохойського повіту		0	0
1034	Хотинське міське комерційне управління підприємств з комунального обслу-говування населення, м. Хотин		0	0
1035	Парафія греко-католицької церкви с. Бояни Чернівецького повіту		0	0
1036	Початкова змішана державна школа с. Верхній Кут (Котул де Сус) комуни Петричанка		0	0
1037	Жандармський пост м. Новоселиця Хотинського повіту		0	0
1038	Сторожинецький пост фінансової охорони комісаріату фінансової охорони Буковини		0	0
1039	Претура Хотинської волості		0	0
104	Примарія комуни Сербичани Хотинського повіту		0	0
1040	Примарія комуни Бузовиця Хотинського повіту		0	0
1041	Примарія комуни Багна Сторожинецького повіту		0	0
1042	Примарія комуни Владична Хотинського повіту		0	0
1043	Нотаріальна палата Буковини		0	0
1044	Примарія комуни Глиниця Сторожинецького повіту		0	0
1045	Примарія комуни Грушевиця Хотинського повіту		0	0
1046	Примарія комуни Данківці Хотинського повіту		0	0
1047	Примарія комуни Драчинці Сторожинецького повіту		0	0
1048	Примарія комуни Долиняни Хотинського повіту		0	0
1049	Примарія комуни Довжок Хотинського повіту		0	0
105	Примарія комуни Маркауци Хотинського повіту		0	0
1050	Примарія комуни Михалешени (нині Михалкове) Хотинського повіту		0	0
1051	Примарія комуни Замостя Сторожинецького повіту		0	0
1052	Примарія комуни Їжівці Сторожинецького повіту		0	0
1053	Примарія комуни Каплівка Хотинського повіту		0	0
1054	Примарія комуни Кельменці Хотинського повіту		0	0
1055	Примарія комуни Мошанець Хотинського повіту		0	0
1056	Примарія комуни Рашків Хотинського повіту		0	0
1057	Примарія комуни Ходорівці Хотинського повіту		0	0
1058	Примарія комуни Шебутинці Хотинського повіту		0	0
1059	Примарія комуни Корчівці Сторожинецького повіту		0	0
106	Примарія комуни Романківці Хотинського повіту		0	0
1060	Поліцейський загін с. Адинката (нині Глибока) Сторожинецького повіту		0	0
1061	Жандармський залізничний пост м. Чернівці Чернівецького повіту		0	0
1062	Кельменецький змішаний суд		0	0
1063	Нотаріус Рудковський Йозеф, м. Вижниця		0	0
1064	Друкарня "Митрополитул Сільвестру" в м. Чернівці		0	0
1065	Нотаріус Векслер Карл, м. Чернівці		0	0
1066	Чернівецький дитячий будинок		0	0
1067	Чернівецька міська єврейська лікарня міської єврейської релігійної громади		0	0
1068	Чернівецьке лісництво, м. Чернівці		0	0
1069	Лісництво у комуні Адинката (нині Глибока) Сторожинецького повіту		0	0
107	Примарія комуни Колінківці Хотинського повіту		0	0
1070	Лісництво "Уніря" у комуні Романківці Хотинського повіту		0	0
1071	Лісництво у комуні Яноуць Хотинського повіту		0	0
1072	Сторожинецьке повітове фінансове управління		0	0
1073	Цукровий завод у с. Хрещатик Чернівецького повіту		0	0
1074	Державний цукровий завод "Зарожень" у комуні Зарожани Хотинського повіту		0	0
1075	Акціонерне товариство хіміко-металургійного заводу "Тером" інженерів Л. Севяну, О. Менеску та К° в м. Чернівці		0	0
1076	Приватна ткацька фабрика "Цесеторія меканіке" інженерів Д. Попеску та Д. Сурду в м. Чернівці		0	0
1077	Румунське акціонерне товариство з експлуатації трикотажно-панчішної фабрики "Трикотанія" в м. Чернівці		0	0
1078	Приватна трикотажно-ткацька фабрика інженера Аурела Воронка в м. Чернівці		0	0
1079	Акціонерне товариство з експлуатації ґудзикової фабрики "Рекорд" інженерів Б. Іонеску, А. Труняну та К в м. Чернівці		0	0
108	Примарія комуни Рокитне Хотинського повіту		0	0
1080	Початкова змішана державна школа комуни Мендиківці		0	0
1081	Колективне товариство інженерів Шандру О., Константинеску К. та К "Тіваро" з експлуатації заводу емальованих, пакувальних, металевих та хімічних виборів у с. Ленківці, передмістя Чернівців		0	0
1082	Румунське колективне товариство з експлуатації фабрики виробів зі срібла "Аржєнта" власників І. Чімпоя та Е. Хотінчану у м. Чернівці		0	0
1083	Румунське акціонерне колективне товариство з обмеженою відповідальністю з експлуатації фабрики по виробництва оцту та гірчиці "Кокошул Буковиней" в м. Чернівці		0	0
1084	Акціонерне колективне товариство з експлуатації пивоварного заводу "Баварія" інженерів І. Протопопеску та К. Копецького		0	0
1085	Філія румунського акціонерного товариства "Контінентала" з торгівлі ви-робами із заліза в м. Чернівці		0	0
1086	Приватні підприємства І. Філіпеску "Ферокомерц" з торгівлі виробами із заліза в м. Чернівці		0	0
1087	Філія румунського акціонерного товариства "Універсал-Транспорт" в м. Чернівці		0	0
1088	Приватновласницькі хіміко-фармацевтичні об'єднані лабораторії "ЛАФАР-ТІЛІЯ" доктора Георгія Белечяну в м. Чернівці		0	0
1089	Магазин бакалійних та галантерейних товарів Петра Глушку в м. Чернівці		0	0
109	Лісництво адміністрації Православного релігійного фонду Буковини у с. Стара Жучка Чернівецького повіту		0	0
1090	Чернівецький повітовий зоотехнічний санітарно-ветеринарний відділ, м. Чернівці		0	0
1091	Нотаріус Бубенік Іон, м. Чернівці		0	0
1092	Хіміко-технічна фабрика власника інженера Думітру Попеску (колишня фабрика "Кулі") у м. Чернівці		0	0
1093	Акціонерне товариство з обмеженою відповідальністю з експлуатації заводу по виробництву пресованих дріжджів та спирту "Ленцєшть" у комуні Нижні Ленківці Чернівецького повіту		0	0
1094	Лісництво у комуні Клішківці Хотинського повіту		0	0
1095	Лісництво у комуні Колінківці Хотинського повіту		0	0
1096	Початкова змішана державна школа в комуні Малий Кучурів		0	0
1097	Експертно-дослідницька станція рибного господарства у комуні Ставчани Чернівецького повіту		0	0
1098	Жандармський пост с. Берестя Хотинського повіту		0	0
1099	Жандармський пост с. Виженка Сторожинецького повіту		0	0
110	Примарія комуни Горбово Дорохойського повіту		0	0
1100	Жандармський пост с. Ярівка Хотинського повіту		0	0
1101	Жандармський пост с. Кам'яна Чернівецького повіту		0	0
1102	Жандармський пост с. Дарабани Хотинського повіту		0	0
1103	Жандармський пост с. Грозинці Хотинського повіту		0	0
1104	Жандармський пост с. Рукшин Хотинського повіту		0	0
1105	Жандармський пост с. Мамалига Хотинського повіту		0	0
1106	Жандармський пост с. Мошанець Хотинського повіту		0	0
1107	Жандармський пост с. Вартиківці Хотинського повіту		0	0
1116	Філія румунського акціонерного товариства з міжнародних перевезень "Ганса Ромине" в м. Чернівці		0	0
1117	Жандармський пост с. Думбрава де Сус (Верхня Діброва) Сторожинецького повіту		0	0
1118	Румунське акціонерне товариство "Індустрія де керестя" з експлуатації лісопильного заводу в м. Чернівці		0	0
1119	Акціонерне товариство "Фабрика ковбасних виробів" с. Подзудека. Філія бухарестської фабрики з виготовлення ковбас та м‘ясних консервів с. Позудека у м. Чернівці		0	0
112	Кіцманський повітовий суд, м.Кіцмань		0	0
1120	Початкова змішана державна школа в комуні Чудей		0	0
1121	Жандармський пост с. Іванівці Хотинського повіту		0	0
1122	Жандармський пост с. Думбрава де Жос (Нижня Діброва) Сторожинецького повіту		0	0
1123	Секція жандармерії в комуні Данківці Хотинського повіту		0	0
1124	Жандармський пост с. Вашківці Хотинського повіту		0	0
1125	Жандармський пост с. Суховерхів Чернівецького повіту		0	0
1126	Жандармський пост с. Гріманкауци Хотинського повіту		0	0
1127	Жандармський пост с. Михальча Чернівецького повіту		0	0
1128	Жандармський пост с. Михалкове Хотинського повіту		0	0
1129	Секція жандармерії в комуні Селятин Сторожинецького повіту		0	0
