archive,code,fond,inventory,file,title,tags,years
ДАКрО,610-1-60,610,1,60,"Метрична книга. Церква Покрови Пресвятої Богородиці, с. Тишківка Чигиринського пов. Оситнязької вол.",метрична книга|народження,1859-1859
ДАКрО,787-2-14Б,787,2,14Б,"Метрична книга. Церква Покрови Пресвятої Богородиці, м-ко Рівне (Ровно) Єлисаветградського пов. Рівненської вол.",метрична книга|народження|шлюб|смерть,1907-1907
ДАКрО,787-2-18Б,787,2,18Б,"Метрична книга. Церква Покрови Пресвятої Богородиці, м-ко Рівне (Ровно) Єлисаветградського пов. Рівненської вол.",метрична книга|народження|шлюб|смерть,1913-1913
ДАКрО,1-1-2А,1,1,2А,"Метрична книга. Свято-Йосипівська церква, с. Березівка Олександрійського пов. Косівської вол.",метрична книга|шлюб,1887-1887
