WKT,Назва,Реєстр,Населені пункти,Повіт
POINT (26.4420563 50.8924361),"Церква Євангелістів, м. Костопіль Костопільського повіту",https://daro-metric-map.pages.dev/parafia/fbf91b5d/,"сс. Антонівка, Головин, Данчиміст, Корчин, Чудви",Костопільський
POINT (26.5757483 50.7108554),"Євангелічно-лютеранська кірха, м-ко Тучин Рівненського повіту Тучинської волості",https://daro-metric-map.pages.dev/parafia/bad5c57e/,м-ко Тучин,Рівненський
POINT (26.2580517 50.6192285),"Житомирський євангелічно-лютеранський приход Рівненського філіалу, м. Рівне Рівненського повіту",https://daro-metric-map.pages.dev/parafia/e00f124d/,"сс. Адамівка, Вербень, Владиславівка, Жуківка, Кадище, Казимирівка, Мальоване, Мар’янівка, Рідкодуби, Соснівка",Рівненський
POINT (26.56872 50.700191),"Житомирський євангелічно-лютеранський приход Тучинського філіалу, м-ко Тучин Рівненського повіту Тучинської волості",https://daro-metric-map.pages.dev/parafia/106f8d9e/,"сс. Амелин, Анелівка, Антонівка, Антопіль, Берестівка, Берестовець, Борівськ, Велика Совпа, Велике Поле, Глубочок, Городець, Дебрещин, Дебриць, Дивинь, Домбрівка, Залізниця, Кадище, Кам’янка, Коловерти, Костопіль, Крухи, Левачі, Любомирка, Марцелин, Маща, Мидськ, Мочулки, Несподзянка, Олександрія, Павлівка, Пісків, Пухова, Руденка, Рудня Стрия, Сергіївка, Сівки, Соломка, Софіївка, Старі Кургани, Телковичі, Топча, Тотовичі, Тригубці, Тучин, Хотин, Хутвіль, Ючин, Якубівка, Яловськ, Янівка; м. Рівне",Рівненський
