id,title,info,lat,lng,tags
dbc11ac3-a0a3-4607-8d9c-72e53c8bdf30,Управління служби національної безпеки України (СНБУ) по Миколаївській області,,,,{спецслужби}
dbc77639-2aaa-4211-957b-15fbfc40b578,"Димитрівська церква, с. Рясне Охтирський повіт",,50.693497,35.394283,{православ'я}
dbc98fd0-aead-4ee0-8c4a-04bdb1f5e555,"Покровська церква, с. Думенки Літинський повіт Хмільницька волость",Подільська духовна консисторія,49.5229127,27.798646,{православ'я}
dbcfb4dd-f921-41d5-afad-d46bcb318aab,"Церква Різдв'яно-Богородична (Богородицька), с. Кам'янка (Камінка, Ка-менка) Охтирський повіт",,50.415077,35.068462,{православ'я}
dbd07aec-a9cd-4f6f-877f-a77f2292076d,"Костянтиноградськая повітова земська управа, м. Костянтиноград Полтавської губернії",,49.3741326,35.4494234,{адміністрація}
dbd4153a-6e93-489f-8865-f9480a935876,"Вознесенська церква, с. Боблів Брацлавський повіт Немирівська волость",Подільська духовна консисторія,49.043999,28.82572,{православ'я}
dbd4fc62-f365-4bdb-8f0c-6376a2a27c1d,"Сільськогосподарська артіль (колгосп) ім. Леніна, с. Салівка Салівської сільради Кременчуцького р-ну Полтавської обл.",,48.9998076,33.7844597,{колгосп}
dbd50a56-1d52-4cc6-a799-f1886dc248d1,"Лисинський римсько-католицький парафіяльний костьол, с. Лисин Боремельська волость Дубенський повіт",Дубенський деканат,50.472809,25.277882,{римо-католицизм}
dbdae252-6c77-403e-8e5a-2cac857f0aee,"Олександрійський міський сирітський суд, м.Олександрія Олександрійського повіту Херсонської губернії",,48.670609,33.1169742,{суд}
dbe75043-e51a-4fa1-8f98-40daef0e12b2,"Церква Святої Трійці, м. Білилівка Білилівська волость, Бердичівський повіт",Київська єпархія,49.680519,29.03446,{православ'я}
dbec282b-511c-4616-9d6e-5245bf271c35,"Церква Св. Дмитрія, с. Киданці Збаразький повіт",,49.57237,25.86834,{православ'я}
dbec4264-128b-409c-aefe-c01716fd162d,"Церква Архангела Михаїла, с. Верхній Токмак Бердянський повіт Чернігівська волость",,47.186279,36.35891,{православ'я}
dbecb9e5-eb17-44c2-885e-308cff2de309,"Сільськогосподарська артіль (колгосп) ""Комінтерн"", с. Несено-Іржавець Несено-Іржавецької сільради Лазірківського р-ну Полтавської обл.",,49.9549577,32.6953098,{колгосп}
dbeed42a-263c-4305-96ea-cf4ea23cf9b8,"олександро-невський собор, м. Кам'янець-подільський Кам'янецький повіт Довжоцька волость",Подільська духовна консисторія,48.6781294,26.5854027,{православ'я}
dbfcc572-f940-480b-b441-024ca1976ed7,"Сільськогосподарська артіль (колгосп) ""Гігант"", с. Богданівка Богданівської сільради Новосанжарського р-ну Полтавської обл.",,49.2650779,34.1052711,{колгосп}
dc0bb8f6-1eff-434d-9b6f-a2f3954e6b74,"Троїцька церква, с. Бреч Сновського району",,51.743095,32.61264,{православ'я}
dc11aff2-e7f5-46f8-8c65-2165065d7bb9,"Костел Святої Трійці, с. Зіньків Летичівський повіт",Летичівський деканат,49.0925182,27.0734795,{}
dc162642-f44f-47de-a209-190674f35cb0,"Троїцька церква, м. Тлумач Тлумацький повіт",,48.8868178,25.0792976,{православ'я}
dc169075-3fa5-4ade-8f96-9b30a5e383b9,"Церква Святого Георгія Побідоносця, м. Дубно (передмісття Сурмичі) Дубенський повіт",Дубенський деканат,50.4187918,25.7455972,{православ'я}
dc19061d-a5ee-4581-b5b9-a89bf5f289a5,"Церква Святої Трійці, м. Радомисль",Київська єпархія,50.4961812,29.2289588,{православ'я}
dc19d452-fc39-4b58-b97f-e0322ed10592,"Церква Св. Архангела Михаїла, с. Перківці І округу Хотинський повіт",,48.4503545,26.6556676,{православ'я}
dc1c6256-d76e-4e5c-8932-4b7a149c2fd0,"Церква Святого Апостола і Євангеліста Іоанна Богослова, с. Каламаринка Красилівська волость, Старокостянтинівський повіт",Волинська єпархія,49.678497,27.057697,{православ'я}
dc20d02c-dc03-4933-826d-f4a6bae85520,"Церква Святого Олександра Невського, с. Долинська Олександрійський повітБоківська волость",,48.1164313,32.7638204,{православ'я}
dc230eb9-7cd7-4c25-9cee-e9319339ea91,"Михайлівська церква, м. Дзигівка Ямпільський повіт Дзигівська волость",Подільська духовна консисторія,48.353975,28.316277,{православ'я}
dc318c09-22bf-4196-bd83-b55ef96f9165,"Церква Архангельська (Архангело-Михайлівська), слоб. Краснопілля Охтирський повіт",,50.761299,35.16655,{православ'я}
dc31badd-1674-4140-ad07-1ec67ba603df,Архістратиго-Михайлівська церква с. Хоцьки Переяславський повіт,,49.902988,31.64887,{православ'я}
dc36969d-d5e3-481c-b9a0-c2b21b769840,Чорнобильський РАЦС,,51.2705477,30.2195609,"{""цивільний стан""}"
