WKT,Назва,Реєстр,Населені пункти,Повіт,Координати
POINT (24.432456 50.501635),с. Бобятин (Bobiatyn),"Сторінка 21
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.50163485952364, 24.43245648285139"
POINT (23.950285 50.429263),с. Будинин (Budynyn),"Сторінка 26
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.42926345539144, 23.950284612648467"
POINT (24.096851 50.373386),с. Ванів (Waniów),"Сторінка 28
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.37338553323449, 24.096850942622332"
POINT (24.080207 50.442019),с. Вербіж (Wierzbiąż),"Сторінка 29
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.442018934644395, 24.080207093335396"
POINT (24.347613 50.392997),с. Волиця Комарова (Wolica Komarowa),"Сторінка 36
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.392997442660175, 24.3476125379597"
POINT (24.287419 50.338890),с. Волсвин (Wołswin),"Сторінка 38
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.33888963849048, 24.287418593659506"
POINT (24.126469 50.369118),с. Глухів (Głuchów),"Сторінка 46
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.369117921530396, 24.126468855242926"
POINT (24.382099 50.324325),с. Гоголів (Hohołów),"Сторінка 47
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.32432468254741, 24.382098895629884"
POINT (24.051812 50.376767),с. Гора (Góra),"Сторінка 49
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.37676719854277, 24.051811526681675"
POINT (24.353733 50.479262),с. Горбків (Horbków),"Сторінка 50
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.479262400075505, 24.353732548766356"
POINT (24.241678 50.317097),с. Городище Василіянське (Horodyszcze Wasylianske),"Сторінка 51
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.317096934177094, 24.24167828934514"
POINT (24.240200 50.412572),с. Добрачин (Dobraczyn),"Сторінка 61
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.412571792993, 24.240200218109766"
POINT (24.108810 50.408808),с. Жабче Муроване (Żabcze Murowane),"Сторінка 69
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.40880804432751, 24.108809755414864"
POINT (24.261708 50.446931),с. Завишня (Zawisznia),"Сторінка 74
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.4469309853112, 24.261707995057083"
POINT (24.394669 50.396472),с. Зубків (Zubków),"Сторінка 81
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.39647232614961, 24.394669130577842"
POINT (24.312589 50.522209),с. Ільковичі (Ilkowice),"Сторінка 82
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.52220923101547, 24.312588879111615"
POINT (24.209081 50.381032),с. Клюсів (Klusów),"Сторінка 85
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.38103214885467, 24.20908107790845"
POINT (24.316430 50.400496),с. Комарів (Komarów),"Сторінка 88
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.4004956129542, 24.316430048673492"
POINT (24.395378 50.481090),с. Копитів (Kopytów),"Сторінка 90
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.48109046180338, 24.39537774703945"
POINT (24.391644 50.340566),с. Корчин (Korczyn),"Сторінка 91
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.3405660398766, 24.391643574189967"
POINT (24.094037 50.307244),с. Куличків (Kuliczków),"Сторінка 98
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.30724374692715, 24.094037339328178"
POINT (24.497781 50.487759),с. Лещатів (Leszczatów),"Сторінка 101
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.48775859793281, 24.497781323199188"
POINT (24.539444 50.521108),с. Лучиці (Łuczyce),"Сторінка 108
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.52110795824106, 24.539443508688105"
POINT (24.218806 50.333101),с. Пархач (Parchacz),"Сторінка 138
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.33310129085536, 24.218806064076684"
POINT (24.454817 50.458134),с. Перв'ятичі (Perwiatycze),"Сторінка 138
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.458134474413434, 24.454816886794855"
POINT (24.441432 50.400797),с. Переспа (Perespa),"Сторінка 139
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.40079721768283, 24.441431828814235"
POINT (24.321519 50.350462),с. Поздимир (Poździmierz),"Сторінка 147
https://tsdial.archives.gov.ua/pdf/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%B3%D1%80%D0%B5%D0%BA%D0%BE-%D0%BA%D0%B0%D1%82.%202023.pdf",,Сокальський,"50.35046181772979, 24.321518575768376"
