imp_id,imp_title,old_id,old_title,dist_km,full_sim
a926269c-97c6-4e08-8684-ac7d107364a3,Шельвів,0ada6145-8d5d-4f78-a0bb-0a9ec7b6864d,"Церква Хресто-Воздвиженська, с. Шельвів Хорівська волость Володимир-Волинський повіт",0.68,0.12
a926269c-97c6-4e08-8684-ac7d107364a3,Шельвів,58f57712-b092-476e-9752-a55b6bda79be,"Покровська церква, с. Шельвів Заславський повіт Михнівська волость",0.68,0.14
78fc5018-1de0-4c8a-8d32-353ed12bb083,Широка Гребля,ab4898de-8fd4-4ff4-bfa0-07c6ee53f943,"Іоанно-Богословська церква, с. Широка Гребля Вінницький повіт Подільська губернія",0.14,0.19
78fc5018-1de0-4c8a-8d32-353ed12bb083,Широка Гребля,3f9e4ff1-e0fe-449d-b9e0-11d8d44f5669,"Іоанно-богословська церква, с. Широка Гребля Вінницький повіт Юзвинська волость",0.14,0.19
00e3bc75-98fa-412a-934e-4b09aae4a0d5,Шкуринці (Прибузьке),be6283d8-d520-43c3-af84-d4090c7171f8,"Успенська церква, с. Шкуринці Вінницький повіт Подільська губернія",0.35,0.14
00e3bc75-98fa-412a-934e-4b09aae4a0d5,Шкуринці (Прибузьке),785222f2-8bd8-4cab-99a8-72bd0071c203,"Успенська церква, с. Шкуринці Вінницький повіт Юзвинська волость",0.35,0.15
43413bdb-b032-44ac-93b3-f785077f072c,Юзвин (містечко),08774c4a-4cd9-41fd-b78e-b5e3cf68dbed,"Успенська церква, м. Юзвин Вінницький повіт Юзвинська волость",0.06,0.12
43413bdb-b032-44ac-93b3-f785077f072c,Юзвин (містечко),821ad083-cb9e-4807-ba07-f2adacc564b1,"Успенська церква, с. Юзвин Вінницький повіт Подільська губернія",0.06,0.09
99e3591b-aa26-4968-8dd1-3d5e6b4343c8,Юхимівка,8973a446-fec8-42fd-be32-ee71c33e5712,"Різдво-богородична церква, с. Юхимівка Ямпільський повіт Пеньківська волость",0.48,0.13
99e3591b-aa26-4968-8dd1-3d5e6b4343c8,Юхимівка,e274ddcd-ff55-4576-916f-85900bde7672,"Різдво-Богородицька церква, с. Юхимівка Ямпільський повіт Подільська губернія",0.48,0.13
64abfd8f-c53b-4b86-9d56-8c90db32ac9c,"Ямпіль, Миколаївська",8c48e22c-9278-4142-ae14-1e12943d4fe4,"Костел Непорочного Зачаття Пресвятої Богородиці, м. Ямпіль Ямпільський повіт",1.17,0.12
64abfd8f-c53b-4b86-9d56-8c90db32ac9c,"Ямпіль, Миколаївська",a73a17c8-9530-4e44-aa05-0ea1a41b8614,"Різдво-богородична церква, м. Ямпіль Ямпільський повіт Бабчинецька волость",1.17,0.15
