40	105	1018А	Метрична книга. Церква Архангело-Михайлівська, слоб. Ольшана Лебединського пов.; Церква Варварівська, с. Вища Верхосулка Лебединського пов.; Церква Іоанно-Воїнська, с. Товсте Лебединського пов.; Церква Іоанно-Предтечівська, с. Штепівка Лебединського пов.; Церква Миколаївська, с. Будки Лебединського пов. та інші церкви	1851-1851	метрична книга|народження|смерть|шлюб	0	ДАХО-40-105-1018А
40	105	1019	Метрична книга. Церква Архангело-Михайлівська, с. Курган Лебединського пов.; Церква Георгіївська, слоб. Голланівка (Галановка) Лебединського пов.; Церква Крестовоздвиженська, слоб. Межирич Лебединського пов.; Церква Миколаївська, с. Боброве Лебединського пов.; Церква Миколаївська, слоб. Грунька Лебединського пов. та інші церкви	1852-1852	метрична книга|народження|смерть|шлюб	0	ДАХО-40-105-1019
40	105	102	Метричні книги та передшлюбні обшуки православних церков Харківського повіту	1855-1855	метрична книга|народження|смерть|шлюб	1	ДАХО-40-105-102
40	105	1020	Метрична книга. Церква Варварівська, с. Вища Верхосулка Лебединського пов.; Церква Іоанно-Воїнська, с. Товсте Лебединського пов.; Церква Іоанно-Предтечівська, с. Штепівка Лебединського пов.; Церква Миколаївська, с. Будки Лебединського пов.; Церква Миколаївська, с. Голубівка Лебединського пов. та інші церкви	1852-1852	метрична книга|народження|смерть|шлюб	0	ДАХО-40-105-1020
40	105	1020А	Метрична книга. Церква Архангело-Михайлівська, слоб. Ольшана Лебединського пов.; Церква Покровська, слоб. Терни Лебединського пов.	1852-1852	метрична книга|народження|смерть|шлюб	0	ДАХО-40-105-1020А
40	105	1021	Метрична книга. Церква Архангело-Михайлівська, с. Малий Істороп Лебединського пов.; Церква Дмитріївська, слоб. Бишкин Лебединського пов.; Церква Іоанно-Предтечівська, слоб. Рябушки Лебединського пов.; Церква Миколаївська, с. Боровеньки Лебединського пов.; Церква П'ятницька, с. Великий Істороп Лебединського пов. та інші церкви	1852-1852	метрична книга|народження|смерть|шлюб	0	ДАХО-40-105-1021
40	105	1022	Метрична книга. Церква Воскресенська, с. Ясинове Лебединського пов.; Церква Знаменська, с. Протопопівка (Лосівка) Лебединського пов.; Церква Казанська (Казансько-Богородицька), с. Чупахівка Лебединського пов.; Церква Миколаївська, с. Буймер Лебединського пов.; Церква Миколаївська, с. Мартинівка Лебединського пов. та інші церкви	1852-1852	метрична книга|народження|смерть|шлюб	0	ДАХО-40-105-1022
40	105	102289	Метрична книга. Церква Архангело-Михайлівська, с. Ободи Сумського пов.	1855-1855	метрична книга|смерть	0	ДАХО-40-105-102289
40	105	1023	Метрична книга. Церква Архангело-Михайлівська, с. Курган Лебединського пов.; Церква Крестовоздвиженська, слоб. Межирич Лебединського пов.; Церква Миколаївська, с. Боброве Лебединського пов.; Церква Миколаївська, слоб. Грунька Лебединського пов.; Церква Миколаївська, с. Червлене Лебединського пов. та інші церкви	1853-1853	метрична книга|народження|смерть|шлюб	0	ДАХО-40-105-1023
40	105	1024	Метрична книга. Церква Архангело-Михайлівська, с. Малий Істороп Лебединського пов.; Церква Дмитріївська, слоб. Бишкин Лебединського пов.; Церква Іоанно-Предтечівська, слоб. Рябушки Лебединського пов.; Церква Миколаївська, с. Боровеньки Лебединського пов.; Церква П'ятницька, с. Великий Істороп Лебединського пов. та інші церкви	1853-1853	метрична книга|народження|смерть|шлюб	0	ДАХО-40-105-1024
