19	3ДОД	Волинська об'єднана палата кримінального і цивільного суду м. Житомир, Волинської губернії	0
21	1	Волинський совісний суд м. Житомир, Волинської губернії	1
22	2	Волинська ліквідаційна комісія по скасуванню боргів конфіскованих маєтків м. Житомир, Волинської губернії	0
22	1	Волинська ліквідаційна комісія по скасуванню боргів конфіскованих маєтків м. Житомир, Волинської губернії	437
23	1Д	Опис 1 додатковий	0
23	1ДОД	Волинський надвірний суд м. Житомир, Волинської губернії	0
23	1	Волинський надвірний суд м. Житомир, Волинської губернії	0
25	1	Старший нотаріус Житомирського окружного суду м. Житомир, Волинської губернії	0
25	2	Старший нотаріус Житомирського окружного суду м. Житомир, Волинської губернії	0
25	3	Старший нотаріус Житомирського окружного суду м. Житомир, Волинської губернії	0
25	4	Старший нотаріус Житомирського окружного суду м. Житомир, Волинської губернії	0
25	5	Старший нотаріус Житомирського окружного суду м. Житомир, Волинської губернії	0
25	6	Старший нотаріус Житомирського окружного суду м. Житомир, Волинської губернії	0
26	5	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	15	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	16	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	6	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	1	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	2	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	3	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	4	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	7	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	8	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	9	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	10	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	11	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	12	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	13	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	14	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	17	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	1ДОД	Житомирський нотаріус Пршеменський Єразм Степанович м. Житомир, Волинської губернії	0
26	1Д	Опис 1 додатковий	0
27	1	Житомирський нотаріус Філіппов Іван Миколайович м. Житомир, Волинської губернії	11
27	1ДОД	Житомирський нотаріус Філіппов Іван Миколайович м. Житомир, Волинської губернії	0
27	1Д	Опис 1 додатковий	0
29	1	Житомирський нотаріус Завалієвський Андрій Васильович м. Житомир, Волинської губернії	0
30	1ДОД	Житомирський нотаріус Семковський Олександр Антонович м. Житомир, Волинської губернії	0
30	1	Житомирський нотаріус Семковський Олександр Антонович м. Житомир, Волинської губернії	0
30	1Д	Опис 1 додатковий	0
31	1	Житомирський нотаріус Малевич Олександр Михайлович м. Житомир, Волинської губернії	0
32	1	Житомирський нотаріус Громачевський Семен Григорович м. Житомир, Волинської губернії	0
33	1	Житомирський нотаріус Котелевський Іван Михайлович м. Житомир Волинської губернії	0
38	1	Чуднівський нотаріус Масюкевич Микола Онуфрійович м-ко Чуднів, Житомирського повіту	0
39	1	Овруцький нотаріус Ольшанський Йосип Феофілович м. Овруч, Волинської губернії	0
40	1	Овруцький нотаріус Кухаренко Олександр Іванович м. Овруч, Волинської губернії	0
42	1	Іскоростенський нотаріус Кашин Іван Іванович м-ко Іскоростень, Овруцького повіту	2
43	1	Новоград-Волинський нотаріус Лобко-Лобановський Яків Миколайович м. Нов.-Волинський, Волинської губернії	0
