id,resource_id,parsed,url
b6318cc8-d2e9-4d49-926b-e59e665ec753,e106fff5-12bd-4023-bbf6-fbf58faaf1b7,ДАОО-(1008_1+++1008_1+++1008_1),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=126368414
83936017-9abd-4755-8253-86f8f1cd979e,e106fff5-12bd-4023-bbf6-fbf58faaf1b7,ДАОО-(1008_1_10+++1008_1_10+++1008_1_10),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=126910759
803ca768-9263-4392-85b5-1be3d3218f4c,e106fff5-12bd-4023-bbf6-fbf58faaf1b7,ДАОО-(1008_1_1+++1008_1_1+++1008_1_1),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=126368439
3922c937-8b9f-40f6-bfcf-b0e185755222,e106fff5-12bd-4023-bbf6-fbf58faaf1b7,ДАОО-(1008_1_2+++1008_1_2+++1008_1_2),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=126910757
d5b98146-639b-46aa-a434-7a0fb11fb629,e106fff5-12bd-4023-bbf6-fbf58faaf1b7,ДАОО-(1008_1_3+++1008_1_3+++1008_1_3),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=126910754
f1d71708-47bd-496b-a9d0-6672f3e15d28,e106fff5-12bd-4023-bbf6-fbf58faaf1b7,ДАОО-(1008_1_4+++1008_1_4+++1008_1_4),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=126368432
112614dd-00bb-4de2-b27a-79d1737cd261,e106fff5-12bd-4023-bbf6-fbf58faaf1b7,ДАОО-(1008_1_5+++1008_1_5+++1008_1_5),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=126368426
518afce5-83c6-42c7-a8df-faedebe8ee64,e106fff5-12bd-4023-bbf6-fbf58faaf1b7,ДАОО-(1008_1_6+++1008_1_6+++1008_1_6),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=126368419
f4a69b28-56c0-4f88-9d58-fe76c795ba88,e106fff5-12bd-4023-bbf6-fbf58faaf1b7,ДАОО-(1008_1_7+++1008_1_7+++1008_1_7),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=126910760
d02e1245-b4ce-4961-aa70-5001a56bee37,e106fff5-12bd-4023-bbf6-fbf58faaf1b7,ДАОО-(1008_1_8+++1008_1_8+++1008_1_8),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=126911435
8ccc1351-7ebb-4e70-854d-3efb0f8e13f9,e106fff5-12bd-4023-bbf6-fbf58faaf1b7,ДАОО-(1008_1_9+++1008_1_9+++1008_1_9),https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=126911438
