archive,code,fond,inventory,file,title,tags,years
ДАЧгО,1530-2-1103,1530,2,1103,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1873-1873
ДАЧгО,1530-2-1107,1530,2,1107,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1874-1874
ДАЧгО,1530-2-1118,1530,2,1118,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1875-1875
ДАЧгО,1530-2-1137,1530,2,1137,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,"1877-1877,1911-1911"
ДАЧгО,1530-2-1156,1530,2,1156,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1880-1880
ДАЧгО,1530-2-1164,1530,2,1164,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1881-1881
ДАЧгО,1530-2-1174,1530,2,1174,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1882-1882
ДАЧгО,1530-2-1178,1530,2,1178,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1883-1883
ДАЧгО,1530-2-1187,1530,2,1187,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1884-1884
ДАЧгО,1530-2-1195,1530,2,1195,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1885-1885
ДАЧгО,1530-2-1203,1530,2,1203,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1886-1886
ДАЧгО,1530-2-1206,1530,2,1206,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1887-1887
ДАЧгО,1530-2-1230,1530,2,1230,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1890-1890
ДАЧгО,1530-2-1239,1530,2,1239,"Метрична книга. Церква в ім’я Архістратига Михаїла, с. Богданівка Прилуцького повіту",метрична книга|народження|шлюб|розлучення,1891-1891
