oc_id,parsed,target
f6beefb0-c08d-4770-b2b7-77c02dba4a03,ДАДнО-660-1,ДАДНО-660-1
7ea902c1-efb5-4688-9683-ce5029b7ffa8,ДАДнО-665-1,ДАДНО-665-1
ec7d1ee9-b056-4a60-b66d-ec54f1ecd2b9,ДАДнО-672-1,ДАДНО-672-1
728e65c0-60ba-40e4-b3cc-c2bc7e52d26a,ДАДнО-674-1,ДАДНО-674-1
9e481c30-b376-40c6-9c7d-d6993d206732,ДАДнО-677-1,ДАДНО-677-1
5cffd06a-3287-4713-a167-dcd7c5acef41,ДАДнО-678-1,ДАДНО-678-1
6905704e-d589-4e66-9d6a-57017b8864c5,ДАДнО-679-1,ДАДНО-679-1
49213098-84a7-4673-a87a-9eb95419f03d,ДАДнО-681-1,ДАДНО-681-1
4f5a4e88-0b02-4356-916d-2ccd86033cc3,ДАДнО-687-1,ДАДНО-687-1
9e888fbb-f354-463e-b860-abcea9acd4fe,ДАДнО-688-1,ДАДНО-688-1
336dcba7-be90-41d2-849a-acf745172be3,ДАДнО-689-1,ДАДНО-689-1
5c936bbc-ad0c-4b14-bf27-a7ac2ca1fee4,ДАДнО-691-1,ДАДНО-691-1
c73a5120-fce4-4292-9569-ac2e23591973,ДАДнО-692-1,ДАДНО-692-1
b80c3824-fe77-41f0-a09e-65ed60e3c591,ДАДнО-693-1,ДАДНО-693-1
415a1459-e402-497d-b809-989b920f9c91,ДАДнО-694-1,ДАДНО-694-1
0bab1a83-5dec-4056-8313-e48936d43e0f,ДАДнО-697-1,ДАДНО-697-1
0724409c-38ec-4eff-b3db-d793d5354a1c,ДАДнО-70-1,ДАДНО-70-1
d38f3bf1-6c54-42f3-9447-bfe0317ffe8d,ДАДнО-701-1,ДАДНО-701-1
8cca1299-14fa-459a-a5cf-2d9714f34a9a,ДАДнО-702-1,ДАДНО-702-1
8ae412a5-1ca0-4f81-9166-00e64e04b428,ДАДнО-703-1,ДАДНО-703-1
81de458c-24a2-4d63-bb7f-1d6f8ad48232,ДАДнО-704-1,ДАДНО-704-1
c2c8e364-7e75-4471-97e0-60ecf5ef8370,ДАДнО-705-1,ДАДНО-705-1
f23f8b6c-b2fb-464a-a5ca-1c7bd4cf7311,ДАДнО-706-1,ДАДНО-706-1
245f81b9-ffef-4e71-accd-5f1e627f5f89,ДАДнО-707-1,ДАДНО-707-1
dfd10e88-467f-4ff6-8a0a-dacf96be29a6,ДАДнО-72-1,ДАДНО-72-1
44628b9d-74cc-4754-a374-2c235bc86dfb,ДАДнО-741-1,ДАДНО-741-1
45e3caa0-e7b5-44c9-9005-7f16f6de0db1,ДАДнО-817-1,ДАДНО-817-1
8f0e3853-1a79-424a-887c-25264ad5ab1c,ДАДнО-818-1,ДАДНО-818-1
2e277163-a2ed-4bcd-8cb5-65fa5cfbf730,ДАДнО-821-1,ДАДНО-821-1
8035f5af-4198-4baa-8730-1166654d3d9f,ДАДнО-822-1,ДАДНО-822-1
2643f265-3fbf-4ec5-8508-c852d451161e,ДАДнО-823-1,ДАДНО-823-1
c8c2d954-2cab-4e40-b4d3-6f61d14525fc,ДАДнО-824-1,ДАДНО-824-1
25a7419b-551d-46b7-8390-5ad9b84deb8c,ДАДнО-825-1,ДАДНО-825-1
6c1e9720-194e-4cef-8968-fe2956b893d9,ДАДнО-826-1,ДАДНО-826-1
d20031c6-827a-41ef-9fa8-305997181cf4,ДАДнО-829-1,ДАДНО-829-1
e2cee5ba-656d-43b6-af04-e4314a241426,ДАДнО-830-1,ДАДНО-830-1
33fdf4ef-7a74-470f-81f5-04baa7d27d3b,ДАДнО-831-1,ДАДНО-831-1
9f002b6a-d933-4cf9-9fc0-ee32749a3e54,ДАДнО-832-1,ДАДНО-832-1
1f701abf-4911-46e3-9cbb-00a519ef22ed,ДАДнО-833-1,ДАДНО-833-1
28a3e8d5-9e0d-4473-9735-05de20f5f6bd,ДАДнО-834-1,ДАДНО-834-1
59bd2eb6-97be-4971-96f7-cb732c67dce5,ДАДнО-835-1,ДАДНО-835-1
5798910b-fb42-4e38-a10f-536f2886b3a3,ДАДнО-836-1,ДАДНО-836-1
0cfe1d69-ccff-4386-82dd-f5ec2de0a3db,ДАДнО-838-1,ДАДНО-838-1
7ba1aa0d-fd0f-4911-8db2-018a15c58378,ДАДнО-839-1,ДАДНО-839-1
bf9858ee-4bfd-42fd-a248-2bb9944dd99b,ДАДнО-856-1,ДАДНО-856-1
cbe095cb-a43f-44c3-b4ff-269dff398e69,ДАДнО-858-1,ДАДНО-858-1
ab19e141-13d8-4b64-933d-da39cffad1d7,ДАДнО-858-2,ДАДНО-858-2
1ae37aef-0112-47e4-911a-81febdbd86d3,ДАДнО-859-1,ДАДНО-859-1
ee82480c-5ec3-4d5e-8820-faefbf89500d,ДАДнО-861-1,ДАДНО-861-1
d683e59a-63e9-4f23-820a-8a51d7c0c1f1,ДАДнО-861-2,ДАДНО-861-2
69e1c8d4-5826-4ba6-aa37-966b4b20303d,ДАДнО-863-1,ДАДНО-863-1
13e584a0-61a7-4508-aa5f-fde091957e27,ДАДнО-863-1,ДАДНО-863-1
44725d40-5d33-4d9f-9595-0b8684e1f7b6,ДАДнО-Р1013-1,ДАДНО-Р1013-1
82a791a0-12c2-441e-bd3d-d96d8413955f,ДАДнО-Р1013-2,ДАДНО-Р1013-2
4fecd2ba-6bdd-416e-b36f-19881af7628a,ДАДнО-Р1015-1,ДАДНО-Р1015-1
3ab66176-4aa8-44db-b2e0-27880d918085,ДАДнО-Р1017-1,ДАДНО-Р1017-1
925a5a28-8789-40d7-a31d-bb1dc0f7a4d2,ДАДнО-Р1062-1,ДАДНО-Р1062-1
1df43250-4378-4fd6-968a-c98f67aca705,ДАДнО-Р1-1,ДАДНО-Р1-1
e6338e11-1acf-4250-b9ec-57b9c4307e65,ДАДнО-Р1103-1,ДАДНО-Р1103-1
bc2494bc-9934-4c82-9913-0e3c84e91ec6,ДАДнО-Р1109-1,ДАДНО-Р1109-1
542e80c9-5b97-41b6-9bd9-b1e49999c4c9,ДАДнО-Р1121-1,ДАДНО-Р1121-1
d3385a48-8e11-4562-89ca-209e927c5e6b,ДАДнО-Р1123-1ДОД,ДАДНО-Р1123-1ДОД
2a897cd0-d0f6-42bc-8182-2674f1f6a76a,ДАДнО-Р1123-3,ДАДНО-Р1123-3
d06ef238-e2f4-4698-8156-657c237cdafb,ДАДнО-Р1126-1,ДАДНО-Р1126-1
4cf3aafa-989d-44e0-9039-769e1503fe63,ДАДнО-Р1129-1,ДАДНО-Р1129-1
a836a489-1f05-4933-a76e-036a328de081,ДАДнО-Р1134-1,ДАДНО-Р1134-1
34eb4854-6baa-452c-965e-f3f3eec35474,ДАДнО-Р1144-1,ДАДНО-Р1144-1
0dd43924-d0a5-46e1-98a8-1ef6120ec418,ДАДнО-Р1145-1,ДАДНО-Р1145-1
85b6c22d-eac2-4da2-826d-673bb7d29a4c,ДАДнО-Р1147-1,ДАДНО-Р1147-1
9743fa63-4912-474b-9255-0533a7d01a4a,ДАДнО-Р1148-1,ДАДНО-Р1148-1
120cb3fc-011e-402d-8c30-e64fe1a300e9,ДАДнО-Р1149-1,ДАДНО-Р1149-1
7c66dd80-9780-4cfb-980a-c8137951f456,ДАДнО-Р1169-1,ДАДНО-Р1169-1
031acc6f-f06c-4d16-9d0f-8ce2c9c83479,ДАДнО-Р1170-1,ДАДНО-Р1170-1
7527b886-fe89-4571-be06-1d0c832676cf,ДАДнО-Р1171-1,ДАДНО-Р1171-1
128cf128-9278-4ca4-a026-cecd275d4127,ДАДнО-Р1171-2,ДАДНО-Р1171-2
a723bfb9-903c-4baa-83ae-a585b23a4fab,ДАДнО-Р1174-1,ДАДНО-Р1174-1
6d51b4c9-4958-478c-8685-36c2f9840bdf,ДАДнО-Р1176-1,ДАДНО-Р1176-1
43185d46-e2c1-4126-8c22-ff9c3cb33bea,ДАДнО-Р1180-1,ДАДНО-Р1180-1
c4cd247f-146b-4e58-a164-7d19c7f8c05d,ДАДнО-Р1183-1,ДАДНО-Р1183-1
8db61b01-85a8-4e0d-b5fb-a08308d5adcf,ДАДнО-Р1184-1,ДАДНО-Р1184-1
3836ec09-42ef-4910-abc0-e61267713bb1,ДАДнО-Р1184-2,ДАДНО-Р1184-2
06cf4255-0909-4e96-b8dd-a83a98b4b5d6,ДАДнО-Р1209-1,ДАДНО-Р1209-1
2b188478-c71f-41b9-9427-e5cc7ac5d860,ДАДнО-Р1209-2,ДАДНО-Р1209-2
aeb73bb7-9f1b-4b0e-b860-1f3daac06558,ДАДнО-Р1218-1,ДАДНО-Р1218-1
01a9f695-0e10-4d00-b36c-7e82c88e433e,ДАДнО-Р1218-2,ДАДНО-Р1218-2
048e4319-c4e1-4235-9d12-bb14273f06b1,ДАДнО-Р1219-1,ДАДНО-Р1219-1
f6255f97-5a23-413e-8132-cfc7ce9bb142,ДАДнО-Р122-1,ДАДНО-Р122-1
6e074c9b-4e62-4e40-8563-455e0ae7ae07,ДАДнО-Р122-2,ДАДНО-Р122-2
92d04fc0-d01b-4e07-886d-41f68db41494,ДАДнО-Р1230-1,ДАДНО-Р1230-1
1ebaaf19-d24b-4fa7-b993-f4b1cfb0021c,ДАДнО-Р1232-1,ДАДНО-Р1232-1
4d7d1eb4-05a1-481b-9c98-52c4c11abbf7,ДАДнО-Р1234-1,ДАДНО-Р1234-1
9f26970a-74ed-4c16-9722-6f8ae7f10db4,ДАДнО-Р1234-2,ДАДНО-Р1234-2
c37caccd-6022-462e-901a-fa0419dc45c6,ДАДнО-Р1251-1,ДАДНО-Р1251-1
4d64e5be-79d2-4473-a800-31dbe8793009,ДАДнО-Р1253-1,ДАДНО-Р1253-1
