oc_id,parsed,target
5d9fa6f0-f516-4d6a-9427-03783c08b9e2,ДАЛО-27-5 том 1-425,ДАЛО-27-5-425
fb6a6216-4118-41b9-a987-0e3f8e38699a,ДАЛО-27-5 том 1-426,ДАЛО-27-5-426
523d19a1-1dc2-4b68-b537-9da87e5692c8,ДАЛО-27-5 том 1-427,ДАЛО-27-5-427
47bad681-d5fb-4b86-82f6-2631ad0a0350,ДАЛО-27-5 том 1-428,ДАЛО-27-5-428
aeefcfdc-54a3-41f2-8735-7b7562c3e7b2,ДАЛО-27-5 том 1-429,ДАЛО-27-5-429
96c7df8a-932c-4815-8a2a-a7cb38008be3,ДАЛО-27-5 том 1-430,ДАЛО-27-5-430
d07ff994-6dce-43e8-aebd-a0873aad40b1,ДАЛО-27-5 том 1-431,ДАЛО-27-5-431
97b31daf-be12-4503-a05b-97bf2ff06a49,ДАЛО-27-5 том 1-432,ДАЛО-27-5-432
64be7ea6-d91f-4f9b-8f48-dca8d6db30c2,ДАЛО-27-5 том 1-433,ДАЛО-27-5-433
bd3ba6fd-717e-42ca-8221-4f9eaaa2bacb,ДАЛО-27-5 том 1-434,ДАЛО-27-5-434
7b8d3e1f-03ba-4751-9b91-4ff3783ccafd,ДАЛО-27-5 том 1-435,ДАЛО-27-5-435
3e926585-c466-417e-ba94-abf366aa524b,ДАЛО-27-5 том 1-436,ДАЛО-27-5-436
5b0b6d60-0d6c-468b-aec6-f216a75181ac,ДАЛО-27-5 том 1-437,ДАЛО-27-5-437
7e9c3015-f459-4184-9788-9970307823ac,ДАЛО-27-5 том 1-438,ДАЛО-27-5-438
25644fea-7b38-49f7-badd-b3b5294eeefa,ДАЛО-27-5 том 1-439,ДАЛО-27-5-439
b187c2ae-3237-4edf-9767-34f0fbd9cfb7,ДАЛО-27-5 том 1-440,ДАЛО-27-5-440
4945898e-1fa4-41b0-a33e-07ba1c9ee1e4,ДАЛО-27-5 том 1-441,ДАЛО-27-5-441
816fb441-d783-475c-97b2-6fa7ce39a0f1,ДАЛО-27-5 том 1-442,ДАЛО-27-5-442
25f297d6-ba0d-449c-8a22-6bd8c51a6aa1,ДАЛО-27-5 том 1-443,ДАЛО-27-5-443
4d3270af-3e42-4a98-bf56-88e52f71da50,ДАЛО-27-5 том 1-444,ДАЛО-27-5-444
6ee21768-b9a9-483c-9703-ba4fdada4d5f,ДАЛО-27-5 том 1-445,ДАЛО-27-5-445
b4cc9048-a57a-4f41-99fe-70af86eaa5b4,ДАЛО-27-5 том 1-446,ДАЛО-27-5-446
1f6f6ac9-551c-4635-86d8-c5ae2a1528ed,ДАЛО-27-5 том 1-447,ДАЛО-27-5-447
c0e0cf76-ec14-48e2-9ced-3d963bd3fff0,ДАЛО-27-5 том 1-448,ДАЛО-27-5-448
6fdf2df5-344e-4603-8785-e067163567b7,ДАЛО-27-5 том 1-449,ДАЛО-27-5-449
292e45ee-42db-4b8d-8871-dbfd3c3c8396,ДАЛО-27-5 том 1-450,ДАЛО-27-5-450
42c0d54c-398d-4ab6-b6c8-134559b3ee84,ДАЛО-27-5 том 1-451,ДАЛО-27-5-451
d5c61560-8e44-4ad6-9637-cde120c68e49,ДАЛО-27-5 том 1-452,ДАЛО-27-5-452
c77e1f5b-b93c-4677-b34d-eae97c09c7b3,ДАЛО-27-5 том 1-453,ДАЛО-27-5-453
aacb4030-d657-4033-a3e8-44ebb2486555,ДАЛО-27-5 том 1-454,ДАЛО-27-5-454
815a5ebf-5b05-477a-9ddd-7fc4f4e7d4fc,ДАЛО-27-5 том 1-455,ДАЛО-27-5-455
b1f05020-d794-4c66-b0a0-d99abfe92d2d,ДАЛО-27-5 том 1-457,ДАЛО-27-5-457
bd116066-3f6c-44ee-8da3-beeae8483fde,ДАЛО-27-5 том 1-459,ДАЛО-27-5-459
60c3149f-73da-48c9-adb6-f10d86b8bf37,ДАЛО-27-5 том 1-460,ДАЛО-27-5-460
b6004328-072e-485c-8a77-cfbe60638dcc,ДАЛО-27-5 том 1-461,ДАЛО-27-5-461
0af50ccc-4c31-423f-8876-d7038fe7e8a8,ДАЛО-27-5 том 1-462,ДАЛО-27-5-462
9891dffa-b843-4c20-ab7d-b4b80d43182a,ДАЛО-27-5 том 1-463,ДАЛО-27-5-463
