oc_id,parsed,pat,target
dea9bb9f-fa18-4e7e-91e3-780306de7e7c,"ДАСО-(++++++Ф. 1190, o. 3, д. 191 Рождения, бракосочетания, смерти 1914)","p1 Ф,о,д",ДАСО-1190-3-191
5255b1d1-5c2a-48f3-be4a-b86584a3e8dc,"ДАСО-(++++++Ф. 1190, o. 3, д. 2 Рождения, бракосочетания 1905 (стр. 323-351))","p1 Ф,о,д",ДАСО-1190-3-2
f4166430-b02b-4b9e-ad7f-aace78a8ff05,"ДАСО-(++++++Ф. 1190, o. 3, д. 2 (продолжение) Бракосочетания, смерти 1905 (стр. 351-377))","p1 Ф,о,д",ДАСО-1190-3-2
00a43e2d-c078-409b-84b8-ad44a6a6b12a,"ДАСО-(++++++Ф. 1190, o. 3, д. 216 Рождения, бракосочетания, смерти 1915)","p1 Ф,о,д",ДАСО-1190-3-216
81927418-56dd-48fd-adc5-58eb0056caaf,"ДАСО-(++++++Ф. 1190, o. 3, д. 241 Рождения, бракосочетания, смерти 1916)","p1 Ф,о,д",ДАСО-1190-3-241
c161ad25-5fe8-431e-8648-79c7e1d5a942,"ДАСО-(++++++Ф. 1190, o. 3, д. 29 Рождения, бракосочетания, смерти 1908)","p1 Ф,о,д",ДАСО-1190-3-29
6427bcb5-288c-405f-b51d-d14b19ddf676,"ДАСО-(++++++Ф. 1190, o. 3, д. 54 Рождения, бракосочетания, смерти 1909)","p1 Ф,о,д",ДАСО-1190-3-54
8473d3ec-100c-4542-bb8f-870a4a5ff751,"ДАСО-(++++++Ф. 1190, o. 3, д. 77 Рождения, бракосочетания, смерти 1910)","p1 Ф,о,д",ДАСО-1190-3-77
03d9bdd0-6bcc-4e03-99c7-44a6752f1085,"ДАСО-(++++++Ф. 1190, o. 3, д. 9 Рождения, бракосочетания, смерти 1907)","p1 Ф,о,д",ДАСО-1190-3-9
e5df5026-a708-45d4-9b81-8c5bef07b465,"ДАСО-(++++++Ф. 1192, o. 1, д. 110 Рождения 1908-1919 (стр. 1-58, 100-139, 170-183, 210-278) (микрофильмирован вместе с селами Братеница и Поличковка))","p1 Ф,о,д",ДАСО-1192-1-110
a69016bb-0280-41c5-86d5-790f72f334e0,"ДАСО-(++++++Ф. 1192, o. 1, д. 12 Рождения 1855-1857 -- Рождения 1870-1875 -- Рождения 1858-1866 -- Рождения 1882-1892)","p1 Ф,о,д",ДАСО-1192-1-12
eeb2789a-344e-4178-b8b2-4caf90c44e66,"ДАСО-(++++++Ф. 1192, o. 1, д. 69 Рождения 1893-1907 (стр. 1-131, 147-159, 192-279) (микрофильмирован вместе с селами Поличковка и Братеница))","p1 Ф,о,д",ДАСО-1192-1-69
e5536055-c5ac-4323-9bab-89017c1d1622,"ДАСО-(++++++Ф. 1192, o. 1, д. 95 Бракосочетания 1882-1883 -- Бракосочетания 1886-1887 -- Бракосочетания 1891 -- Бракосочетания 1894 -- Бракосочетания 1907 -- Бракосочетания 1910-1911 -- Бракосочетания 1914-1915 (стр. 1-55, 64-66, 70-73) -- Смерти 1883 -- Смерти 1886-1887 -- Смерти 1891-1893 -- Смерти 1904 -- Смерти 1914-1915 (стр. 76-82, 99-133, 143-150, 185-193, 209-217))","p1 Ф,о,д",ДАСО-1192-1-95
9972af13-cd7c-49b3-900e-96e379c293f9,"ДАСО-(++++++Ф. 1193, o. 1, д. 11 (продолжение) Рождения 1881 -- Рождения, бракосочетания, смерти 1882-1883)","p1 Ф,о,д",ДАСО-1193-1-11
30662e29-af75-4a27-9014-6ab7fd5c5246,"ДАСО-(++++++Ф. 1193, o. 1, д. 11 Рождения, бракосочетания, смерти 1879-1881)","p1 Ф,о,д",ДАСО-1193-1-11
39d97cf5-32a5-4589-968f-a55c5a27ed0b,"ДАСО-(++++++Ф. 1193, o. 1, д. 27 Рождения 1890-1899)","p1 Ф,о,д",ДАСО-1193-1-27
3d604b1b-5990-496c-ae33-0aa7769333bb,"ДАСО-(++++++Ф. 1193, o. 1, д. 33 Бракосочетания, смерти 1892-1899 -- Бракосочетания, смерти 1901-1906)","p1 Ф,о,д",ДАСО-1193-1-33
f4ddf304-e45e-426d-a203-56170bf07957,"ДАСО-(++++++Ф. 1193, o. 1, д. 45 Рождения 1900-1908)","p1 Ф,о,д",ДАСО-1193-1-45
344cbd2f-3131-4836-93f7-fd78137b090a,"ДАСО-(++++++Ф. 1193, o. 1, д. 54 Рождения 1909-1918)","p1 Ф,о,д",ДАСО-1193-1-54
e83279fd-ff95-4bc1-921d-66b4ec6a1e39,"ДАСО-(++++++Ф. 1193, o. 1, д. 55 Бракосочетания, смерти 1907-1917)","p1 Ф,о,д",ДАСО-1193-1-55
91bf7806-8f95-4b47-a6ec-d514d4356970,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ186, 1816)","p1 Ф,о,д",ДАХО-31-141-186
88a493c2-3e1f-453d-8fb3-e852d46f3b9f,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ313, 1850)","p1 Ф,о,д",ДАХО-31-141-313
e9b7932f-755c-4a6d-a60e-b6914861e38e,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ313, 1850)","p1 Ф,о,д",ДАХО-31-141-313
f79d3735-9008-45ed-b953-52aa096ed81b,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ313, 1850)","p1 Ф,о,д",ДАХО-31-141-313
3a22e322-cb87-42e0-a930-e1cad149bf90,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ313, 1850)","p1 Ф,о,д",ДАХО-31-141-313
56354993-86e9-4e0c-8f4b-e84690329b25,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ313, 1850)","p1 Ф,о,д",ДАХО-31-141-313
4513779c-41e2-4c32-a586-59cdb70088ce,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ314, 1850)","p1 Ф,о,д",ДАХО-31-141-314
c6e1e555-3c39-4aac-89b3-49baf86bef85,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ314, 1850)","p1 Ф,о,д",ДАХО-31-141-314
15d4168b-08b6-4a3f-bb56-24730c82df92,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ314, 1850)","p1 Ф,о,д",ДАХО-31-141-314
ef6a50f5-5364-465c-ba18-4e34cf75356a,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ314, 1850)","p1 Ф,о,д",ДАХО-31-141-314
e276c11e-e442-4b90-aaf5-a903d95a0b24,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ314, 1850)","p1 Ф,о,д",ДАХО-31-141-314
76c5f034-7163-412c-b09f-1e8cd92c1601,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ315, 1850)","p1 Ф,о,д",ДАХО-31-141-315
f734486b-38c6-4362-84f0-3536827bac96,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ315, 1850)","p1 Ф,о,д",ДАХО-31-141-315
42649acd-66fc-48ab-b71c-35430d74cc70,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ315, 1850)","p1 Ф,о,д",ДАХО-31-141-315
3443a47a-2092-4d48-824a-79f54a866bb5,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ319, 1850)","p1 Ф,о,д",ДАХО-31-141-319
00d2da2c-c1b6-4300-9f4d-9153acab6f4a,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ319, 1850)","p1 Ф,о,д",ДАХО-31-141-319
3a79005d-901d-449e-9d43-5af8d7a19f76,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ319, 1850)","p1 Ф,о,д",ДАХО-31-141-319
40c3579d-f4dc-4c56-aef1-a7d1aca54eea,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ321, 1850)","p1 Ф,о,д",ДАХО-31-141-321
455a5dee-893d-41f1-8af3-a1954f32e4ad,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ321, 1850)","p1 Ф,о,д",ДАХО-31-141-321
d9dcac97-b0e7-4010-867e-dcd5d3b292ec,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ321, 1850)","p1 Ф,о,д",ДАХО-31-141-321
5a116a2d-fc36-4688-82ce-644aedff0316,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ322, 1850)","p1 Ф,о,д",ДАХО-31-141-322
fac61755-6a31-4148-a27f-cfa586ae5fea,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ322, 1850)","p1 Ф,о,д",ДАХО-31-141-322
62ece7c5-c94b-4c0b-863e-2e1cf8cc4295,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ322, 1850)","p1 Ф,о,д",ДАХО-31-141-322
e002d107-55d5-4f28-b549-b838116a79ba,"ДАХО-(++++++Ревизские сказки, Ф. 31, о. 141, ЕХ322, 1850)","p1 Ф,о,д",ДАХО-31-141-322
