oc_id,parsed,target
4b53011f-994d-498f-a441-f65ef65755df,"ДААРК-(++++++Ведомость фонда 142, опись 1)",ДААРК-142-1
a5736d50-6203-4ae9-ad0c-4b25dfb4ddcf,"ДААРК-(++++++Ведомость фонда 283, опись 2)",ДААРК-283-2
6fcfdb09-a156-4e92-ae40-355f9860dadf,"ДААРК-(++++++Ведомость фонда 287, опись 1)",ДААРК-287-1
653ee0ca-ca00-4bc4-a83c-bb345c75c288,"ДААРК-(++++++Ведомость фонда 288, опись 1)",ДААРК-288-1
b3d902bc-48c2-4c14-87cf-b65d466f28bf,"ДААРК-(++++++Ведомость фонда 836, опись 1)",ДААРК-836-1
6e5541d3-1d90-4733-b6f4-dc71ceebe32b,"ДАЗпО-(++++++Ведомость фонда 118, опись 1)",ДАЗПО-118-1
1cf98289-3639-4f0a-b465-2a8731d18349,"ДАЗпО-(++++++Ведомость фонда 123, опись 1 1789-1810)",ДАЗПО-123-1
48784221-e434-4955-b1f2-052d9fdc340e,"ДАЗпО-(++++++Ведомость фонда 126, опись 1 1882-1915)",ДАЗПО-126-1
98852507-afe5-4a12-a413-b334701ebc97,"ДАЗпО-(++++++Ведомость фонда 129, опись 1 1856-1920)",ДАЗПО-129-1
ff613ece-a20e-4f34-94e4-be079725e4bd,"ДАЗпО-(++++++Ведомость фонда 131, опись 1 1907-1922)",ДАЗПО-131-1
ab7b2d7c-3f20-488a-94fa-d9dc3a006a18,"ДАЗпО-(++++++Ведомость фонда 183, опись 1 1856-1864)",ДАЗПО-183-1
5c0fe037-ad02-42d8-8335-c9fb3afc3dd6,"ДАЗпО-(++++++Ведомость фонда 237, опись 1 1843-1844)",ДАЗПО-237-1
117b87a5-dd9e-4998-861b-d762bd76efd4,"ДАЗпО-(++++++Ведомость фонда 238, опись 1-4 1863-1898)",ДАЗПО-238-1
66339af2-0ae2-4b97-aea5-74e3a76b5b67,"ДАЗпО-(++++++Ведомость фонда 24, опись 1, дела 1-1049 1872-1919)",ДАЗПО-24-1
ba3d33d2-4f66-451b-ac91-ca489c2ad0fb,"ДАЗпО-(++++++Ведомость фонда 242, опись 1 1842-1904)",ДАЗПО-242-1
db99a9c9-4bb6-41eb-a9c3-462ba48c0230,"ДАЗпО-(++++++Ведомость фонда 245, опись 1 1831-1917)",ДАЗПО-245-1
bd493d5c-856e-446f-aee8-7ccafd128616,"ДАЗпО-(++++++Ведомость фонда 253, опись 1 (Поземельная опись) 1917)",ДАЗПО-253-1
8a35886c-fd59-40d4-a783-4c67bc757bd8,"ДАЗпО-(++++++Ведомость фонда 254, опись 1, дела 1-59)",ДАЗПО-254-1
c095ac8b-9773-4830-9ed5-f72d303b0360,"ДАЗпО-(++++++Ведомость фонда 255, опись 1 1911-1917)",ДАЗПО-255-1
3371705d-142c-42ee-b5c1-a0beb9c85f79,"ДАЗпО-(++++++Ведомость фонда 49, опись 1)",ДАЗПО-49-1
d54b94cf-1496-40d5-ab9c-140e7a7b9aa7,"ДАСО-(++++++Ведомость фонда 1036, опись 1 -- 1767-1920)",ДАСО-1036-1
3e67b023-6fcd-4f0e-a8d4-9cc2ab8e53a4,"ДАСО-(++++++Ведомость фонда 1036, опись 2 -- 1840-1918)",ДАСО-1036-2
026a5bd7-2941-4a26-b382-0bffaaf7f298,"ДАСО-(++++++Ведомость фонда 1049, опись 1 -- 1764-1915)",ДАСО-1049-1
c5eeb21d-7130-47f5-8806-d9e1c93fc527,"ДАСО-(++++++Ведомость фонда 1049, опись 2 -- 1859-1918)",ДАСО-1049-2
