new_full_code,src,copies,sample_parsed
ДАК-297-1-1,plain,1,ДАК-297-1-1
ДАК-297-1-10,plain,1,ДАК-297-1-10
ДАК-297-1-100,plain,1,ДАК-297-1-100
ДАК-297-1-11,plain,1,ДАК-297-1-11
ДАК-297-1-12,plain,1,ДАК-297-1-12
ДАК-297-1-13,plain,1,ДАК-297-1-13
ДАК-297-1-14,plain,1,ДАК-297-1-14
ДАК-297-1-15,plain,1,ДАК-297-1-15
ДАК-297-1-16,plain,1,ДАК-297-1-16
ДАК-297-1-17,plain,1,ДАК-297-1-17
ДАК-297-1-18,plain,1,ДАК-297-1-18
ДАК-297-1-19,plain,1,ДАК-297-1-19
ДАК-297-1-2,plain,1,ДАК-297-1-2
ДАК-297-1-20,plain,1,ДАК-297-1-20
ДАК-297-1-21,plain,1,ДАК-297-1-21
ДАК-297-1-22,plain,1,ДАК-297-1-22
ДАК-297-1-23,plain,1,ДАК-297-1-23
ДАК-297-1-24,plain,1,ДАК-297-1-24
ДАК-297-1-25,plain,1,ДАК-297-1-25
ДАК-297-1-26,plain,1,ДАК-297-1-26
ДАК-297-1-27,plain,1,ДАК-297-1-27
ДАК-297-1-28,plain,1,ДАК-297-1-28
ДАК-297-1-29,plain,1,ДАК-297-1-29
ДАК-297-1-3,plain,1,ДАК-297-1-3
ДАК-297-1-30,plain,1,ДАК-297-1-30
ДАК-297-1-31,plain,1,ДАК-297-1-31
ДАК-297-1-32,plain,1,ДАК-297-1-32
ДАК-297-1-33,plain,1,ДАК-297-1-33
ДАК-297-1-34,plain,1,ДАК-297-1-34
ДАК-297-1-35,plain,1,ДАК-297-1-35
ДАК-297-1-36,plain,1,ДАК-297-1-36
ДАК-297-1-37,plain,1,ДАК-297-1-37
ДАК-297-1-38,plain,1,ДАК-297-1-38
ДАК-297-1-39,plain,1,ДАК-297-1-39
ДАК-297-1-4,plain,1,ДАК-297-1-4
ДАК-297-1-40,plain,1,ДАК-297-1-40
ДАК-297-1-41,plain,1,ДАК-297-1-41
ДАК-297-1-42,plain,1,ДАК-297-1-42
ДАК-297-1-43,plain,1,ДАК-297-1-43
ДАК-297-1-44,plain,1,ДАК-297-1-44
ДАК-297-1-45,plain,1,ДАК-297-1-45
ДАК-297-1-46,plain,1,ДАК-297-1-46
ДАК-297-1-47,plain,1,ДАК-297-1-47
ДАК-297-1-48,plain,1,ДАК-297-1-48
ДАК-297-1-49,plain,1,ДАК-297-1-49
ДАК-297-1-5,plain,1,ДАК-297-1-5
ДАК-297-1-50,plain,1,ДАК-297-1-50
ДАК-297-1-51,plain,1,ДАК-297-1-51
ДАК-297-1-52,plain,1,ДАК-297-1-52
ДАК-297-1-53,plain,1,ДАК-297-1-53
ДАК-297-1-54,plain,1,ДАК-297-1-54
ДАК-297-1-55,plain,1,ДАК-297-1-55
ДАК-297-1-56,plain,1,ДАК-297-1-56
ДАК-297-1-57,plain,1,ДАК-297-1-57
ДАК-297-1-58,plain,1,ДАК-297-1-58
ДАК-297-1-59,plain,1,ДАК-297-1-59
ДАК-297-1-6,plain,1,ДАК-297-1-6
ДАК-297-1-60,plain,1,ДАК-297-1-60
ДАК-297-1-61,plain,1,ДАК-297-1-61
ДАК-297-1-62,plain,1,ДАК-297-1-62
ДАК-297-1-63,plain,1,ДАК-297-1-63
ДАК-297-1-64,plain,1,ДАК-297-1-64
ДАК-297-1-65,plain,1,ДАК-297-1-65
ДАК-297-1-66,plain,1,ДАК-297-1-66
ДАК-297-1-67,plain,1,ДАК-297-1-67
ДАК-297-1-68,plain,1,ДАК-297-1-68
ДАК-297-1-69,plain,1,ДАК-297-1-69
ДАК-297-1-7,plain,1,ДАК-297-1-7
ДАК-297-1-70,plain,1,ДАК-297-1-70
ДАК-297-1-71,plain,1,ДАК-297-1-71
ДАК-297-1-72,plain,1,ДАК-297-1-72
ДАК-297-1-73,plain,1,ДАК-297-1-73
ДАК-297-1-74,plain,1,ДАК-297-1-74
ДАК-297-1-75,plain,1,ДАК-297-1-75
ДАК-297-1-76,plain,1,ДАК-297-1-76
ДАК-297-1-76А,plain,1,ДАК-297-1-76А
ДАК-297-1-77,plain,1,ДАК-297-1-77
ДАК-297-1-78,plain,1,ДАК-297-1-78
ДАК-297-1-79,plain,1,ДАК-297-1-79
ДАК-297-1-8,plain,1,ДАК-297-1-8
ДАК-297-1-80,plain,1,ДАК-297-1-80
ДАК-297-1-81,plain,1,ДАК-297-1-81
ДАК-297-1-82,plain,1,ДАК-297-1-82
ДАК-297-1-83,plain,1,ДАК-297-1-83
ДАК-297-1-84,plain,1,ДАК-297-1-84
ДАК-297-1-85,plain,1,ДАК-297-1-85
ДАК-297-1-86,plain,1,ДАК-297-1-86
ДАК-297-1-87,plain,1,ДАК-297-1-87
ДАК-297-1-88,plain,1,ДАК-297-1-88
ДАК-297-1-89,plain,1,ДАК-297-1-89
ДАК-297-1-9,plain,1,ДАК-297-1-9
ДАК-297-1-90,plain,1,ДАК-297-1-90
ДАК-297-1-91,plain,1,ДАК-297-1-91
ДАК-297-1-92,plain,1,ДАК-297-1-92
ДАК-297-1-93,plain,1,ДАК-297-1-93
ДАК-297-1-94,plain,1,ДАК-297-1-94
ДАК-297-1-95,plain,1,ДАК-297-1-95
ДАК-297-1-96,plain,1,ДАК-297-1-96
ДАК-297-1-97,plain,1,ДАК-297-1-97
ДАК-297-1-98,plain,1,ДАК-297-1-98
ДАК-297-1-99,plain,1,ДАК-297-1-99
ДАКО-П197-1-122,plain,1,ДАКО-П197-1-122
ДАКО-П197-1-250,plain,1,ДАКО-П197-1-250
ДАКО-П5-2-21,plain,1,ДАКО-П5-2-21
ДАКО-П5-2-426,plain,1,ДАКО-П5-2-426
ДАКО-П792-1-35,plain,1,ДАКО-П792-1-35
ДАСО-7720-10-10,fs-ref,2,"ДАСО-(7720-10-10+++7720-10-10+++Ф. 7720, о. 10, д. 10 (продолжение) Рождения 1921-1924)"
ДАСО-7720-10-100,fs-ref,1,"ДАСО-(7720-10-100+++7720-10-100+++Ф. 7720, о. 10, д. 100 Рождения 1926-1927)"
ДАСО-7720-10-101,fs-ref,1,"ДАСО-(7720-10-101+++7720-10-101+++Ф. 7720, о. 10, д. 101 Рождения 1926-1927)"
ДАСО-7720-10-106,fs-ref,1,"ДАСО-(7720-10-106+++7720-10-106+++Ф. 7720, о. 10, д. 106 Рождения 1926)"
ДАСО-7720-10-107,fs-ref,1,"ДАСО-(7720-10-107+++7720-10-107+++Ф. 7720, о. 10, д. 107 Рождения 1926-1927)"
ДАСО-7720-10-108,fs-ref,1,"ДАСО-(7720-10-108+++7720-10-108+++Ф. 7720, о. 10, д. 108 Рождения 1926)"
ДАСО-7720-10-109,fs-ref,1,"ДАСО-(7720-10-109+++7720-10-109+++Ф. 7720, о. 10, д. 109 Рождения 1926-1927)"
ДАСО-7720-10-11,fs-ref,1,"ДАСО-(7720-10-11+++7720-10-11+++Ф. 7720, о. 10, д. 11 Рождения 1920-1922)"
ДАСО-7720-10-110,fs-ref,1,"ДАСО-(7720-10-110+++7720-10-110+++Ф. 7720, о. 10, д. 110 Рождения 1926)"
ДАСО-7720-10-111,fs-ref,1,"ДАСО-(7720-10-111+++7720-10-111+++Ф. 7720, о. 10, д. 111 Рождения 1926)"
ДАСО-7720-10-116,fs-ref,1,"ДАСО-(7720-10-116+++7720-10-116+++Ф. 7720, о. 10, д. 116 (продолжение) Рождения 1926)"
ДАСО-7720-10-117,fs-ref,1,"ДАСО-(7720-10-117+++7720-10-117+++Ф. 7720, о. 10, д. 117 Рождения 1926)"
ДАСО-7720-10-118,fs-ref,1,"ДАСО-(7720-10-118+++7720-10-118+++Ф. 7720, о. 10, д. 118 Рождения 1926)"
ДАСО-7720-10-119,fs-ref,1,"ДАСО-(7720-10-119+++7720-10-119+++Ф. 7720, о. 10, д. 119 Рождения 1926-1927)"
ДАСО-7720-10-12,fs-ref,2,"ДАСО-(7720-10-12+++7720-10-12+++Ф. 7720, о. 10, д. 12 (продолжение) Рождения 1923)"
ДАСО-7720-10-120,fs-ref,1,"ДАСО-(7720-10-120+++7720-10-120+++Ф. 7720, о. 10, д. 120 Бракосочетания 1926-1927)"
ДАСО-7720-10-121,fs-ref,1,"ДАСО-(7720-10-121+++7720-10-121+++Ф. 7720, о. 10, д. 121 Бракосочетания 1926-1927)"
ДАСО-7720-10-122,fs-ref,1,"ДАСО-(7720-10-122+++7720-10-122+++Ф. 7720, о. 10, д. 122 Бракосочетания 1926)"
ДАСО-7720-10-123,fs-ref,1,"ДАСО-(7720-10-123+++7720-10-123+++Ф. 7720, о. 10, д. 123 Бракосочетания 1926)"
ДАСО-7720-10-124,fs-ref,1,"ДАСО-(7720-10-124+++7720-10-124+++Ф. 7720, о. 10, д. 124 Бракосочетания 1926)"
ДАСО-7720-10-125,fs-ref,1,"ДАСО-(7720-10-125+++7720-10-125+++Ф. 7720, о. 10, д. 125 Бракосочетания 1926)"
ДАСО-7720-10-126,fs-ref,1,"ДАСО-(7720-10-126+++7720-10-126+++Ф. 7720, о. 10, д. 126 Бракосочетания 1926-1927)"
ДАСО-7720-10-127,fs-ref,1,"ДАСО-(7720-10-127+++7720-10-127+++Ф. 7720, о. 10, д. 127 Бракосочетания 1926-1927)"
ДАСО-7720-10-128,fs-ref,1,"ДАСО-(7720-10-128+++7720-10-128+++Ф. 7720, о. 10, д. 128 Бракосочетания 1926)"
ДАСО-7720-10-13,fs-ref,1,"ДАСО-(7720-10-13+++7720-10-13+++Ф. 7720, о. 10, д. 13 Рождения 1920-1925)"
ДАСО-7720-10-14,fs-ref,1,"ДАСО-(7720-10-14+++7720-10-14+++Ф. 7720, о. 10, д. 14 Рождения 1920)"
ДАСО-7720-10-15,fs-ref,2,"ДАСО-(7720-10-15+++7720-10-15+++Ф. 7720, о. 10, д. 15 Бракосочетания 1920-1921)"
ДАСО-7720-10-150,fs-ref,1,"ДАСО-(7720-10-150+++7720-10-150+++Ф. 7720, о. 10, д. 150 (продолжение) Смерти 1927)"
ДАСО-7720-10-151,fs-ref,1,"ДАСО-(7720-10-151+++7720-10-151+++Ф. 7720, о. 10, д. 151 Смерти 1926-1927)"
ДАСО-7720-10-152,fs-ref,1,"ДАСО-(7720-10-152+++7720-10-152+++Ф. 7720, о. 10, д. 152 Смерти 1925-1926)"
ДАСО-7720-10-153,fs-ref,1,"ДАСО-(7720-10-153+++7720-10-153+++Ф. 7720, о. 10, д. 153 Смерти 1926-1927)"
ДАСО-7720-10-154,fs-ref,1,"ДАСО-(7720-10-154+++7720-10-154+++Ф. 7720, о. 10, д. 154 Смерти 1926-1927)"
ДАСО-7720-10-155,fs-ref,1,"ДАСО-(7720-10-155+++7720-10-155+++Ф. 7720, о. 10, д. 155 Рождения 1927)"
ДАСО-7720-10-156,fs-ref,1,"ДАСО-(7720-10-156+++7720-10-156+++Ф. 7720, о. 10, д. 156 Рождения 1927)"
ДАСО-7720-10-157,fs-ref,1,"ДАСО-(7720-10-157+++7720-10-157+++Ф. 7720, о. 10, д. 157 Рождения 1927)"
ДАСО-7720-10-158,fs-ref,1,"ДАСО-(7720-10-158+++7720-10-158+++Ф. 7720, о. 10, д. 158 Рождения 1927)"
ДАСО-7720-10-16,fs-ref,1,"ДАСО-(7720-10-16+++7720-10-16+++Ф. 7720, о. 10, д. 16 Бракосочетания 1920-1923 (в беспорядке))"
ДАСО-7720-10-163,fs-ref,1,"ДАСО-(7720-10-163+++7720-10-163+++Ф. 7720, о. 10, д. 163 (продолжение) Рождения 1927)"
ДАСО-7720-10-164,fs-ref,1,"ДАСО-(7720-10-164+++7720-10-164+++Ф. 7720, о. 10, д. 164 Рождения 1927)"
ДАСО-7720-10-165,fs-ref,1,"ДАСО-(7720-10-165+++7720-10-165+++Ф. 7720, о. 10, д. 165 Рождения 1927)"
ДАСО-7720-10-166,fs-ref,1,"ДАСО-(7720-10-166+++7720-10-166+++Ф. 7720, о. 10, д. 166 Бракосочетания 1927)"
ДАСО-7720-10-167,fs-ref,1,"ДАСО-(7720-10-167+++7720-10-167+++Ф. 7720, о. 10, д. 167 Бракосочетания 1927)"
ДАСО-7720-10-168,fs-ref,1,"ДАСО-(7720-10-168+++7720-10-168+++Ф. 7720, о. 10, д. 168 Бракосочетания 1927)"
ДАСО-7720-10-169,fs-ref,1,"ДАСО-(7720-10-169+++7720-10-169+++Ф. 7720, о. 10, д. 169 Бракосочетания 1927)"
ДАСО-7720-10-17,fs-ref,1,"ДАСО-(7720-10-17+++7720-10-17+++Ф. 7720, о. 10, д. 17 Смерти 1920)"
ДАСО-7720-10-170,fs-ref,1,"ДАСО-(7720-10-170+++7720-10-170+++Ф. 7720, о. 10, д. 170 Бракосочетания 1927)"
ДАСО-7720-10-171,fs-ref,1,"ДАСО-(7720-10-171+++7720-10-171+++Ф. 7720, о. 10, д. 171 Бракосочетания 1927)"
ДАСО-7720-10-172,fs-ref,1,"ДАСО-(7720-10-172+++7720-10-172+++Ф. 7720, о. 10, д. 172 Бракосочетания 1927)"
ДАСО-7720-10-173,fs-ref,1,"ДАСО-(7720-10-173+++7720-10-173+++Ф. 7720, о. 10, д. 173 Бракосочетания 1927)"
ДАСО-7720-10-174,fs-ref,1,"ДАСО-(7720-10-174+++7720-10-174+++Ф. 7720, о. 10, д. 174 Бракосочетания 1927)"
ДАСО-7720-10-175,fs-ref,1,"ДАСО-(7720-10-175+++7720-10-175+++Ф. 7720, о. 10, д. 175 Бракосочетания 1927)"
ДАСО-7720-10-176,fs-ref,1,"ДАСО-(7720-10-176+++7720-10-176+++Ф. 7720, о. 10, д. 176 Бракосочетания 1927)"
ДАСО-7720-10-177,fs-ref,7,"ДАСО-(7720-10-177+++7720-10-177+++Ф. 7720, о. 10, д. 177 Разводы 1927 (стр. 10а-12))"
