full_code,oc_id,parsed
ДАСО-7720-6-217,eff7c8d3-99a5-4ca2-b80c-5af30d19a0dd,"ДАСО-(7720-6-217+++7720-6-217+++Ф. 7720, о. 6, д. 217 Бракосочетания 1926 (стр. 180-232))"
ДАСО-7720-6-217,c1a36248-4a70-4992-bfe1-09e0d64614d6,"ДАСО-(7720-6-217+++7720-6-217+++Ф. 7720, о. 6, д. 217 Бракосочетания 1926 (стр. 75-92))"
ДАСО-7720-6-217,b5724c5b-1ea8-45fe-bef1-11b26076883b,"ДАСО-(7720-6-217+++7720-6-217+++Ф. 7720, о. 6, д. 217 Бракосочетания 1926 (стр. 113-131))"
ДАСО-7720-6-217,cc6fc94c-af03-4640-9495-cd843b60ce8f,"ДАСО-(7720-6-217+++7720-6-217+++Ф. 7720, о. 6, д. 217 Бракосочетания 1926 (стр. 233-262))"
ДАСО-7720-6-217,25b50c00-b935-4e56-9b2b-5d2e2ffefc80,"ДАСО-(7720-6-217+++7720-6-217+++Ф. 7720, о. 6, д. 217 Бракосочетания 1926 (стр. 66-74))"
ДАСО-7720-6-217,496c29e8-373d-4c59-a6c1-35eb3a3f08fc,"ДАСО-(7720-6-217+++7720-6-217+++Ф. 7720, о. 6, д. 217 Бракосочетания 1926 (стр. 93-112))"
ДАСО-7720-6-22,0baabfef-7a89-4daf-aaf5-515dd1e29524,"ДАСО-(7720-6-22+++7720-6-22+++Ф. 7720, о. 6, д. 22 Рождения 1921-1922 (в беспорядке; включает записи других сел))"
ДАСО-7720-6-228,c3c6bf75-5f89-4e5e-954d-ccdfcb3c5fcf,"ДАСО-(7720-6-228+++7720-6-228+++Ф. 7720, о. 6, д. 228 (продолжение) Смерти 1926 (стр. 400-462))"
ДАСО-7720-6-228,047e3d62-33e4-4b2e-84bc-81ccf3fba20b,"ДАСО-(7720-6-228+++7720-6-228+++Ф. 7720, о. 6, д. 228 Смерти 1926 (стр. 785-811))"
ДАСО-7720-6-228,aa1225af-6443-424a-99c8-4dd10ab2b49c,"ДАСО-(7720-6-228+++7720-6-228+++Ф. 7720, о. 6, д. 228 Смерти 1926 (стр. 682-739))"
ДАСО-7720-6-228,5667d1b7-d3c1-4ea0-a54d-3be5a3d7ebe4,"ДАСО-(7720-6-228+++7720-6-228+++Ф. 7720, о. 6, д. 228 Смерти 1926 (стр. 463-527))"
ДАСО-7720-6-228,9a4a877f-2466-41f7-91cb-93269eb21060,"ДАСО-(7720-6-228+++7720-6-228+++Ф. 7720, о. 6, д. 228 Смерти 1926 (стр. 740-760))"
ДАСО-7720-6-228,0ea17b3a-57d5-4ee7-be8d-39722013c3f5,"ДАСО-(7720-6-228+++7720-6-228+++Ф. 7720, о. 6, д. 228 Смерти 1926 (стр. 761-784))"
ДАСО-7720-6-228,f8b852e3-a48c-4cae-b561-9fc175691128,"ДАСО-(7720-6-228+++7720-6-228+++Ф. 7720, о. 6, д. 228 Смерти 1926 (стр. 528-569))"
ДАСО-7720-6-228,a7f4ba03-10c4-48be-8acc-ff144bf2b94b,"ДАСО-(7720-6-228+++7720-6-228+++Ф. 7720, о. 6, д. 228 Смерти 1926 (стр. 614-681))"
ДАСО-7720-6-228,8eacd936-ce84-450b-864f-8d694f29458d,"ДАСО-(7720-6-228+++7720-6-228+++Ф. 7720, о. 6, д. 228 Смерти 1926 (стр. 591-613))"
ДАСО-7720-6-228,e32d3e2a-7a6b-4b4b-80aa-b1b556c72ca8,"ДАСО-(7720-6-228+++7720-6-228+++Ф. 7720, о. 6, д. 228 Смерти 1926 (стр. 570-590))"
ДАСО-7720-6-229,5d7205aa-d65e-4232-a7a1-c0b45e75f45b,"ДАСО-(7720-6-229+++7720-6-229+++Ф. 7720, о. 6, д. 229 Смерти 1926 (стр. 108-130))"
ДАСО-7720-6-229,5f741395-5e75-4863-bf69-5cb66d02b77e,"ДАСО-(7720-6-229+++7720-6-229+++Ф. 7720, о. 6, д. 229 Смерти 1926 (стр. 93-99))"
ДАСО-7720-6-229,9c2fee45-3d29-4cc7-8ce3-3a5b4ce74025,"ДАСО-(7720-6-229+++7720-6-229+++Ф. 7720, о. 6, д. 229 Смерти 1926 (стр. 100-106))"
ДАСО-7720-6-229,b179d19f-286e-423e-9c4a-a23452808fed,"ДАСО-(7720-6-229+++7720-6-229+++Ф. 7720, о. 6, д. 229 Смерти 1926 (стр. 1-92))"
ДАСО-7720-6-229,12e9fc28-2446-495d-8053-3cf836ca1b3f,"ДАСО-(7720-6-229+++7720-6-229+++Ф. 7720, о. 6, д. 229 Смерти 1926 (стр. 131-174))"
ДАСО-7720-6-23,3a7ba07a-ce71-4805-8ced-d916bd168632,"ДАСО-(7720-6-23+++7720-6-23+++Ф. 7720, о. 6, д. 23 Рождения 1921-1922 (включает записи других сел))"
ДАСО-7720-6-230,147ce682-41aa-4c8b-8320-f9e4565b89db,"ДАСО-(7720-6-230+++7720-6-230+++Ф. 7720, о. 6, д. 230 Смерти 1926 (стр. 131-193))"
ДАСО-7720-6-230,edb1f356-a34d-43b3-be6e-011f7699a858,"ДАСО-(7720-6-230+++7720-6-230+++Ф. 7720, о. 6, д. 230 Смерти 1926 (стр. 91-130))"
ДАСО-7720-6-230,b3b67e87-831d-4c63-9499-1b12d2e511f2,"ДАСО-(7720-6-230+++7720-6-230+++Ф. 7720, о. 6, д. 230 Смерти 1926 (стр. 1-90))"
ДАСО-7720-6-231,f6b36e7e-3170-4cd1-83a2-3806e371deb6,"ДАСО-(7720-6-231+++7720-6-231+++Ф. 7720, о. 6, д. 231 Смерти 1926 (стр. 1-56, 83-94))"
ДАСО-7720-6-231,ad7cb6ec-5046-4bd1-8813-e9914848d4a4,"ДАСО-(7720-6-231+++7720-6-231+++Ф. 7720, о. 6, д. 231 Смерти 1926 (стр. 57-62))"
ДАСО-7720-6-231,aa024f90-107b-474d-bc20-a5e2745cfcd6,"ДАСО-(7720-6-231+++7720-6-231+++Ф. 7720, о. 6, д. 231 Смерти 1926 (стр. 63-83, 95-138))"
ДАСО-7720-6-232,dc85baa6-415e-4b0c-a3f8-6116b507f22d,"ДАСО-(7720-6-232+++7720-6-232+++Ф. 7720, о. 6, д. 232 Смерти 1926 (стр. 1-30))"
ДАСО-7720-6-232,b695f369-d651-4608-9854-6482c945bba7,"ДАСО-(7720-6-232+++7720-6-232+++Ф. 7720, о. 6, д. 232 Смерти 1926 (стр. 53-176))"
ДАСО-7720-6-232,eb46857f-1d25-4102-9f68-76c3fdf49637,"ДАСО-(7720-6-232+++7720-6-232+++Ф. 7720, о. 6, д. 232 Смерти 1926 (стр. 31-52))"
ДАСО-7720-6-233,36513dc4-2072-424a-9d34-fa4c31ee8f1d,"ДАСО-(7720-6-233+++7720-6-233+++Ф. 7720, о. 6, д. 233 Рождения 1927 (стр. 151-156))"
ДАСО-7720-6-233,46f0513d-648e-4a7c-a547-902e589df5ba,"ДАСО-(7720-6-233+++7720-6-233+++Ф. 7720, о. 6, д. 233 Рождения 1927 (стр. 1-71))"
ДАСО-7720-6-233,ca0f863b-3c1b-4534-af14-24a61506febc,"ДАСО-(7720-6-233+++7720-6-233+++Ф. 7720, о. 6, д. 233 Рождения 1927 (стр. 72-150))"
ДАСО-7720-6-233,bd39eb40-2302-44c8-bfe2-6e5471570d77,"ДАСО-(7720-6-233+++7720-6-233+++Ф. 7720, о. 6, д. 233 Рождения 1927 (стр. 151-215))"
ДАСО-7720-6-24,5f712dd3-b1a3-4ef8-af7f-87bce501cf29,"ДАСО-(7720-6-24+++7720-6-24+++Ф. 7720, о. 6, д. 24 Рождения 1921 (включает записи других сел))"
ДАСО-7720-6-25,5b598e57-8ace-4dfc-a16c-b7ec1b2fd6b6,"ДАСО-(7720-6-25+++7720-6-25+++Ф. 7720, о. 6, д. 25 Рождения 1921-1922 (года в обратном порядке))"
ДАСО-7720-6-26,a8722367-224c-434c-aa53-3026b70145fc,"ДАСО-(7720-6-26+++7720-6-26+++Ф. 7720, о. 6, д. 26 Рождения 1922 (стр. 69-91))"
ДАСО-7720-6-26,874042e9-c01b-4855-8635-34a441b99dbc,"ДАСО-(7720-6-26+++7720-6-26+++Ф. 7720, о. 6, д. 26 Рождения 1924 (стр. 92))"
ДАСО-7720-6-26,a6108d5e-7cc1-4ece-ba4b-bb064a3a393e,"ДАСО-(7720-6-26+++7720-6-26+++Ф. 7720, о. 6, д. 26 Рождения 1922 (стр. 1-68))"
ДАСО-7720-6-263,515d5f6a-61cf-4fc2-88c9-5c1c6369350a,"ДАСО-(7720-6-263+++7720-6-263+++Ф. 7720, о. 6, д. 263 (продолжение) Рождения 1928 (стр. 88-146))"
ДАСО-7720-6-264,ceb966a3-b278-4959-b7e3-7727b9bf0d08,"ДАСО-(7720-6-264+++7720-6-264+++Ф. 7720, о. 6, д. 264 Рождения 1928)"
