target_full_code,inv,fs_sprava,spr_norm,action,oc_id,url
ЦДІАК-128-1-2180,1,2180,2180,create+link,c873e6af-af9c-48ef-b22b-81d36750cf20,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930504
ЦДІАК-128-1-2182,1,2182,2182,create+link,49ac0717-4c62-4808-a52a-f9db1288e165,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930506
ЦДІАК-128-1-2183,1,2183,2183,create+link,5f84a2c6-a39d-4941-ba9e-165b21e62740,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930507
ЦДІАК-128-1-2184,1,2184,2184,create+link,81b7b4dd-075d-4d20-8b84-00d3b072c788,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930509
ЦДІАК-128-1-2185,1,2185,2185,create+link,c0727f09-d89d-4b50-ab75-a0f95eac9641,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930511
ЦДІАК-128-1-2186,1,2186,2186,create+link,36860417-bc28-4215-b8a3-b30cfdc39fbb,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930510
ЦДІАК-128-1-2187,1,2187,2187,create+link,66cb522b-aa9f-4532-b2b5-498da1324800,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930514
ЦДІАК-128-1-2188,1,2188,2188,create+link,a697910f-46b7-4f7a-bd2b-e758fedd67fc,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930516
ЦДІАК-128-1-2189,1,2189,2189,create+link,683e9ad4-360c-4231-a9d6-12249228aa1f,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930517
ЦДІАК-128-1-2191,1,2191,2191,create+link,3959cefa-fa6c-4834-97d7-9a4dd1bfb5e4,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930528
ЦДІАК-128-1-2192,1,2192,2192,create+link,bed3616a-59f1-4a5e-979f-dd4e85bad25b,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930530
ЦДІАК-128-1-2193,1,2193,2193,create+link,b505465a-67ca-410c-9e73-972c6526b32a,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930539
ЦДІАК-128-1-2194,1,2194,2194,create+link,868be198-b382-4b2a-8cdb-e5c1efe052f9,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930541
ЦДІАК-128-1-2195,1,2195,2195,create+link,608ae443-e214-40a2-8660-3edde1503c99,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930545
ЦДІАК-128-1-2196,1,2196,2196,create+link,52357d4d-f348-4a71-88e8-ca7a4acd0ab4,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930546
ЦДІАК-128-1-2197,1,2197,2197,create+link,f6a49175-509a-4d3a-905c-c09555bf890a,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930547
ЦДІАК-128-1-2198,1,2198,2198,create+link,01127e55-adf0-43aa-9cca-d28adfdefcf6,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930548
ЦДІАК-128-1-2199,1,2199,2199,create+link,3eda2e51-0ed8-4ab4-ba27-5dd98d44b656,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930550
ЦДІАК-128-1-2200,1,2200,2200,create+link,f34508f8-2485-4bd9-8efc-31667c0e1f7e,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930552
ЦДІАК-128-1-2201,1,2201,2201,create+link,88ab4b8d-48d1-4633-a4d0-cac79cdcf762,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930553
ЦДІАК-128-1-2202,1,2202,2202,create+link,a0db6509-f1ee-4ff9-8321-5407f5e64e97,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930556
ЦДІАК-128-1-2203,1,2203,2203,create+link,091bbb96-c5e1-4143-8788-5afd6ac666b6,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930558
ЦДІАК-128-1-2204,1,2204,2204,create+link,8237b7a0-fa15-43f8-a203-ed0ae00bfb50,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930559
ЦДІАК-128-1-2205,1,2205,2205,create+link,6ac2324f-28df-4bd9-8364-034b45d5a519,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930971
ЦДІАК-128-1-2206,1,2206,2206,create+link,9962e459-e294-48ea-88eb-52f6dfd62b79,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930921
ЦДІАК-128-1-2207,1,2207,2207,create+link,763e084c-31e3-4a97-b296-4c4af70d9dc8,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930922
ЦДІАК-128-1-2208,1,2208,2208,create+link,838ff0a3-a606-47bb-acac-53f72df14b5e,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930923
ЦДІАК-128-1-2209,1,2209,2209,create+link,529325cc-98d5-423e-b05d-8dc56f74a6d6,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930924
ЦДІАК-128-1-2210,1,2210,2210,create+link,209d796f-c606-4c1e-9945-0717661c9e95,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930926
ЦДІАК-128-1-2211,1,2211,2211,create+link,32fa1317-ad75-46a8-a3ac-976367921ae9,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930930
ЦДІАК-128-1-2212,1,2212,2212,create+link,cfdc71e2-f396-496a-8868-993d9c41d7c4,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930928
ЦДІАК-128-1-2213,1,2213,2213,create+link,2c851902-3dde-4234-bb47-0147b28f4aae,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930931
ЦДІАК-128-1-2214,1,2214,2214,create+link,16abd222-bd86-4436-90f9-55e38e0bb63b,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930934
ЦДІАК-128-1-2215,1,2215,2215,create+link,1300cd3e-7241-4508-b92c-2e338ab53387,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930933
ЦДІАК-128-1-2216,1,2216,2216,create+link,5445e552-3192-4469-b9f4-e570483b1b84,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930935
ЦДІАК-128-1-2217,1,2217,2217,create+link,faae9262-2324-49cf-a6b4-a40451787690,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930932
ЦДІАК-128-1-2218,1,2218,2218,create+link,69d073ae-34a9-423e-b614-5dcd9f64af72,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930936
ЦДІАК-128-1-2219,1,2219,2219,create+link,b876db76-5452-47a7-b133-3f4a4af34440,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930939
ЦДІАК-128-1-2220,1,2220,2220,create+link,2220c85b-9de5-4fc3-8119-23d9f846ec3c,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930941
ЦДІАК-128-1-2221,1,2221,2221,create+link,33e36acd-25d7-4903-af18-6a128d1fed53,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930938
ЦДІАК-128-1-2222,1,2222,2222,create+link,edb5eb79-6b87-40eb-952c-31713e1fd4ac,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930940
ЦДІАК-128-1-2223,1,2223,2223,create+link,bc9b6512-b9fd-4b6f-b32f-4d4e694dc768,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930937
ЦДІАК-128-1-2224,1,2224,2224,create+link,d461be9d-5a15-4815-b36c-2e7921c94010,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930944
ЦДІАК-128-1-2225,1,2225,2225,create+link,86e0000d-e6d1-4bf4-bd41-3c1a7eda050c,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930945
ЦДІАК-128-1-2226,1,2226,2226,create+link,1d8497c3-c8ea-4522-a101-461fa1ce5f9a,https://www.familysearch.org/en/records/images/search-results?imageGroupNumbers=127930947
