full_code,tags
ДАЧкО-931-1-9,метрична книга|народження|шлюб|смерть
ДАЧкО-155-1-1,метрична книга|народження
ДАЧкО-155-1-2,метрична книга|народження|шлюб|смерть
ДАЧкО-457-1-1,метрична книга|народження|шлюб|смерть
ДАЧкО-155-1-4,метрична книга|народження
ДАЧкО-457-1-2,метрична книга|народження
ДАЧкО-931-1-1508,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1550,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1555,метрична книга|народження
ДАЧкО-931-1-1561,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1593,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1610,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1629,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1639,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1657,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1672,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1682,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1701,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1716,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1730,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1750,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1762,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1776,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1792,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1815,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1814,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1840,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1855,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1867,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1898,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1915,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1928,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1938,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1959А,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1961,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1996,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2017,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2033,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2065,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2077,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2094,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2110,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2122,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2131,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1575,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1802,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1977,метрична книга|народження|шлюб|смерть
ДАЧкО-931-2-233,метрична книга|народження|шлюб|смерть
ДАЧкО-157-1-1,метрична книга|народження|шлюб|смерть
ДАЧкО-157-1-2,метрична книга|народження|шлюб|смерть
ДАЧкО-157-1-5,метрична книга|народження
ДАЧкО-931-1-1485,метрична книга|народження
ДАЧкО-931-1-1507,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1536,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1552,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1563,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1590,метрична книга|народження
ДАЧкО-931-1-1609,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1655,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1670,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1695,метрична книга|народження
ДАЧкО-931-1-1699,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1715,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1763,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1775,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1791,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1803,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1827,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1839,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1854,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1868,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1882,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1883,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1913,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1926,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1937,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1978,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-1998,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2016,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2034,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2050,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2064,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2076,метрична книга|народження|шлюб|смерть
ДАЧкО-931-2-69,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2095,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2111,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2147,метрична книга|народження|шлюб|смерть
ДАЧкО-157-1-6,метрична книга|шлюб
ДАЧкО-931-1-1960,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2517,метрична книга|народження
ДАЧкО-931-1-2583,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2632,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2691,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-2762,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3020,метрична книга|народження
ДАЧкО-931-1-3027,метрична книга|народження
ДАЧкО-931-1-3039,метрична книга|народження
ДАЧкО-931-1-3056,метрична книга|народження
ДАЧкО-931-1-3106,метрична книга|народження
ДАЧкО-931-1-3143,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3173,метрична книга|народження
ДАЧкО-931-1-3179,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3197,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3216,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3239,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3267,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3281,метрична книга|народження
ДАЧкО-931-1-3288,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3302,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3356,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3378,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3398,метрична книга|народження
ДАЧкО-931-1-3410,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3437,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3468,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3527,метрична книга|народження
ДАЧкО-931-1-3528,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3633,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3680,метрична книга|народження
ДАЧкО-931-1-3763,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3778,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3797,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3838,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3862,метрична книга|народження
ДАЧкО-931-1-3867,метрична книга|народження
ДАЧкО-931-1-3892,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3912,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3942,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3943,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3987,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-3988,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-4020,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-4021,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-4054,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-4088,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-4123,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-4168,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-4208,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-4209,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-4245,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-4280,метрична книга|народження|шлюб|смерть
ДАЧкО-931-1-4312,метрична книга|народження|смерть
