copy_id,parsed,full_code,file_id
45e0838f-917c-4d13-87b0-de7aa5299795,ДАКрО-п-5907-6-347a,ДАКрО-П5907-6-347А,45acd314-6a51-461d-b19b-92b02d065ad4
7ac4d885-6a5f-4e9f-9b23-7626e44baf6d,ДАКрО-п-5907-6-419a,ДАКрО-П5907-6-419А,96302f67-1952-4841-882e-d3444f8b6e36
9cfdfb79-d61f-4f6c-8720-0c3cbbbcaa12,ДАКрО-п-5907-6-433a,ДАКрО-П5907-6-433А,b658c6b3-4914-48a4-8190-23ee40a52ef7
e2cbff7d-829c-453c-9160-12e8a9b37a59,ДАКрО-п-5907-6-454a,ДАКрО-П5907-6-454А,8d3f5c12-d611-4e9e-8a15-8b38d8b823cc
5a44c1fa-e2c1-4aa6-aed8-f1475849fd85,ДАКрО-п-5907-6-465a,ДАКрО-П5907-6-465А,1236be5b-366d-471a-ad80-276e2fe2b32e
5bf4be5a-5c3e-48f4-87ff-664cd24a76d8,ДАКрО-п-5907-6-534a,ДАКрО-П5907-6-534А,587d8b68-b2c6-41c6-8817-439c2185aa04
ee22f312-5585-4e82-896c-f198482461d2,ДАКрО-п-5907-6-57a,ДАКрО-П5907-6-57А,b22ef7b1-4458-4ba4-aa98-381ae69e0d20
cf9610a2-d3aa-46aa-9dde-33582263794f,ДАКрО-п-5907-6-606a,ДАКрО-П5907-6-606А,d949ddc6-a478-4807-bd26-b98db078b5c2
f7c7742a-326e-42fa-8f06-d249522bafbb,ДАКрО-п-5907-6-607a,ДАКрО-П5907-6-607А,29073188-7e08-4e24-974e-1e2f98d7a9ed
15d594de-7fd5-4bc0-a6ca-8b6336328a71,ДАКрО-п-5907-6-63a,ДАКрО-П5907-6-63А,a31786a3-f7f0-4e0c-9765-ae1e80030051
eee2eef4-4bfc-4070-9795-904c0328eb76,ДАКрО-п-5907-6-678a,ДАКрО-П5907-6-678А,8cf4d0eb-bdea-41c2-980c-f206acfa0ae7
8b8e3a1b-10a7-4e86-b08e-8856e9b393be,ДАКрО-п-5907-6-754a,ДАКрО-П5907-6-754А,c9fe7ad1-9ae8-49bd-a539-839835f23282
