copy_id,parsed,target,target_id,kind
6a54a58b-ea7d-46ef-a596-26f2744b68c7,ЦДНТА-(Р-107-3-36-1-20+++Р-107-3-36-1-20+++Р-107-3-36-1-20),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
3dc1c6ba-bfa3-4a5c-ab3d-301e6227bc01,ЦДНТА-(Р-107-3-36-1-27+++Р-107-3-36-1-27+++Р-107-3-36-1-27),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
9307cf40-de3a-407d-bd99-edb569d84739,ЦДНТА-(Р-107-3-36-1-53+++Р-107-3-36-1-53+++Р-107-3-36-1-53),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
3b9871d7-7430-4ec0-8822-7558ae069988,ЦДНТА-(Р-107-3-36-1-52+++Р-107-3-36-1-52+++Р-107-3-36-1-52),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
7909e588-bd24-4c77-b308-f68f481c0af1,ЦДНТА-(Р-107-3-36-1-49+++Р-107-3-36-1-49+++Р-107-3-36-1-49),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
73b8a314-0757-4d46-8765-ebf77169a688,ЦДНТА-(Р-107-3-36-1-75+++Р-107-3-36-1-75+++Р-107-3-36-1-75),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
f2a788b5-be46-4971-bd53-288e0d3344d4,ЦДНТА-(Р-107-3-36-1-80+++Р-107-3-36-1-80+++Р-107-3-36-1-80),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
565f3e07-dea5-48fb-a24b-773157958c2f,ЦДНТА-(Р-107-3-36-1-47+++Р-107-3-36-1-47+++Р-107-3-36-1-47),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
315935d0-ca4f-40a4-b219-7886e4ae91be,ЦДНТА-(Р-107-3-36-1-82+++Р-107-3-36-1-82+++Р-107-3-36-1-82),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
b9467fe7-9ffa-4e38-bf0c-3c3139140dd1,ЦДНТА-(Р-107-3-36-1-46+++Р-107-3-36-1-46+++Р-107-3-36-1-46),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
e59e43f1-0aaa-4175-8174-85a8fdfbcf66,ЦДНТА-(Р-107-3-36-1-81+++Р-107-3-36-1-81+++Р-107-3-36-1-81),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
37486095-4e7a-4760-9871-12bea11627ec,ЦДНТА-(Р-107-3-36-1-51+++Р-107-3-36-1-51+++Р-107-3-36-1-51),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
5c354bc7-6881-4d04-8597-f11991f9c750,ЦДНТА-(Р-107-3-36-1-83+++Р-107-3-36-1-83+++Р-107-3-36-1-83),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
72ca43bb-8f0d-46d0-8c5a-ae1f98f1104d,ЦДНТА-(Р-107-3-36-1-67+++Р-107-3-36-1-67+++Р-107-3-36-1-67),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
6e129a0b-fca9-4548-9503-719ebd92acab,ЦДНТА-(Р-107-3-36-1-69+++Р-107-3-36-1-69+++Р-107-3-36-1-69),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
71ee1520-a339-4ab2-9203-49342079fc82,ЦДНТА-(Р-107-3-36-1-73+++Р-107-3-36-1-73+++Р-107-3-36-1-73),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
f6701b20-9fb8-4f1f-92ac-7c91d57a1f1a,ЦДНТА-(Р-107-3-36-1-56+++Р-107-3-36-1-56+++Р-107-3-36-1-56),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
cfbe77ee-8875-4838-bb4e-d61adb6a5c89,ЦДНТА-(Р-107-3-36-1-88+++Р-107-3-36-1-88+++Р-107-3-36-1-88),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
d8ed4300-2b4e-4f2e-ad77-a5ba46fd5936,ЦДНТА-(Р-107-3-36-1-58+++Р-107-3-36-1-58+++Р-107-3-36-1-58),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
36997ffb-0ec5-49bd-9c80-4b9c532bd85d,ЦДНТА-(Р-107-3-36-1-89+++Р-107-3-36-1-89+++Р-107-3-36-1-89),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
091220a7-4390-4770-83d9-c62b243fc2f1,ЦДНТА-(Р-107-3-36-1-90+++Р-107-3-36-1-90+++Р-107-3-36-1-90),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
8f30e04c-ca29-46c7-a811-24053f06530a,ЦДНТА-(Р-107-3-36-1-39+++Р-107-3-36-1-39+++Р-107-3-36-1-39),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
5447f343-5ccf-4195-8d10-1682b7f4cfd9,ЦДНТА-(Р-107-3-36-1-63+++Р-107-3-36-1-63+++Р-107-3-36-1-63),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
2b655058-1668-4842-ae89-87ad4b4f766f,ЦДНТА-(Р-107-3-36-1-94+++Р-107-3-36-1-94+++Р-107-3-36-1-94),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
0e8266d3-1849-42a5-8803-067bf0b8cbf0,ЦДНТА-(Р-107-3-36-1-59+++Р-107-3-36-1-59+++Р-107-3-36-1-59),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
b361fc4b-19f6-4617-8fcb-d28a21e877a4,ЦДНТА-(Р-107-3-36-1-96+++Р-107-3-36-1-96+++Р-107-3-36-1-96),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
2a9f0354-7e8a-423d-9787-bc9149856545,ЦДНТА-(Р-107-3-36-1-57+++Р-107-3-36-1-57+++Р-107-3-36-1-57),ЦДНТА-Р107-3-36,ac9d5e36-488e-4176-b43c-c4aa3a168ae9,file
