id,code,title
3fccfc55-c4b5-485e-8e7e-355260675bb5,Р171,"Науково-дослідні роботи. Проблема: «Розробка рецептур технологічних процесів виробництва пластичних і технологічних мастил, мастильно-охолоджуючих рідин, присадок мастил і матеріалами, стандартизація та уніфікація їх асортименту»"
3411a414-33a4-47be-9048-b0982bbb1fff,Р172,"Науково-дослідні роботи. Проблема : ""Створення конструкцій, рецептури гум, технологічних процесів і обладнання для виробництва великогабаритних і надвеликогабаритних автомобільних, будівельно-дорожних і сільськогосподарських машин, а також технології та обладнання для їх місцевого та відновного ремонту """
4e1717f5-12b1-4260-8a94-d0f2e3275e44,Р173,
5c068a17-141b-44cc-97bf-7381b28a9917,Р175,"Снігоходний важкий тягач ""Харків'янка-1"""
b3925db2-197c-4ab2-a046-438a3d365544,Р176,Звіти про науково-дослідні роботи Державного інституту з проектування засобів та споруд зв’язку «Діпрозв’язок»
6ea451f7-04cd-42fd-b25a-ec0023cbe879,Р177,Зернозбиральні комбайни
1e466f9b-d73e-4dce-a8fe-bd5980acab67,Р178,"Кранцфельд Яків Львович (1933–2013 рр.) – інженер-будівельник, винахідник та раціоналізатор у галузі будівництва енергетичних об’єктів, кандидат технічних наук"
404845c8-5e3c-4dd0-a4e9-58242b8a214d,Р179,Звіти про науково-дослідні роботи НДІ будівельних конструкцій
761cf472-e800-4701-86a7-6d134c0a995a,Р18,Звіти про науково- дослідні роботи НВО «Монокристалреактив»
6a8bd3c2-7d36-44f5-ae78-9eff91325c5d,Р180,Науково-дослідні роботи Українського науково-дослідного інституту механічної обробки деревини «УкрНІІМОД»
6312e687-5d89-4e22-b186-5c5bded7c428,Р182,Науково-дослідні роботи Запорізької філії Всесоюзного науково -дослідного і конструкторського інституту «Цветметавтоматіка» НВО «Союзкольорметавтоматика»
eba23401-087a-4189-b83d-3c545da00666,Р183,"Тришевський Ігор Стефанович (1918–1999 рр.) – доктор технічних наук, професор, Лауреат Державної премії СРСР, Заслужений діяч науки УРСР"
