copy_id,parsed,method,old_file_id,old_inventory_id,new_file_id,new_full_code,deleted_as_dup
4bd6d592-8152-4677-bccf-241794194d20,ЦДНТА-(Р-78-3-22-2-543+++Р-78-3-22-2-543+++Р-78-3-22-2-543),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,79f68667-d78a-4356-9812-5fad813e7766,ЦДНТА-Р78-2Д-543,f
78ee9a14-ef55-4848-b389-e5919ebabbcd,ЦДНТА-(Р-78-3-22-2-544+++Р-78-3-22-2-544+++Р-78-3-22-2-544),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,4fcee674-9625-4bc9-bf8c-e224dfaf7a56,ЦДНТА-Р78-2Д-544,f
b279d4e1-d81e-4662-883b-282bd61acf84,ЦДНТА-(Р-78-3-22-2-546+++Р-78-3-22-2-546+++Р-78-3-22-2-546),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,629ba672-f468-4488-beba-ffebbbee2d05,ЦДНТА-Р78-2Д-546,f
60b42cbb-0599-4b31-a41e-966b0cf9e09e,ЦДНТА-(Р-78-3-22-2-547+++Р-78-3-22-2-547+++Р-78-3-22-2-547),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,e4adcd1d-2949-41a8-b80c-463ae23a7ce2,ЦДНТА-Р78-2Д-547,f
4b9e6bd2-4bf5-4af4-a210-d74d2776f553,ЦДНТА-(Р-78-3-22-2-549+++Р-78-3-22-2-549+++Р-78-3-22-2-549),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,2c6cc279-11d7-4f44-8922-ba9f4c6cee33,ЦДНТА-Р78-2Д-549,f
95304920-fb01-47b6-a5db-27ef3a127190,ЦДНТА-(Р-78-3-22-2-550+++Р-78-3-22-2-550+++Р-78-3-22-2-550),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,d9670541-b36b-473c-ad16-38246b14a300,ЦДНТА-Р78-2Д-550,f
21e3da16-b253-4892-bede-3efd9ad40495,ЦДНТА-(Р-78-3-22-2-553+++Р-78-3-22-2-553+++Р-78-3-22-2-553),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,ef8b0bfb-f7e3-4d1a-ae0f-2e89e1eb6482,ЦДНТА-Р78-2Д-553,f
c17ef681-7ffe-42d1-98e6-389621756151,ЦДНТА-(Р-78-3-22-2-557+++Р-78-3-22-2-557+++Р-78-3-22-2-557),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,f9450684-f41b-4327-ade9-94f8223a9eac,ЦДНТА-Р78-2Д-557,f
140daaed-211a-4316-af77-e61069c25462,ЦДНТА-(Р-78-3-22-2-558+++Р-78-3-22-2-558+++Р-78-3-22-2-558),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,c49048f4-f8a2-4ae0-b2c4-86c82afd695f,ЦДНТА-Р78-2Д-558,f
3af746e7-9fab-434d-b082-f4054f1de3df,ЦДНТА-(Р-78-3-22-2-559+++Р-78-3-22-2-559+++Р-78-3-22-2-559),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,4182a7dd-36b6-43f6-8c49-3745ef60e052,ЦДНТА-Р78-2Д-559,f
87db0ac2-eca1-4e80-91c0-ee14a72bac50,ЦДНТА-(Р-78-3-22-2-561+++Р-78-3-22-2-561+++Р-78-3-22-2-561),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,6d704a92-4a2b-4108-809d-0c05088f7ee7,ЦДНТА-Р78-2Д-561,f
029ea85e-ec0b-43d2-a32c-3a488bec2b59,ЦДНТА-(Р-78-3-22-2-562+++Р-78-3-22-2-562+++Р-78-3-22-2-562),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,dc6a8e67-ac65-4cfe-825c-742e27dfe745,ЦДНТА-Р78-2Д-562,f
d719aafc-73f0-41fd-b5fd-e99669040c3e,ЦДНТА-(Р-78-3-22-2-563+++Р-78-3-22-2-563+++Р-78-3-22-2-563),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,211087c4-1cda-482c-9e36-6f3d34ae4ae6,ЦДНТА-Р78-2Д-563,f
51611b91-fa24-4258-9007-cdd9477a9260,ЦДНТА-(Р-78-3-22-2-564+++Р-78-3-22-2-564+++Р-78-3-22-2-564),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,325feb60-8a54-464b-b84f-4cbf9536bdb9,ЦДНТА-Р78-2Д-564,f
dd199851-5050-45a6-b5a1-7ac5d7671550,ЦДНТА-(Р-78-3-22-2-565+++Р-78-3-22-2-565+++Р-78-3-22-2-565),opys-explicit,7df2c566-85ba-4f2e-9837-90f5303ef845,,af35c6f9-f2ce-4c72-831b-390f48f9587b,ЦДНТА-Р78-2Д-565,f
