id,created_at,created_by,resolved_at,resolved_by,type,note,is_rejected,online_copy_id,inventory_id
5de2c027-dba9-4a0c-9f09-bee80d4a970e,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,b0a0ad16-bc6b-40d9-ac0b-37aedb165936,0c98e68f-682f-4cd6-8b75-1d095d48894c
4d9932d1-33be-40b2-82d7-60e905272a59,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,23f2f09f-67ac-47b9-83e0-5e5991aee450,0c98e68f-682f-4cd6-8b75-1d095d48894c
aee68ef6-3bdd-47f0-9935-79218a3ef961,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,d9f079ca-b4e4-448e-b34f-9af463954f15,0c98e68f-682f-4cd6-8b75-1d095d48894c
91830208-9f1c-4414-bf3e-70bde711890d,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,e9e65e3c-d9df-4196-8e02-9c8d0704fae9,0c98e68f-682f-4cd6-8b75-1d095d48894c
d727c387-1ccd-43f9-bda3-761a77247de8,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,94b2caa4-b418-45ad-a8dd-ac542b1d8764,0c98e68f-682f-4cd6-8b75-1d095d48894c
48a65e04-31f9-4bbf-8945-8e5049978bfe,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,5a281fb7-5aa0-4a4b-92a1-4023acfb980d,0c98e68f-682f-4cd6-8b75-1d095d48894c
3fb36c8f-40cf-46e8-add6-a505d6db08e7,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,fa772951-b067-4d85-b57c-25b83ababd6b,0c98e68f-682f-4cd6-8b75-1d095d48894c
21c050e8-982c-4c10-af8a-a4b611f40c18,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,cdb0b05e-3a5a-42f0-a64a-4e6ed1911214,0c98e68f-682f-4cd6-8b75-1d095d48894c
09c9076f-622c-4feb-b9e5-19168eec929d,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,ca7594b1-514e-4e2a-903b-aa7a7bbd00cf,0c98e68f-682f-4cd6-8b75-1d095d48894c
b7301819-1521-4726-9c96-1ebaeda5d3a4,2026-08-25 07:22:48.503968,115828403043852811910,2026-08-25 11:33:30.165318,migration:2026-08-25-cdnta-tree,connect_to_online_copy,superseded: комплексні таблиці ЦДНТА розшифровано,t,cf36d7a3-254a-4932-8311-a4d551fc5e71,0c98e68f-682f-4cd6-8b75-1d095d48894c
