id,fond,code,title,info
f0246fb2-8c1f-469d-bddb-c097ba126af7,Р62,1,Звіти про науково-дослідні роботи Всесоюзний науково-дослідний і проектний інститут титану,"к. 3-14, од.зб. 1-47"
bf2d809a-4dd0-43c8-aa9a-5b47488af8d4,Р63,1,Лінія для виготовлення труб,"к. 2-70, од.зб. 1-240"
f7113a43-120f-4a77-b5c9-be7046e70ef3,Р63,1А,Агрегат для виготовлення плівки з поліетилену на базі черв’ячного преса Ø 63 мм,"к. 2-79, од.зб. 1-61"
6f3951ee-016f-465e-b353-c1d19228e7fa,Р64,1,"Комбайни для збирання буряків СПГ-1, СКД-3 і КС-3","к. 2-78, од.зб. 1-126"
3eaf4b60-ef0f-4b88-b7ff-003dd775a2f2,Р64,1А,"Буряконавантажувач (СНТ-2,1Б, ГРС-50). Самохідний буряконавантажувач-очищувач високої продуктивності 200 т/год. СПС-4,2","к. 2-155, од.зб. 1-263"
e6038507-a800-4daa-9730-6183d3eaeb27,Р64,1Б,Бадиллязбиральні машини,"к. 2-337, од.зб. 1-91"
45f05587-4f71-4901-97f1-4bbf60a524a2,Р64,1В,Лінія механізована МСК-15,"к. 2-338, од.зб. 1-48"
58d88f54-6b53-4285-872c-4483aab79a96,Р64,1Г,Бурякопідіймач СНУ-3С з підкопувальними лапами та підкопувальною скобою,"к. 2-339, од.зб. 1-19"
648c6ee6-16f3-4f61-8159-561a142f2175,Р64,1Ґ,Коріннязбиральні машини,"к. 2-340, од.зб. 1-30"
767a098c-9714-4030-aa28-cddf6fd739ac,Р64,2,"Комбайни для збирання буряків СПГ-1, СКД-3 і КС-3","к. 2-78, од.зб. 127-149"
043d82e3-f697-4044-be1e-9a00c493f532,Р64,2А,"Буряконавантажувач (СНТ-2,1Б, ГРС-50). Самохідний буряконавантажувач-очищувач високої продуктивності 200 т/год. СПС-4,2","к. 2-155, од.зб. 264-293"
258b40b4-c1b7-4133-9bce-55516f83e0bd,Р64,2Б,Бадиллязбиральні машини,"к. 2-337, од.зб. 92-144"
2bd56f68-c2ed-4c34-8ad8-b8348e078a41,Р64,2В,Коріннязбиральні машини,"к. 2-340, од.зб. 31-59"
bc7cc6af-5d6d-4c68-9e65-4a78cb9247b4,Р64,3,"Комбайни для збирання буряків СПГ-1, СКД-3 і КС-3","к. 2-78, од.зб. 150-240"
45d0a8fa-f19c-4453-8133-971ef52e2712,Р65,1,"Звіти про науково- дослідні роботи Всесоюзного науково-дослідного і конструкторського інституту хімічного машинобудування ""НДІхіммаш"", м. Сєвєродонецьк","к. 3-17, од.зб. 1-58"
1586ed90-0ca9-46f3-ab74-57b6c32764d4,Р65,2,"Звіти про науково- дослідні роботи Всесоюзного науково-дослідного і конструкторського інституту хімічного машинобудування ""НДІхіммаш"", м. Сєвєродонецьк","к. 3-17, од.зб. 59-76"
16826b22-08d3-42a3-a5e7-5ec4a8a930cd,Р66,1,"Звіти про науково- дослідні роботи Інституту спеціальних сталей, сплавів та феросплавів","к. 3-18, од.зб. 1-26"
dd3e71e8-5f94-4a03-8dcd-846fbdc924e1,Р66,2,"Звіти про науково- дослідні роботи Інституту спеціальних сталей, сплавів та феросплавів","к. 3-18, од.зб. 27-51"
47a111e2-ad0f-4955-8429-13b473601567,Р67,1,Звіти про науково- дослідні роботи Інституту верстатів та інструментів,"к. 3-16, од.зб. 1-780"
7542631d-8de7-453d-b315-da9c95740bb2,Р68,1,Звіти про науково-дослідні роботи НДІ механізації шахтного будівництва,"к. 3-19, од.зб. 1-8"
60eba0ae-2432-4c2f-9aee-98a3c704ceae,Р68,1А,Звіти про науково-дослідні роботи НДІ механізації шахтного будівництва,"к. 3-44, од.зб. 1-67"
4761d453-e7f1-4fa6-ae24-3421f6c5e9f6,Р68,1Б,Авторські свідоцтва на винаходи Всесоюзного науково-дослідного інституту організації та механізації шахтного будівництва,"к. 4-2, од.зб. 1-458"
88317373-ab3a-4247-a41b-36dce3a6918c,Р68,2,Звіти про науково-дослідні роботи НДІ механізації шахтного будівництва,"к. 3-44, од.зб. 68-122"
a9008c3e-e1c3-41cc-9374-5e0fd7391c6d,Р68,3,Звіти про науково-дослідні роботи НДІ механізації шахтного будівництва,"к. 3-44, од.зб. 123-543"
ff488ede-35cb-4fb2-b952-127629307a36,Р68,4,Звіти про науково-дослідні роботи НДІ механізації шахтного будівництва,"к. 3-44, од.зб. 544-909"
70477c05-df03-46fb-8c2a-5416d18f9a8c,Р68,5,Звіти про науково-дослідні роботи НДІ механізації шахтного будівництва,"к. 3-44, од.зб. 910-1701"
c206dde3-a1f9-445f-a47a-d9cfb3617207,Р69,1,Наукові дослідження в організації виробництва нафтогазової промисловості,"к. 3-79, од.зб. 1-8"
7b2d3c93-8e6d-420c-818d-59dd15122a5b,Р71,1,Засоби механізації та автоматизації підземного гідравлічного видобутку вугілля,"к. 2-147, од.зб. 1-189"
beae8de9-adda-4e4e-8576-f94c30065228,Р71,1А,Установка для змащування підшипників схилів шахтних вагонеток,"к. 2-233, од.зб. 1-15"
82b5e4a4-15f9-4b56-9f2c-436a97deae01,Р71,1Б,Звіти про науково- дослідні роботи,"к. 3-21, од.зб. 1-108"
5ebbbc35-d428-418b-b047-fc02aaa82b9c,Р73,1,Електронограф ЭР-100,"к. 2-81, од.зб. 1-116"
f8ba2701-219f-4844-9306-6c03995f84d9,Р73,1А,Лупа часу ЛВ-03,"к. 2-82, од.зб. 1-132"
b1bb8555-0663-4666-b16d-db28fb62336b,Р73,1Б,Універсальний електронний мікроскоп УЭМВ-100 к,"к. 2-96, од.зб. 1-48"
f8779229-caa6-4db9-81b9-3998e4b098b5,Р73,1В,Аналізатор імпульсів АИ-128-2/3,"к. 2-98, од.зб. 1-347"
1dfc6980-d0bb-46f3-be1d-21a7bb13a9af,Р73,1Г,Мас-спектрометр МХ-1211,"к. 2-99, од.зб. 1-386"
8bdecb95-873f-4691-8c0d-d59c6f2b5af1,Р73,1Ґ,Зв’язок шахтний іскробезпечний високочастотний типу ШВС-3А,"к. 2-104, од.зб. 1-89"
9f81a9a9-74ae-4d10-81cf-a6d5f55584d8,Р73,1Д,Мас-спектрометр МХ 2301,"к. 2-106, од.зб. 1-68"
a454d87e-7c8e-4a4f-883a-eae7cac78f44,Р73,1Е,Лупа часу ЛВ-05,"к. 2-141, од.зб. 1-216"
fad81f67-098d-4aab-bfbd-81075af30888,Р73,1Є,Мікроскоп растровий електронний низьковольтний РЭМН-2,"к. 2-215, од.зб. 1-326"
f151a648-d356-4851-ae2b-7e34be4e3db4,Р73,1Ж,Високочастотна кодова сигналізація ВКС-2М,"к. 2-216, од.зб. 1-164"
5768abf0-c3a9-4f9f-9879-a2ffa3636905,Р74,1,Електродвигун асинхронний АКН-14-49-12,"к. 2-83, од.зб. 1-40"
696bb2c5-99a0-4f00-9238-396774cf81d2,Р74,1А,Електродвигун синхронний МС-321-6/6,"к. 2-84, од.зб. 1-7"
819570c8-3014-4b93-b0d0-25233d252dc4,Р74,1Б,Двигун сталого струму типу ПБК 380/125,"к. 2-85, од.зб. 1-33"
fa7a9701-762a-4e81-821f-66ac3195b782,Р74,1В,Електродвигун сталого струму типу ПБКЭ 285/135,"к. 2-86, од.зб. 1-26"
3c899b12-eba2-4159-af69-34dcb4413925,Р74,1Г,Електродвигун сталого струму типу ПБК 250/145,"к. 2-87, од.зб. 1-35"
88a439f2-4f30-45fa-b49f-3e37da4d117f,Р74,1Ґ,Генератор сталого струму типу 2ПГК 120/50,"к. 2-88, од.зб. 1-46"
e4e26ec1-a173-4924-9696-2ed297c87870,Р74,1Д,Генератор сталого струму типу ПБКЭ 99/35,"к. 2-188, од.зб. 1-44"
ca61b2b0-3960-4569-8143-4e2fd3a695dc,Р74,1Е,Електродвигуни,"к. 2-249, од.зб. 1-32"
f2d42db0-0325-48b6-a80e-87e21967ae74,Р76,1,"Звіти про науково- дослідні роботи Всесоюзного науково-дослідний інституту гірничої механіки ім. М.М. Федорова, м Донецьк","к. 3-20, од.зб. 1-424"
67231265-a64b-4bd0-99a0-b9bd3a205e4b,Р77,1,Автоматизація об’єкта № 730/193,"к. 2-90, од.зб. 1-113"
37c9c8a2-43e8-45b0-8b6a-8de48e76122d,Р77,1А,Обчислювальна машина «Порадник майстра доменної печі» СМ-2,"к. 2-91, од.зб. 1-16"
f8d39acb-78a1-4b16-9076-35a96c334a6d,Р77,1Б,Комплексна автоматизація виробництва міцної та слабкої азотної кислоти із застосуванням керувальної обчислювальної машини,"к. 2-92, од.зб. 1-453;454-954"
56c1bb2e-e58f-48b4-861f-9686578094eb,Р77,1В,Машина первинної переробки інформації МППИ-1,"к. 2-93, од.зб. 1-623;624-1258"
baba4aa9-d075-4b1a-acef-caa0c14a197c,Р77,1Г,Автоматична друкарська машинка АПМ-1,"к. 2-102, од.зб. 1-186"
7b60e723-ce35-448e-b687-ea615c466aa9,Р77,1Ґ,Система «Байкал»,"к. 2-103, од.зб. 1-369"
eb9fb60c-c28e-4d93-8d75-d2ac56069189,Р77,1Д,Координуюча обчислювальна машина КВМ-1,"к. 2-105, од.зб. 1-1107;1108-2030"
4a348e2d-b3aa-4b3c-8d69-f46090359451,Р77,1Е,"Обчислювальні системи, скомпоновані з обладнання агрегатної системи засобів обчислювальної техніки (АСОТ) типу «М-2000», «М-3000»","к. 2-110, од.зб. 1-1278"
30a40411-9af7-4bb3-90e6-cab17ba5ec5e,Р77,1Є,Керувальна обчислювальна машина «Ангара»,"к. 2-129, од.зб. 1-376;377-852"
ad50ef25-2827-4478-867d-652bea7b74de,Р77,1Ж,"Обчислювальні комплекси: комплекс базовий обчислювальний М-7000, комплекс керування обчислювальний М-6000","к. 2-205, од.зб. 1-609;610-1334;1335-2003"
e08e80b4-6595-4389-98f8-fb60d9472203,Р77,1З,Станція індикації даних СИД-1000,"к. 2-299, од.зб. 1-294"
a9e3938e-b52c-4fa2-9cf5-1b7ba1eaa532,Р77,1И,Станція індикації графічних даних Сигда-А-532-1,"к. 2-300, од.зб. 1-274"
7572cee6-ca85-44f0-b14d-e5ef480c555b,Р77,1І,Мікропрограмний автомат М-6010,"к. 2-301, од.зб. 1-489"
7e7aa330-cc3a-4b09-8c9c-59159e7ee62f,Р77,1Ї,Система обробки даних Сирена-1,"к. 2-302, од.зб. 1-322"
6b8558de-58b7-439e-8cd7-72b848a697c0,Р77,1Й,"Система малих електронно-обчислювальних машин. Обчислювальні комплекси СМ-1, СМ-2","к. 2-303, од.зб. 1-880;881-1792"
932a38fb-ae94-4571-87d2-b84796304f27,Р77,2,Координуюча обчислювальна машина КВМ-1,"к. 2-105, од.зб. 2031-3008;3009-3667"
e63d08c2-1ce2-4f6d-9ff3-a716168e9f8f,Р77,2А,"Обчислювальні системи, скомпоновані з обладнання агрегатної системи засобів обчислювальної техніки (АСОТ) типу «М-2000», «М-3000»","к. 2-110, од.зб. 1279-2317"
60b8990d-6fbf-4d60-8d38-726602dd8a4c,Р77,2Б,"Обчислювальні комплекси: комплекс базовий обчислювальний М-7000, комплекс керування обчислювальний М-6000","к. 2-205, од.зб. 2004-3074;3075-3947"
2583d775-bcb4-487e-bb6d-67c306427d31,Р77,2В,"Система малих електронно-обчислювальних машин. Обчислювальні комплекси СМ-1, СМ-2","к. 2-303, од.зб. 1793-2285;2286-2849"
ef3e45ad-913e-49b0-886e-b4d13b4cfba6,Р77,3,"Обчислювальні комплекси: комплекс базовий обчислювальний М-7000, комплекс керування обчислювальний М-6000","к. 2-205, од.зб. 3948-4912;4913-5815"
440494a6-5675-431d-ad74-1b122b355e63,Р78,1,Випарна установка для мерсеризаційного лугу,"к. 2-183, од.зб. 1-18"
5b2e875f-cd30-4d9e-807c-9df042446c1b,Р78,10,Устаткування для підприємств хімічної промисловості,"к. 2-376, од.зб. 856-873"
2922a5f4-b588-4f50-86e2-81182daf92bc,Р78,11,Устаткування для підприємств хімічної промисловості,"к. 2-376, од.зб. 874-957"
6ddb0fb8-979a-437f-8bc1-b6576d55a226,Р78,12,Устаткування для підприємств хімічної промисловості,"к. 2-376, од.зб. 958-976"
88412206-494c-4ed2-bb04-8017b263fabe,Р78,13,Устаткування для підприємств хімічної промисловості,"к. 2-376, од.зб. 977-1014"
25117fdc-548c-490b-8ee5-745ad2fd0773,Р78,14,Устаткування для підприємств хімічної промисловості,"к. 2-376, од.зб. 1015-1033"
191720a3-a3e3-42f5-a8f9-60e0dcf879fb,Р78,15,Устаткування для підприємств хімічної промисловості,"к. 2-376, од.зб. 1034-1039"
0807b3b5-d4bf-44c5-8c82-2cfde13db302,Р78,16,Устаткування для підприємств хімічної промисловості,"к. 2-376, од.зб. 1040-1046"
11bbbe80-3372-4c0a-ac1e-a9fa460aca79,Р78,17,Устаткування для підприємств хімічної промисловості,"к. 2-376, од.зб. 1047-1053"
b1fe13d2-9f8c-40d6-96bc-66e92c699366,Р78,18,Устаткування для підприємств хімічної промисловості,"к. 2-376, од.зб. 1054-1059"
