old_full_code,new_full_code
ПЕРІОДИКА-1005-1923-73148,ПЕРІОДИКА-1005-1923-155
ПЕРІОДИКА-1005-1923-73149,ПЕРІОДИКА-1005-1923-9
ПЕРІОДИКА-1005-1923-73150,ПЕРІОДИКА-1005-1923-186
ПЕРІОДИКА-1005-1923-73151,ПЕРІОДИКА-1005-1923-71
ПЕРІОДИКА-1005-1923-73152,ПЕРІОДИКА-1005-1923-225
ПЕРІОДИКА-1005-1923-73153,ПЕРІОДИКА-1005-1923-15
ПЕРІОДИКА-1005-1923-73154,ПЕРІОДИКА-1005-1923-62
ПЕРІОДИКА-1005-1923-73155,ПЕРІОДИКА-1005-1923-118
ПЕРІОДИКА-1005-1923-73156,ПЕРІОДИКА-1005-1923-91
ПЕРІОДИКА-1005-1923-73157,ПЕРІОДИКА-1005-1923-152
ПЕРІОДИКА-1005-1923-73158,ПЕРІОДИКА-1005-1923-228
ПЕРІОДИКА-1005-1923-73159,ПЕРІОДИКА-1005-1923-181
ПЕРІОДИКА-1005-1923-73160,ПЕРІОДИКА-1005-1923-6
ПЕРІОДИКА-1005-1923-73161,ПЕРІОДИКА-1005-1923-219
ПЕРІОДИКА-1005-1923-73162,ПЕРІОДИКА-1005-1923-188
ПЕРІОДИКА-1005-1923-73163,ПЕРІОДИКА-1005-1923-120
ПЕРІОДИКА-1005-1923-73164,ПЕРІОДИКА-1005-1923-175
ПЕРІОДИКА-1005-1923-73165,ПЕРІОДИКА-1005-1923-153
ПЕРІОДИКА-1005-1923-73166,ПЕРІОДИКА-1005-1923-168
ПЕРІОДИКА-1005-1923-73167,ПЕРІОДИКА-1005-1923-231
ПЕРІОДИКА-1005-1923-73168,ПЕРІОДИКА-1005-1923-22
ПЕРІОДИКА-1005-1923-73169,ПЕРІОДИКА-1005-1923-139
ПЕРІОДИКА-1005-1923-73170,ПЕРІОДИКА-1005-1923-227
ПЕРІОДИКА-1005-1923-73171,ПЕРІОДИКА-1005-1923-157
ПЕРІОДИКА-1005-1923-73172,ПЕРІОДИКА-1005-1923-199
ПЕРІОДИКА-1005-1923-73173,ПЕРІОДИКА-1005-1923-226
ПЕРІОДИКА-1005-1923-73174,ПЕРІОДИКА-1005-1923-40
ПЕРІОДИКА-1005-1923-73175,ПЕРІОДИКА-1005-1923-200
ПЕРІОДИКА-1005-1923-73176,ПЕРІОДИКА-1005-1923-191
ПЕРІОДИКА-1005-1923-73177,ПЕРІОДИКА-1005-1923-45
ПЕРІОДИКА-1005-1923-73178,ПЕРІОДИКА-1005-1923-41
ПЕРІОДИКА-1005-1923-73179,ПЕРІОДИКА-1005-1923-162
ПЕРІОДИКА-1005-1923-73180,ПЕРІОДИКА-1005-1923-109
ПЕРІОДИКА-1005-1923-73181,ПЕРІОДИКА-1005-1923-47
ПЕРІОДИКА-1005-1923-73182,ПЕРІОДИКА-1005-1923-83
ПЕРІОДИКА-1005-1923-73183,ПЕРІОДИКА-1005-1923-216
ПЕРІОДИКА-1005-1923-73184,ПЕРІОДИКА-1005-1923-35
ПЕРІОДИКА-1005-1923-73185,ПЕРІОДИКА-1005-1923-57
ПЕРІОДИКА-1005-1923-73186,ПЕРІОДИКА-1005-1923-49
ПЕРІОДИКА-1005-1923-73187,ПЕРІОДИКА-1005-1923-190
ПЕРІОДИКА-1005-1923-73188,ПЕРІОДИКА-1005-1923-106
ПЕРІОДИКА-1005-1923-73189,ПЕРІОДИКА-1005-1923-67
ПЕРІОДИКА-1005-1923-73190,ПЕРІОДИКА-1005-1923-3
ПЕРІОДИКА-1005-1923-73191,ПЕРІОДИКА-1005-1923-43
ПЕРІОДИКА-1005-1923-73192,ПЕРІОДИКА-1005-1923-148
ПЕРІОДИКА-1005-1923-73193,ПЕРІОДИКА-1005-1923-60
ПЕРІОДИКА-1005-1923-73194,ПЕРІОДИКА-1005-1923-209
ПЕРІОДИКА-1005-1923-73195,ПЕРІОДИКА-1005-1923-84
ПЕРІОДИКА-1005-1923-73196,ПЕРІОДИКА-1005-1923-31
ПЕРІОДИКА-1005-1923-73197,ПЕРІОДИКА-1005-1923-16
ПЕРІОДИКА-1005-1923-73198,ПЕРІОДИКА-1005-1923-158
ПЕРІОДИКА-1005-1923-73199,ПЕРІОДИКА-1005-1923-144
ПЕРІОДИКА-1005-1923-73200,ПЕРІОДИКА-1005-1923-95
ПЕРІОДИКА-1005-1923-73201,ПЕРІОДИКА-1005-1923-183
ПЕРІОДИКА-1005-1923-73202,ПЕРІОДИКА-1005-1923-178
ПЕРІОДИКА-1005-1923-73203,ПЕРІОДИКА-1005-1923-101
ПЕРІОДИКА-1005-1923-73204,ПЕРІОДИКА-1005-1923-69
ПЕРІОДИКА-1005-1923-73205,ПЕРІОДИКА-1005-1923-8
ПЕРІОДИКА-1005-1923-73206,ПЕРІОДИКА-1005-1923-42
ПЕРІОДИКА-1005-1923-73207,ПЕРІОДИКА-1005-1923-117
ПЕРІОДИКА-1005-1923-73208,ПЕРІОДИКА-1005-1923-119
ПЕРІОДИКА-1005-1923-73209,ПЕРІОДИКА-1005-1923-102
ПЕРІОДИКА-1005-1923-73210,ПЕРІОДИКА-1005-1923-167
ПЕРІОДИКА-1005-1923-73211,ПЕРІОДИКА-1005-1923-210
ПЕРІОДИКА-1005-1923-73212,ПЕРІОДИКА-1005-1923-207
ПЕРІОДИКА-1005-1923-73213,ПЕРІОДИКА-1005-1923-213
ПЕРІОДИКА-1005-1923-73214,ПЕРІОДИКА-1005-1923-202
ПЕРІОДИКА-1005-1923-73215,ПЕРІОДИКА-1005-1923-112
ПЕРІОДИКА-1005-1923-73216,ПЕРІОДИКА-1005-1923-150
