kind,level,ref,detail
sequence-gap,description,ДАКрО-Р1309,1988 missing in 1..1994: 6-1993
sequence-gap,description,ДАКрО-Р1326,2137 missing in 1..2141: 4-2140
sequence-gap,description,ДАКрО-Р1333,2144 missing in 1..2148: 4-2147
sequence-gap,description,ДАКрО-Р1329,2141 missing in 1..2144: 3-2143
sequence-gap,description,ДАКрО-Р2032,3202 missing in 1..3205: 3-3204
sequence-gap,description,ДАКрО-Р1181,2019 missing in 1..2022: 3-2021
sequence-gap,description,ДАКрО-299,1 missing in 1..3: 2
sequence-gap,description,ДАКрО-Р3003,3783 missing in 1..3787: 4-3786
sequence-gap,description,ДАКрО-Р253,1191 missing in 1..1198: 7-1197
sequence-gap,description,ДАКрО-Р3002,"3782 missing in 1..3786: 3,5-3785"
sequence-gap,description,ДАКрО-Р1198,1967 missing in 1..1970: 3-1969
sequence-gap,description,ДАКрО-Р4338,5335 missing in 1..5338: 3-5337
sequence-gap,description,ДАКрО-Р5974,6866 missing in 1..6870: 4-6869
sequence-gap,description,ДАКрО-Р1189,1963 missing in 1..1966: 3-1965
sequence-gap,description,ДАКрО-Р5989,6882 missing in 1..6885: 3-6884
sequence-gap,description,ДАКрО-Р224,1164 missing in 1..1170: 6-1169
sequence-gap,case,ДАКрО-Р249С-1,"607 missing in 26..641: 27-81,84-153,155,157-205,207-226,228-638,640"
sequence-gap,case,ДАКрО-Р249С-2,"574 missing in 25..627: 26-36,44-49,51-55,57,59-107,109-164,166-167,169-223,225-271,273-296,299-303,307-316,318-424,426-429,432,436-626"
sequence-gap,case,ДАКрО-972-1,85 missing in 29..143: 34-118
sequence-gap,case,ДАКрО-249С-1,"373 missing in 235..624: 237,242-246,248-323,329-426,428-432,434-480,482-615,617-623"
sequence-gap,case,ДАКрО-2252-1,"33 missing in 1..147: 96-99,101,103-105,107-108,111-114,116-121,124,126-129,131-132,134-135,137-138,141,145"
sequence-gap,case,ДАКрО-2246-1,"209 missing in 2..426: 9,12-13,18,27,29-31,42,52,60,62-63,68,71,74,78,80,85-86,89,92,95,98,101,…"
sequence-gap,case,ДАКрО-2246-2,"81 missing in 1..180: 3,7-11,13-14,21,23-25,30-34,40-42,51-52,55-56,58-60,63,68-70,72,74,76-84,87,89,91-92,95,99-101,…"
sequence-gap,case,ДАКрО-1064-1,1 missing in 592..779: 767
merge,case,ДАКрО-514-1/1,merged variants: 1 + 1
sequence-gap,case,ДАКрО-185-1,"5 missing in 2..98: 14-17,19"
sequence-gap,case,ДАКрО-669-1,"4 missing in 1..15: 7-8,12,14"
sequence-gap,case,ДАКрО-12-1,"1966 missing in 1..2009: 10-11,13-14,39-2000"
sequence-gap,case,ДАКрО-18-1,"1434 missing in 1..2009: 532-535,537-538,542-544,554,558,567,579-2000"
sequence-gap,case,ДАКрО-20-1,"1831 missing in 1..2757: 128,772,919-2000,2010-2756"
sequence-gap,case,ДАКрО-20-2,"1969 missing in 1..2009: 31-46,48-2000"
sequence-gap,case,ДАКрО-21-1,1976 missing in 1..2009: 25-2000
sequence-gap,case,ДАКрО-23-1,1985 missing in 1..2009: 16-2000
sequence-gap,case,ДАКрО-24-1,1993 missing in 1..2007: 8-2000
sequence-gap,case,ДАКрО-25-1,1988 missing in 1..2009: 13-2000
sequence-gap,case,ДАКрО-27-1,1944 missing in 1..2009: 57-2000
sequence-gap,case,ДАКрО-31-1,1994 missing in 1..2006: 7-2000
sequence-gap,case,ДАКрО-57-1,10 missing in 1..70: 60-69
sequence-gap,case,ДАКрО-64-1,"3 missing in 1..16: 5,8,10"
sequence-gap,case,ДАКрО-69-1,17 missing in 1..69: 52-68
sequence-gap,case,ДАКрО-78-1,"8 missing in 1..1324: 695,733,750-751,777,797,799,1186"
sequence-gap,case,ДАКрО-78-2,"41 missing in 1..920: 489,781,840-878"
sequence-gap,case,ДАКрО-78-3,"2 missing in 1..995: 28,563"
sequence-gap,case,ДАКрО-78-4,"2 missing in 1..1218: 27,598"
sequence-gap,case,ДАКрО-78-5,1 missing in 1..537: 277
sequence-gap,case,ДАКрО-78-6,1 missing in 1..401: 126
sequence-gap,case,ДАКрО-78-8,"9 missing in 1..471: 87,106,115,118-120,257-259"
sequence-gap,case,ДАКрО-78-10,1 missing in 1..96: 42
sequence-gap,case,ДАКрО-78-11,3 missing in 1..228: 27-29
sequence-gap,case,ДАКрО-78-14,"6 missing in 5..28: 6-7,12,19-21"
sequence-gap,case,ДАКрО-89-1,1 missing in 1..49: 40
sequence-gap,case,ДАКрО-101-1,"3 missing in 3..16: 7,12-13"
sequence-gap,case,ДАКрО-105-1,"13 missing in 1..103: 42,45,48,57-66"
sequence-gap,case,ДАКрО-113-1,1 missing in 1..40: 22
sequence-gap,case,ДАКрО-121-1,1 missing in 1..23: 3
sequence-gap,case,ДАКрО-131-1,1 missing in 1..19: 2
sequence-gap,case,ДАКрО-144-1,1 missing in 1..25: 24
sequence-gap,case,ДАКрО-149-1,1 missing in 1..35: 22
sequence-gap,case,ДАКрО-154-1,1 missing in 1..70: 30
sequence-gap,case,ДАКрО-155-1,1 missing in 1..28: 22
sequence-gap,case,ДАКрО-162-1,1 missing in 1..26: 3
sequence-gap,case,ДАКрО-171-1,"103 missing in 1..132: 4-5,7-8,33-131"
sequence-gap,case,ДАКрО-189-1,"15 missing in 1..84: 55,70-83"
sequence-gap,case,ДАКрО-204-1,"50 missing in 1..95: 10-11,15,18-21,52-94"
sequence-gap,case,ДАКрО-211-1,1 missing in 1..21: 5
sequence-gap,case,ДАКрО-216-1,"33 missing in 1..190: 110-111,114,116,122-123,125-126,133-134,141,143-144,148-149,151-167,177"
sequence-gap,case,ДАКрО-216-2,"352 missing in 33..398: 34-105,107,109-113,115-207,210-223,225-365,370-371,373-382,384-397"
sequence-gap,case,ДАКрО-218-1,7 missing in 1..20: 13-19
sequence-gap,case,ДАКрО-225-1,8 missing in 1..313: 269-276
sequence-gap,case,ДАКрО-227-1,1 missing in 1..75: 28
sequence-gap,case,ДАКрО-232-1,1 missing in 1..24: 22
sequence-gap,case,ДАКрО-238-1,"17 missing in 1..38: 20-22,24-37"
sequence-gap,case,ДАКрО-239-1,5 missing in 1..24: 19-23
sequence-gap,case,ДАКрО-242-1,"1027 missing in 1..1037: 9-603,605-1036"
sequence-gap,case,ДАКрО-317-7,"12967774 missing in 1..12981299: 416-422,2199,4015,7532-7551,9393,11101,12383-12388,13558-122833,122835-128906,128908-415421,415423-10311036,10311038-12981298"
sequence-gap,case,ДАКрО-323-1,"2 missing in 1..309: 237,243"
sequence-gap,case,ДАКрО-347-1,1 missing in 1..86: 2
sequence-gap,case,ДАКрО-353-1,196 missing in 1..242: 46-241
sequence-gap,case,ДАКрО-359-1,1 missing in 1..49: 17
sequence-gap,case,ДАКрО-369-1,"20 missing in 1..770: 133-141,283,355,510,522,659,684-685,696-697,703,743"
sequence-gap,case,ДАКрО-413-1,1 missing in 1..23: 7
sequence-gap,case,ДАКрО-476-1,1 missing in 1..127: 59
sequence-gap,case,ДАКрО-498-1,1 missing in 1..415: 122
sequence-gap,case,ДАКрО-499-1,1 missing in 1..914: 522
sequence-gap,case,ДАКрО-500-1,1 missing in 1..131: 76
sequence-gap,case,ДАКрО-570-1,4 missing in 1..31: 26-29
sequence-gap,case,ДАКрО-647-1,1 missing in 1..13: 9
sequence-gap,case,ДАКрО-678-1,"3 missing in 1..30: 16,21-22"
sequence-gap,case,ДАКрО-716-1,15 missing in 1..36: 21-35
sequence-gap,case,ДАКрО-723-1,15 missing in 1..29: 14-28
sequence-gap,case,ДАКрО-Р288-3,1 missing in 1..139: 114
sequence-gap,case,ДАКрО-Р264-1,1 missing in 1..80: 74
sequence-gap,case,ДАКрО-Р281-1,"39 missing in 1..989: 71,440,586,777,893-895,938-967,987-988"
sequence-gap,case,ДАКрО-Р281-3,1 missing in 1..503: 426
sequence-gap,case,ДАКрО-Р281-7,"16 missing in 1..131: 15,17,108-121"
sequence-gap,case,ДАКрО-Р281-2,"248 missing in 1..777: 412,530-776"
sequence-gap,case,ДАКрО-Р972-1,"31 missing in 1..739: 29-33,119-143,198"
sequence-gap,case,ДАКрО-52-1,1 missing in 1..133: 54
sequence-gap,case,ДАКрО-53-1,"16 missing in 1..712: 4,19,23,35,74,100-101,212,238,351-353,603,616,698-699"
sequence-gap,case,ДАКрО-60-1,1 missing in 1..321: 87
sequence-gap,case,ДАКрО-Р5213-1,1 missing in 1..505: 454
sequence-gap,case,ДАКрО-Р5213-3,"9 missing in 1..627: 17,22,24,37,56,129,178,306,456"
sequence-gap,case,ДАКрО-Р1068-1,"960 missing in 154..1163: 163,204-1162"
sequence-gap,case,ДАКрО-Р1304-1,"4 missing in 1..312: 44,63,221,270"
sequence-gap,case,ДАКрО-Р1304-2,"41 missing in 1..890: 14-15,26-27,64-65,72-74,81-83,89,98-100,110,117-118,127-128,134-136,144-146,155-157,169-170,180-181,197,212-213,377,609,760,…"
sequence-gap,case,ДАКрО-Р1304-3,1 missing in 1..548: 173
sequence-gap,case,ДАКрО-Р2175-1,"47 missing in 1..151: 97-98,100-113,115-125,127-140,142-147"
sequence-gap,case,ДАКрО-Р3003-2,"4 missing in 2..134: 5,7-8,11"
sequence-gap,case,ДАКрО-Р4111-1,"6 missing in 1..616: 6,10,16,27,393,512"
sequence-gap,case,ДАКрО-Р4543-1,"48 missing in 5..698: 7-15,18-22,25-40,48,50-54,56-67"
sequence-gap,case,ДАКрО-Р4100-1,"3934 missing in 1..4523: 5,8,14,92,310,339,362-363,390-391,599-4522"
sequence-gap,case,ДАКрО-7-1,1225 missing in 1..2009: 776-2000
sequence-gap,case,ДАКрО-7-2,"1797 missing in 1..2009: 22,205-2000"
sequence-gap,case,ДАКрО-343-1,2 missing in 1..21: 11-12
sequence-gap,case,ДАКрО-345-1,"3 missing in 1..47: 16,19-20"
sequence-gap,case,ДАКрО-392-1,"3 missing in 1..2456: 1698,1800,2296"
sequence-gap,case,ДАКрО-633-1,42 missing in 1..62: 20-61
sequence-gap,case,ДАКрО-712-1,1 missing in 1..121: 5
sequence-gap,case,ДАКрО-740-1,4 missing in 1..15: 11-14
sequence-gap,case,ДАКрО-1167-1,"4 missing in 1..92: 18-19,22,26"
sequence-gap,case,ДАКрО-1178-2,"3 missing in 1..55: 10,14-15"
sequence-gap,case,ДАКрО-1189-1,"2 missing in 1..119: 41,44"
sequence-gap,case,ДАКрО-1215-1,"10 missing in 1..120: 17,20-23,26-29,32"
sequence-gap,case,ДАКрО-1230-1,"4 missing in 1..100: 62,76,84-85"
sequence-gap,case,ДАКрО-1291-1,"4 missing in 1..221: 56-58,90"
sequence-gap,case,ДАКрО-1292-1,"11 missing in 1..70: 10-12,22-24,40-42,44,60"
sequence-gap,case,ДАКрО-1292-2,1 missing in 1..192: 152
sequence-gap,case,ДАКрО-1329-2,1 missing in 1..31: 6
sequence-gap,case,ДАКрО-1338-1,"8 missing in 1..76: 28-30,34,44,51,59,65"
sequence-gap,case,ДАКрО-1338-2,"2 missing in 1..34: 19,33"
sequence-gap,case,ДАКрО-1338-3,"5 missing in 1..38: 12,14-15,17,20"
sequence-gap,case,ДАКрО-1341-2,"2 missing in 1..33: 7,14"
sequence-gap,case,ДАКрО-Р293С-7,"19 missing in 1..38: 16-18,20-23,25-30,32-37"
sequence-gap,case,ДАКрО-П1-1,1 missing in 1..245: 34
sequence-gap,case,ДАКрО-П1-1ТОМ2,"128 missing in 1..235: 2-10,12-15,17-20,22-24,28-29,31,33,39,41-43,47,52,55,57-58,60,62,67-68,70-72,74-76,145-158,161-164,…"
sequence-gap,case,ДАКрО-П2-2ТОМ2,"124 missing in 1..2483: 3-12,14,44,51,80,105,112,191,203,207,272,280,298,348,356,396,446,456,477,493,…"
sequence-gap,case,ДАКрО-П2-1,"100 missing in 1..2230: 44,122-128,170,276,405-418,648,752,831-842,993-1004,1006-1027,1029-1034,1309,1570-1579,1945,1948,1973-1981"
sequence-gap,case,ДАКрО-П2-2,"13 missing in 1..2483: 356,1184,1223,1229,1267,1322-1324,1414,2111,2155,2308,2435"
sequence-gap,case,ДАКрО-П2-5,"12 missing in 1..337: 24,28,33,36,66-67,81,125,128,130,163,228"
sequence-gap,case,ДАКрО-П3-2,"5 missing in 1..809: 25,31,106,233,471"
sequence-gap,case,ДАКрО-П3-4,"8 missing in 1..231: 3,6-8,10-11,17,152"
sequence-gap,case,ДАКрО-П4-1,"3 missing in 1..568: 230,244,283"
sequence-gap,case,ДАКрО-П4-3,"2 missing in 1..701: 125,393"
sequence-gap,case,ДАКрО-П4-4,"5 missing in 1..4569: 2699,3314,3490,3911,3954"
sequence-gap,case,ДАКрО-П4-5,"3 missing in 1..3995: 733,1085,2639"
sequence-gap,case,ДАКрО-П4-22,"11 missing in 1..2867: 25-28,36-37,515,1420-1423"
sequence-gap,case,ДАКрО-П4-23,1 missing in 1..986: 980
sequence-gap,case,ДАКрО-П4-8,"2 missing in 139..1018: 698,837"
sequence-gap,case,ДАКрО-П4-2,1 missing in 1..894: 104
sequence-gap,case,ДАКрО-П4-25,"2 missing in 1..127: 7,18"
sequence-gap,case,ДАКрО-П-22,"21971 missing in 21..22426: 30-209,300-2099,2215-2597,2728-22335"
sequence-gap,case,ДАКрО-Р210-1,"1000 missing in 1..2173: 4-5,11,13,16-17,20,22-23,26-28,36,39-41,43-44,46-49,52,54,56,59-60,64-65,67,69-70,76-77,84-85,…"
sequence-gap,case,ДАКрО-Р210-2,"6 missing in 1..113: 44-45,61,63-64,66"
sequence-gap,case,ДАКрО-Р210-4,"3 missing in 1..87: 51,74,85"
sequence-gap,case,ДАКрО-Р216-1,"8 missing in 1..608: 280,282-283,285-287,502,607"
sequence-gap,case,ДАКрО-Р216-3,"3 missing in 1..128: 91,98,124"
sequence-gap,case,ДАКрО-Р216-2,"166 missing in 1..1112: 2,10,14,23-30,33,55,57-59,63-66,78,87,95,106,108,111,114-115,122-123,125-126,135,143,146,…"
sequence-gap,case,ДАКрО-Р216-4,"5 missing in 1..54: 3-5,33-34"
sequence-gap,case,ДАКрО-Р242-1,1 missing in 1..1693: 359
sequence-gap,case,ДАКрО-Р242-3,585 missing in 1..674: 89-673
sequence-gap,case,ДАКрО-Р242-4,"34 missing in 1..1046: 39-40,78,100,115,159,179,283-284,286,338-339,375,509,583,641-643,703,709,776,919-921,927,975-976,1019,…"
sequence-gap,case,ДАКрО-Р242-5,"20 missing in 1..1044: 268,510,584,587,659-660,706-707,806,861-862,903-904,939-940,983-984,1017-1018,1042"
sequence-gap,case,ДАКрО-Р242-6,"14 missing in 1..812: 28-30,78-80,169-170,274,277,304,342,443,774"
sequence-gap,case,ДАКрО-Р249-1,"32 missing in 1..676: 26,82-83,138,154,156,175,191,206,227,235-236,238-241,247,324-328,427,433,481,495-496,598,616,624,…"
sequence-gap,case,ДАКрО-Р249-2,"31 missing in 1..637: 25,37-43,50,56,58,108,165,168-169,224,272,297-298,304-306,315,317,425,430-431,433-435,627"
sequence-gap,case,ДАКрО-Р253-1,"2 missing in 1..836: 262,686"
sequence-gap,case,ДАКрО-Р253-2,2 missing in 1..212: 31-32
sequence-gap,case,ДАКрО-Р253-4,1 missing in 1..635: 612
sequence-gap,case,ДАКрО-Р253-6,"8 missing in 1..137: 3-4,9-10,14-15,22-23"
sequence-gap,case,ДАКрО-Р254-1,1 missing in 1..219: 186
sequence-gap,case,ДАКрО-Р268-1,"93 missing in 1..314: 39-65,160,208-218,229,236,259-306,310-313"
sequence-gap,case,ДАКрО-Р269-1,"4 missing in 1..43: 3,13,27,39"
sequence-gap,case,ДАКрО-Р272-1,"21 missing in 1..2347: 120,725,1162,1224,1290,1296,1502-1503,2283-2295"
sequence-gap,case,ДАКрО-Р272-2,"39 missing in 1..882: 6-8,14,16-17,27,33,37,56,98,107,125,171,185,200-202,227,232,244-245,249-250,263,306-307,347-349,…"
sequence-gap,case,ДАКрО-Р272-3,"2 missing in 1..1173: 339,868"
sequence-gap,case,ДАКрО-Р273-1,12 missing in 1..22: 6-17
sequence-gap,case,ДАКрО-Р273-2,"17 missing in 1..470: 6,14-23,28,170,266,283,304,331"
sequence-gap,case,ДАКрО-Р293-6,1 missing in 1..69: 66
sequence-gap,case,ДАКрО-Р293-1,"17 missing in 1..2451: 42,191,291,1001,1003,1007,1028,1191,1452,1546-1548,1861,2024,2172,2300,2392"
sequence-gap,case,ДАКрО-Р293-2,"34 missing in 1..944: 2-9,131,146,179,195,211,213,228,246,282,296,315,329-339,358,443,707,857"
sequence-gap,case,ДАКрО-Р293-3,"11 missing in 1..1442: 7,14-16,24,119,308,454,639,1439-1440"
sequence-gap,case,ДАКрО-Р293-4,1 missing in 1..66: 54
sequence-gap,case,ДАКрО-Р293-5,"2 missing in 1..291: 91,132"
sequence-gap,case,ДАКрО-Р299-1,7 missing in 1..757: 712-718
sequence-gap,case,ДАКрО-Р299-3,"9 missing in 1..385: 22-23,57-58,65,67,83-84,138"
sequence-gap,case,ДАКрО-Р301-1,1 missing in 1..347: 183
sequence-gap,case,ДАКрО-Р308-1,"231 missing in 24..464: 68,71-76,104,113-146,148,177-219,255-274,296-329,335,343,352-398,410-435,437,439-441,444-447,450-451,453,455-456,460-462"
sequence-gap,case,ДАКрО-Р354-1,"2 missing in 1..331: 106,119"
sequence-gap,case,ДАКрО-Р374-1,1 missing in 1..71: 53
sequence-gap,case,ДАКрО-Р392-1,1 missing in 1..95: 54
sequence-gap,case,ДАКрО-Р478-1,9 missing in 1..44: 34-42
sequence-gap,case,ДАКрО-Р478-2,"6 missing in 1..132: 5,36,40,43-44,47"
sequence-gap,case,ДАКрО-Р480-1,"143 missing in 4..156: 5-19,21-26,28-34,36-39,41-75,77-79,81-112,114-139,141-155"
sequence-gap,case,ДАКрО-Р480-2,"40 missing in 4..54: 5-6,8-19,22-26,28,30-34,36-39,41-46,48-49,51-53"
sequence-gap,case,ДАКрО-Р633-1,1 missing in 1..133: 61
sequence-gap,case,ДАКрО-Р959-1,1 missing in 1..121: 9
sequence-gap,case,ДАКрО-Р976-1,"14 missing in 1..890: 157-159,163,332,421,474-475,868,873-874,886-888"
sequence-gap,case,ДАКрО-Р250-1,"63 missing in 1..1920: 273-328,747,1136,1325,1417,1419,1570,1856"
sequence-gap,case,ДАКрО-Р1048-1,1 missing in 1..907: 269
sequence-gap,case,ДАКрО-Р1048-3,"387 missing in 1..785: 10,90,92-94,97-99,101-102,104-117,119-126,128-142,144-147,149,151,153,155-156,160-168,170-193,195-210,213-214,216-217,220-229,231-238,…"
sequence-gap,case,ДАКрО-Р1048-5,1 missing in 1..223: 2
sequence-gap,case,ДАКрО-Р1064-1,"255 missing in 1..591: 3,7,9-10,13,15-17,19,21,24,26,30-32,37,41-42,44-45,48,52-55,57,59-62,66-67,70-76,79-83,…"
sequence-gap,case,ДАКрО-Р1071-1,1 missing in 155..583: 480
sequence-gap,case,ДАКрО-Р1167-1,"4 missing in 1..92: 18-19,22,26"
sequence-gap,case,ДАКрО-Р1171-1,"35 missing in 2..184: 37-64,76-78,81,94,103,105"
sequence-gap,case,ДАКрО-Р1171-2,4 missing in 1..24: 18-21
sequence-gap,case,ДАКрО-Р1178-2,"3 missing in 1..55: 10,14-15"
sequence-gap,case,ДАКрО-Р1181-1,"3 missing in 1..24: 8,10,17"
sequence-gap,case,ДАКрО-Р1181-2,"5 missing in 1..46: 12,14,16,19,21"
sequence-gap,case,ДАКрО-Р1185-1,"149 missing in 1..722: 29-30,73-74,76,78,80-81,83-84,86-87,89,101,109-114,183,186,189-190,201-202,205,297,318-319,330-339,381,383,…"
sequence-gap,case,ДАКрО-Р1189-1,"2 missing in 1..119: 41,44"
sequence-gap,case,ДАКрО-Р1198-1,1 missing in 1..42: 16
sequence-gap,case,ДАКрО-Р1198-2,3 missing in 1..37: 16-18
sequence-gap,case,ДАКрО-Р1200-1,"15 missing in 1..660: 20,26,28,78,143,146,235-236,536,551,612-613,656-658"
sequence-gap,case,ДАКрО-Р1200-2,"7 missing in 1..307: 40,58-59,125,157,224,304"
sequence-gap,case,ДАКрО-Р1200-5,2 missing in 1..16: 6-7
sequence-gap,case,ДАКрО-Р1200-6,"7 missing in 1..110: 2,8-9,16-17,21,31"
sequence-gap,case,ДАКрО-Р1215-1,"10 missing in 1..120: 17,20-23,26-29,32"
sequence-gap,case,ДАКрО-Р1224-1,"159 missing in 1..221: 6-8,13-16,24-26,38,47-49,74,77-220"
sequence-gap,case,ДАКрО-Р1230-1,"4 missing in 1..100: 62,76,84-85"
sequence-gap,case,ДАКрО-Р1291-1,"4 missing in 1..221: 56-58,90"
sequence-gap,case,ДАКрО-Р1292-1,"11 missing in 1..70: 10-12,22-24,40-42,44,60"
sequence-gap,case,ДАКрО-Р1292-2,1 missing in 1..192: 152
sequence-gap,case,ДАКрО-Р1303-2,"7 missing in 1..207: 4,9,12-13,38-40"
sequence-gap,case,ДАКрО-Р1307-1,4 missing in 1..65: 57-60
sequence-gap,case,ДАКрО-Р1308-3,"11 missing in 1..80: 10-16,23,29-30,32"
sequence-gap,case,ДАКрО-Р1309-2,"17 missing in 4..37: 5,12,14,16-24,30-33,35"
sequence-gap,case,ДАКрО-Р1309-3,"145 missing in 3..1571: 7-17,22-25,28,30-59,61-66,69-112,118,124,132,140,304,364-368,434,498,512-520,583,586,659-664,810-816,971-981,…"
sequence-gap,case,ДАКрО-Р1309-5,"2 missing in 1..624: 29,87"
