archive,code,fond,inventory,file,title,tags,years
ДАХеО,316-2-26,316,2,26,"Метрична книга. Церква святителя Василя Великого (Василівська, Свято-Василівська), с. Новоолександрівка Мелітопольського пов. Сірогозької вол.",метрична книга|народження|шлюб|смерть,1884-1888
ДАХеО,316-1-293,316,1,293,"Метрична книга. Церква святителя Василя Великого (Василівська, Свято-Василівська), с. Новоолександрівка Мелітопольського пов. Сірогозької вол.",метрична книга|народження|шлюб|смерть,1909-1909
ДАХеО,137-37-25,137,37,25,"Метрична книга. Церква Введення Пресвятої Богородиці (Введенська), м. Берислав Херсонського пов.",метрична книга|народження|шлюб|смерть,1887-1887
ДАХеО,137-37-22,137,37,22,"Метрична книга. Церква Воскресіння Христового, м. Берислав Херсонського пов.",метрична книга|народження|шлюб|смерть,1885-1885
ДАХеО,137-37-6,137,37,6,"Метрична книга. Церква Успіння Пресвятої Богородиці (Успенська), м. Берислав Херсонського пов.",метрична книга|народження|шлюб|смерть,1867-1867
ДАХеО,137-37-15,137,37,15,"Метрична книга. Церква Успіння Пресвятої Богородиці (Успенська), м. Берислав Херсонського пов.",метрична книга|народження|шлюб|смерть,1878-1878
ДАХеО,137-37-28,137,37,28,"Метрична книга. Церква Успіння Пресвятої Богородиці (Успенська), м. Берислав Херсонського пов.",метрична книга|народження|шлюб|смерть,1889-1889
ДАХеО,137-37-42,137,37,42,"Метрична книга. Церква Успіння Пресвятої Богородиці (Успенська), м. Берислав Херсонського пов.",метрична книга|народження|шлюб|смерть,1908-1908
ДАХеО,207-1-975,207,1,975,"Списки парафіян. Церква Різдва Пресвятої Богородиці (Купецька), м. Миколаїв Херсонського пов.",,1811-1811
ДАХеО,198-1-68,198,1,68,"Списки парафіян. Церква Різдва Пресвятої Богородиці (Купецька), м. Миколаїв Херсонського пов.",,1842-1842
ДАХеО,207-1-2,207,1,2,"Списки парафіян. Собор Св. Катерини (Катерининський), м. Херсон Херсонського пов.",,1783-1783
ДАХеО,137-13-53,137,13,53,"Метрична книга. Церква святителя Миколая (Забалківська), м. Херсон Херсонського пов.",метрична книга|народження,1909-1909
ДАХеО,137-29-3,137,29,3,"Метрична книга. Церква Різдва Пресвятої Богородиці (Греко-Софіївська), м. Херсон Херсонського пов.",метрична книга|шлюб|смерть,1844-1844
ДАХеО,207-1-1088,207,1,1088,"Метрична книга. Церква Різдва Пресвятої Богородиці (Греко-Софіївська), м. Херсон Херсонського пов.",метрична книга|сповідальні відомості,1813-1813
ДАХеО,137-29-5,137,29,5,"Метрична книга. Церква Різдва Пресвятої Богородиці (Греко-Софіївська), м. Херсон Херсонського пов.",метрична книга|сповідальні відомості,1846-1847
ДАХеО,137-29-6,137,29,6,"Метрична книга. Церква Різдва Пресвятої Богородиці (Греко-Софіївська), м. Херсон Херсонського пов.",метрична книга|сповідальні відомості,1848-1848
ДАХеО,137-29-7,137,29,7,"Метрична книга. Церква Різдва Пресвятої Богородиці (Греко-Софіївська), м. Херсон Херсонського пов.",метрична книга|сповідальні відомості,1848-1848
ДАХеО,137-29-8,137,29,8,"Метрична книга. Церква Різдва Пресвятої Богородиці (Греко-Софіївська), м. Херсон Херсонського пов.",метрична книга|сповідальні відомості,1849-1849
ДАХеО,137-29-9,137,29,9,"Метрична книга. Церква Різдва Пресвятої Богородиці (Греко-Софіївська), м. Херсон Херсонського пов.",метрична книга|сповідальні відомості,1850-1850
ДАХеО,137-29-10,137,29,10,"Метрична книга. Церква Різдва Пресвятої Богородиці (Греко-Софіївська), м. Херсон Херсонського пов.",метрична книга|сповідальні відомості,1851-1851
ДАХеО,137-29-11,137,29,11,"Метрична книга. Церква Різдва Пресвятої Богородиці (Греко-Софіївська), м. Херсон Херсонського пов.",метрична книга|сповідальні відомості,1852-1852
ДАХеО,137-29-12,137,29,12,"Метрична книга. Церква Різдва Пресвятої Богородиці (Греко-Софіївська), м. Херсон Херсонського пов.",метрична книга|сповідальні відомості,1853-1854
ДАХеО,137-29-13,137,29,13,"Метрична книга. Церква Різдва Пресвятої Богородиці (Греко-Софіївська), м. Херсон Херсонського пов.",метрична книга|сповідальні відомості,1854-1854
ДАХеО,137-29-14,137,29,14,"Метрична книга. Церква Різдва Пресвятої Богородиці (Греко-Софіївська), м. Херсон Херсонського пов.",метрична книга|сповідальні відомості,1854-1854
ДАХеО,137-8-26,137,8,26,"Метрична книга. Церква Різдва Пресвятої Богородиці (Греко-Софіївська), м. Херсон Херсонського пов.",метрична книга|сповідальні відомості,1907-1912
ДАХеО,137-40-155,137,40,155,"Метрична книга. Церква (молитовний будинок) Покрови Пресвятої Богородиці (Покровська), х. Музикини передмістя м. Херсона Херсонського пов.",метрична книга|народження|шлюб|смерть,1911-1912
ДАХеО,198-1-12,198,1,12,"Списки парафіян. Церква Успіння Пресвятої Богородиці, с. Баратівка Херсонського пов. Антонівської вол.",,1789-1789
ДАХеО,207-1-1775,207,1,1775,"Списки парафіян. Церква Успіння Пресвятої Богородиці, м-ко Улянівка Херсонського пов. Антонівської вол.",,1829-1829
ДАХеО,198-1-69,198,1,69,"Списки парафіян. Церква Успіння Пресвятої Богородиці, м-ко Улянівка Херсонського пов. Антонівської вол.",,1842-1842
ДАХеО,137-2-7,137,2,7,"Метрична книга. Церква Св. Архангела Михаїла, с. Архангельське (Борозна) Херсонського пов. Архангельської вол.",метрична книга|народження|шлюб|смерть,1855-1855
ДАХеО,137-25-5,137,25,5,"Метрична книга. Церква Преображення Господнього, с. Вавилівка Херсонського пов. Вавилівської вол.",метрична книга|народження|шлюб|смерть,1852-1853
ДАХеО,137-25-9,137,25,9,"Метрична книга. Церква Преображення Господнього, с. Вавилівка Херсонського пов. Вавилівської вол.",метрична книга|народження|шлюб|смерть,1855-1855
ДАХеО,137-25-14,137,25,14,"Метрична книга. Церква Преображення Господнього, с. Вавилівка Херсонського пов. Вавилівської вол.",метрична книга|народження|шлюб|смерть,1858-1860
ДАХеО,137-25-17,137,25,17,"Метрична книга. Церква Преображення Господнього, с. Вавилівка Херсонського пов. Вавилівської вол.",метрична книга|народження|шлюб|смерть,1861-1861
ДАХеО,137-25-19,137,25,19,"Метрична книга. Церква Преображення Господнього, с. Вавилівка Херсонського пов. Вавилівської вол.",метрична книга|народження|шлюб|смерть,1862-1863
ДАХеО,207-1-1741,207,1,1741,"Списки парафіян. Церква Св. Миколая, с. Грушівка (Єленинське) Херсонського пов. Грушівської вол.",,
ДАХеО,198-1-8,198,1,8,"Списки парафіян. Церква Св. Миколая, с. Новопетрівське Херсонського пов. Гур’ївської вол.",,1785-1785
ДАХеО,207-1-1737,207,1,1737,"Списки парафіян. Церква святих Андріана і Наталії, с. Заградівка Херсонського пов. Заградівської (Шестернянської) вол.",,1828-1828
ДАХеО,137-9-12,137,9,12,"Метрична книга. Церква Св. Іоанна Предтечі, с. Іванівка (Кочубея) Херсонського пов. Заградівської (Архангельської) вол.",метрична книга|народження|смерть,1855-1855
