kind,level,ref,detail
sequence-gap,case,ЦДАВО-2-14,"4379 missing in 1..7007: 355,399-402,907-2736,3352,3379,3395,3630-6170"
sequence-gap,case,ЦДАВО-2-21,753 missing in 1..2163: 699-1451
sequence-gap,case,ЦДАВО-2-12,1 missing in 1447..2781: 2462
sequence-gap,case,ЦДАВО-1074-1,"3 missing in 1..74: 13,24,62"
sequence-gap,case,ЦДАВО-1077-1,1 missing in 1..72: 42
sequence-gap,case,ЦДАВО-1077-3,"43 missing in 3..77: 7-8,11-12,14,19,21,23-24,26,31,34-38,40,45,48-54,56,58-59,62-76"
sequence-gap,case,ЦДАВО-1092-3,"2401 missing in 1..2788: 81,243-244,280-288,392-2779,2786"
sequence-gap,case,ЦДАВО-1092-1,"4 missing in 1..24: 5-6,9,23"
sequence-gap,case,ЦДАВО-1390-1,1787 missing in 1..1918: 130-1916
sequence-gap,case,ЦДАВО-1391-1,1901 missing in 1..1918: 17-1917
sequence-gap,case,ЦДАВО-1429-1,2 missing in 1..37: 19-20
sequence-gap,case,ЦДАВО-1532-3,"2 missing in 1..22: 2,7"
sequence-gap,case,ЦДАВО-1594-1,1901 missing in 1..1918: 17-1917
sequence-gap,case,ЦДАВО-1636-1,1964 missing in 1..1982: 11-1974
sequence-gap,case,ЦДАВО-1665-1,1906 missing in 1..1919: 12-1917
sequence-gap,case,ЦДАВО-1674-1,1907 missing in 1..1917: 10-1916
sequence-gap,case,ЦДАВО-1676-1,1906 missing in 1..1918: 11-1916
sequence-gap,case,ЦДАВО-582-1,"8 missing in 1..5259: 1325,1421,1854,2155,2168,2496,2563,3759"
sequence-gap,case,ЦДАВО-582-20,"897 missing in 1..1513: 253-583,926-1240,1250-1309,1318-1321,1323-1414,1418-1512"
sequence-gap,case,ЦДАВО-1824-1,"3 missing in 1..60: 29,31,33"
sequence-gap,case,ЦДАВО-1871-2,1 missing in 1..25: 19
sequence-gap,case,ЦДАВО-1917-1933,"2542 missing in 30..2605: 49-341,343-581,584-743,745-763,765-785,787-817,819-835,837-904,906-1058,1060-1070,1072-1091,1093-1280,1283-2604"
sequence-gap,case,ЦДАВО-1934-1,12 missing in 1..28: 16-27
sequence-gap,case,ЦДАВО-2180-1,2 missing in 1..24: 4-5
sequence-gap,case,ЦДАВО-2188-1,"2 missing in 1..287: 130,197"
sequence-gap,case,ЦДАВО-2193-2,1783 missing in 1..1918: 135-1917
sequence-gap,case,ЦДАВО-2193-1,"1264 missing in 1..1918: 125,131-133,135,142-143,217,387,390,393-395,397,399,402-403,441,443-460,486,630,688,693-1917"
sequence-gap,case,ЦДАВО-2197-2,1883 missing in 1..1918: 34-1916
sequence-gap,case,ЦДАВО-2201-2,1301 missing in 1..1919: 617-1917
sequence-gap,case,ЦДАВО-2201-3,1855 missing in 1..1918: 63-1917
sequence-gap,case,ЦДАВО-2201-4,1905 missing in 1..1918: 13-1917
sequence-gap,case,ЦДАВО-2201-1,679 missing in 1..1918: 1238-1916
sequence-gap,case,ЦДАВО-2208-3,1 missing in 1..233: 159
sequence-gap,case,ЦДАВО-2214-1,1901 missing in 1..1918: 16-1916
sequence-gap,case,ЦДАВО-2298-1,"2 missing in 1..17: 2,12"
sequence-gap,case,ЦДАВО-2395-1,1 missing in 1..15: 12
sequence-gap,case,ЦДАВО-5235-1,"2 missing in 1..2199: 493,2028"
sequence-gap,case,ЦДАВО-2537-1,1860 missing in 1..1920: 57-1916
sequence-gap,case,ЦДАВО-2207-2ОС,"16 missing in 1..1950: 720,795,845,874,886,893,930,950,973,975,1037,1060,1097,1889,1933,1946"
sequence-gap,case,ЦДАВО-2207-2,1 missing in 1..3565: 2707
sequence-gap,case,ЦДАВО-3172-1,"3 missing in 1..173: 45,66,92"
sequence-gap,case,ЦДАВО-3172-2,1 missing in 1..53: 52
sequence-gap,case,ЦДАВО-3206-2,1 missing in 1..441: 404
sequence-gap,case,ЦДАВО-3233-1,"20 missing in 1..89: 27-28,30-47"
sequence-gap,case,ЦДАВО-3239-1,1 missing in 1..25: 22
sequence-gap,case,ЦДАВО-3252-1,1909 missing in 1..1920: 11-1919
sequence-gap,case,ЦДАВО-3302-1,1875 missing in 1..1921: 42-1916
sequence-gap,case,ЦДАВО-3520-1,"1900 missing in 1..1919: 11,20-1918"
sequence-gap,case,ЦДАВО-3521-1,1 missing in 1..14: 10
sequence-gap,case,ЦДАВО-3525-1,1 missing in 1..15: 12
sequence-gap,case,ЦДАВО-3561-1,1 missing in 1..360: 204
sequence-gap,case,ЦДАВО-Р4СЧ-1,"31 missing in 1..1147: 1003,1005,1009-1013,1021-1022,1027,1071,1074,1085-1090,1092-1095,1100,1122,1128,1130,1133,1136,1140-1142"
sequence-gap,case,ЦДАВО-3676-1,"1707 missing in 1..1944: 19,138-139,188,195,201,224,241-1940"
sequence-gap,case,ЦДАВО-3676-2,3 missing in 1..40: 31-33
sequence-gap,case,ЦДАВО-3806-1,1849 missing in 1..1901: 52-1900
sequence-gap,case,ЦДАВО-3833-1,"1919 missing in 2..1947: 3-4,6-128,130-233,235-237,239-1921,1937-1940"
sequence-gap,case,ЦДАВО-3878-1,1 missing in 1..94: 7
sequence-gap,case,ЦДАВО-3883-1,1886 missing in 1..1917: 31-1916
sequence-gap,case,ЦДАВО-3895-1,1888 missing in 1..1915: 27-1914
sequence-gap,case,ЦДАВО-3902-1,1 missing in 1..40: 26
sequence-gap,case,ЦДАВО-3905-2,1754 missing in 1..1933: 168-1921
sequence-gap,case,ЦДАВО-3911-1,1854 missing in 1..1936: 67-1920
sequence-gap,case,ЦДАВО-3927-1,1901 missing in 1..1930: 23-1923
sequence-gap,case,ЦДАВО-3928-1,1908 missing in 1..1922: 14-1921
sequence-gap,case,ЦДАВО-3929-2,1 missing in 1..15: 13
sequence-gap,case,ЦДАВО-3934-1,1860 missing in 1..1895: 35-1894
sequence-gap,case,ЦДАВО-3950-2,1864 missing in 1..1924: 60-1923
sequence-gap,case,ЦДАВО-3972-1,"3 missing in 1..923: 154-155,408"
sequence-gap,case,ЦДАВО-3984-3,"651 missing in 176..840: 177-202,204-250,252-262,264-362,364-386,388-442,444-523,525-588,591-622,625-763,765-839"
sequence-gap,case,ЦДАВО-3984-4,"1730 missing in 185..1929: 186-229,231-251,253-1917"
sequence-gap,case,ЦДАВО-3984-1,"1894 missing in 10..1924: 11-66,68-70,72-90,92-93,95-100,102-103,105-258,261-273,275-386,388-390,392,395-474,477-1919"
sequence-gap,case,ЦДАВО-4024-1,1888 missing in 1..1907: 19-1906
sequence-gap,case,ЦДАВО-4592-1,1930 missing in 1..1945: 13-1942
sequence-gap,case,ЦДАВО-4620-3,"255 missing in 20..285: 21-30,32-122,124-235,237-242,244,246-274,277-282"
sequence-gap,case,ЦДАВО-4648-2,"260 missing in 21..458: 22-28,30-61,64-97,99-167,169-170,183,185-190,192,195,205-210,221-225,240-244,254,258-262,280,283-285,288-290,292,298,308-310,…"
sequence-gap,case,ЦДАВО-4648-3,"210 missing in 1..297: 10,17-19,22,24,27-28,30,33-35,37-38,44,46-50,56,60,62-66,72-76,78-80,82,85,87-88,90-91,93-96,…"
sequence-gap,case,ЦДАВО-4648-4,"251 missing in 1..374: 38,41,44-48,50-52,55,57-62,64-65,68,70-75,77-79,82,84-90,92-93,96,98-104,106-109,112-113,115-120,122-123,125,…"
sequence-gap,case,ЦДАВО-4648-5,"317 missing in 5..371: 9-10,12-16,18-19,21-30,32,35,37-41,43-48,50-73,75-81,84-85,87,89-94,96-127,135-149,152-177,179,183-188,190-222,224-235,…"
sequence-gap,case,ЦДАВО-4648-6СЧ,"435 missing in 8..466: 9-23,25-43,45-68,70-89,91-111,113-131,133-150,152-169,171-189,191-208,210-230,232-253,255-274,276-294,296-319,321-338,340-358,360-379,381-401,403-419,…"
sequence-gap,case,ЦДАВО-4710-5,2 missing in 1..55: 11-12
sequence-gap,case,ЦДАВО-4715-3,"1345 missing in 594..2005: 620-1943,1979-1999"
sequence-gap,case,ЦДАВО-4781-1,"290 missing in 632..932: 633,635-671,673-675,677-695,697-710,713-788,790,792,794-931"
sequence-gap,case,ЦДАВО-5233-2,1 missing in 3773..5230: 4027
sequence-gap,case,ЦДАВО-24-5,"40 missing in 1..1382: 1257,1296-1333,1344"
sequence-gap,case,ЦДАВО-166-6,"10223 missing in 633..10888: 634-1503,1508-1634,1636-2021,2023-2045,2047-3372,3382,3385-4573,4575-4578,4581-5917,5919-5927,5929-5943,5945-6172,6179-6182,6184-10887"
sequence-gap,case,ЦДАВО-166-13,1 missing in 1..204: 64
sequence-gap,case,ЦДАВО-166-1,"83 missing in 1..850: 732-755,757-781,784-817"
sequence-gap,case,ЦДАВО-166-12,"22 missing in 1..9075: 989,5064,5309,5361,5578,5688,5720,5754,5973,6512,6749-6750,6776,6916,6935,7028,7043,7122,7459,8098,8272,…"
sequence-gap,case,ЦДАВО-978-1,97 missing in 1..117: 20-116
sequence-gap,case,ЦДАВО-1947-1,17 missing in 1..28: 11-27
sequence-gap,case,ЦДАВО-1949-1,18 missing in 1..28: 10-27
sequence-gap,case,ЦДАВО-1966-1,11 missing in 1..28: 17-27
sequence-gap,case,ЦДАВО-2002-1,18 missing in 1..28: 10-27
sequence-gap,case,ЦДАВО-2023-1,1 missing in 1..30: 27
sequence-gap,case,ЦДАВО-1196-2,"33 missing in 1..527: 74,227,324,403,406-434"
sequence-gap,case,ЦДАВО-1196-1,"85 missing in 1..210: 76,80,86,91-96,103,111,115,118-147,152-161,163-165,167-171,173-176,178-184,188-198,204-206"
sequence-gap,case,ЦДАВО-3096-1,1900 missing in 1..1921: 21-1920
sequence-gap,case,ЦДАВО-3254-1,"1593 missing in 1..1924: 223,328-1919"
sequence-gap,case,ЦДАВО-4621-2,1 missing in 1..420: 252
sequence-gap,case,ЦДАВО-4621-4,1 missing in 1..483: 375
sequence-gap,case,ЦДАВО-4621-1,"2 missing in 1..422: 191,198"
