id,info
13de4581-826a-487d-860b-9820326ee096,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-D7QL-3R1K?view=explore&groupId=TH-7720-139102-77069-40&lang=uk
13e6b671-c4b0-4330-9a88-452c5617ea41,Повіт: Ямпільський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHN-GQ1J-2956?view=explore&groupId=TH-7771-134223-7084-34&lang=uk
1528c566-29a3-4a19-a878-a46da138fb33,Повіт: Ямпільський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHN-GQ1J-29ZW?view=explore&groupId=TH-7771-134223-7084-34&lang=uk
1530edae-453d-4e94-9eda-54ef6c733ff5,Повіт: Ковельський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHK-4731-S9RM-M?view=explore&groupId=TH-7701-138496-65067-78&lang=uk
15575506-9cc6-4da1-b0e0-b354f596a45c,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-H7Q2-19N3-9?view=explore&groupId=TH-7719-139101-67543-84&lang=uk
159baccf-a21c-4e5c-83b7-dfaa9dd19f76,Повіт: Ямпільський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHJ-RQ1J-2BHC?view=explore&groupId=TH-7771-134223-7084-34&lang=uk
17b766fd-9c15-421e-8fcb-07784d9f84cd,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-D7QL-3QWB?view=explore&groupId=TH-7719-139101-67532-31&lang=uk
17cb3d94-7666-4c33-a283-f19241c2113b,Повіт: Ковельський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHK-J731-D95K?view=explore&groupId=TH-7701-138496-65067-78&lang=uk
1858dde9-e7b1-483a-9530-8e1d4c01a046,Повіт: Ямпільський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHN-GQ1J-29VP?view=explore&groupId=TH-7771-134223-7084-34&lang=uk
18788c1b-272e-4c70-8dec-006af1816931,Повіт: Володимирський | Реєстр: https://www.familysearch.org/ark:/61903/3:1:3QHV-F7QL-WSMB?view=explore&groupId=TH-7719-139101-67541-30&lang=uk
