seq	page	complex	fond_raw	title	opys	ranges	years	pdfs
388	opisi-2	2-326	Р-226	Технологічне обладнання для спеціальних способів лиття	3	1499-2370	1975-1981	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-326_3.pdf
389	opisi-2	2-326	Р-226	Технологічне обладнання для спеціальних способів лиття	4	2371-2530	1979	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-326_4.pdf
390	opisi-2	2-326	Р-226	Технологічне обладнання для спеціальних способів лиття	5	2531-2949	1970-1978	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-326_5.pdf
391	opisi-2	2-326	Р-226	Технологічне обладнання для спеціальних способів лиття	6	2950-3237	1974-1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-326_6.pdf
392	opisi-2	2-327	Р-226	Технологічне обладнання для термічної обробки	1	1-292	1981	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-327_1.pdf
393	opisi-2	2-327	Р-226	Технологічне обладнання для термічної обробки	2	293-680	1980-1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-327_2.pdf
394	opisi-2	2-327	Р-226	Технологічне обладнання для термічної обробки	3	681-1191	1956-1981	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-327_3.pdf
395	opisi-2	2-327	Р-226	Технологічне обладнання для термічної обробки	4	1192-1271	1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-327_4.pdf
396	opisi-2	2-327	Р-226	Технологічне обладнання для термічної обробки	5	1272-1631	1977-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-327_5.pdf
397	opisi-2	2-328	Р-226	Стенд-кантователь для великих деталей типу валів Q max = 200 т	1	1-172	1977	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-328_1.pdf
398	opisi-2	2-329	Р-55	Кран мостовий спеціальний електричний	1	1-348	1982-1989	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-329_1.pdf
399	opisi-2	2-329	Р-55	Кран мостовий спеціальний електричний	2	349-438	1991-2001	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-329_2.pdf
400	opisi-2	2-330	Р-37	Резервуар сталевий вертикальний циліндричний для нафти та нафтопродуктів	1	1-2	1993	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-330_1__2-331_1.pdf
401	opisi-2	2-331	Р-37	Резервуар лінійно-виробничої диспетчерської станції "Броди" місткістю 75 000 м³	1	1-3	2002	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-330_1__2-331_1.pdf
402	opisi-2	2-332	Р-43	Установка для напівавтоматичного очищення ванн фарбувальних камер у блоці цехів Кременчуцького колісного заводу	1	1-25	1970-1971	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-332_1__2-333_1.pdf
403	opisi-2	2-333	Р-43	Комплекс автоматизований для загартування штамповок комплексів з маніпулятором знімання і навішування в ковальському корпусі Лозівського ковальсько-механічного заводу	1	1-231	1986	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-332_1__2-333_1.pdf
404	opisi-2	2-334	Р-55	Крани козловий спеціальний і полукозловий спеціальний	1	1-121	1995	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-334_1.pdf
405	opisi-2	2-334	Р-55	Крани козловий спеціальний і полукозловий спеціальний	2	122-147	1995	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-334_2.pdf
406	opisi-2	2-335	Р-226	Технологічне обладнання для зварювального виробництва	1	1-186	1976-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-335_1.pdf
407	opisi-2	2-335	Р-226	Технологічне обладнання для зварювального виробництва	2	187-531	1975-1979	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-335_2.pdf
408	opisi-2	2-335	Р-226	Технологічне обладнання для зварювального виробництва	3	532-895	1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-335_3.pdf
409	opisi-2	2-335	Р-226	Технологічне обладнання для зварювального виробництва	4	896-1156	1979-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-335_4.pdf
