seq	page	complex	fond_raw	title	opys	ranges	years	pdfs
509	opisi-2	2-400	Р-95	Фільтри для підприємств хімічної промисловості	1	1-107	1982-1983	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-400_1.pdf
510	opisi-2	2-401	Р-95	Пристрої приймально-охолоджуючі для отримання безперервних металевих стрічок	1	1-32	1979-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-401_1.pdf
511	opisi-2	2-402	Р-95	Гранулятор	1	1-103	1983	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-402_1.pdf
512	opisi-2	2-403	Р-95	Машина формувально-прийомна МФПТ-1000-КГ18	1	1-103	1981-1986	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-403_1.pdf
513	opisi-2	2-404	Р-95	Термокамера марки ТН-1	1	1-13	1983-1984	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-404_1.pdf
514	opisi-2	2-405	Р-95	Експериментальна лінія для отримання волокнистих матеріалів із пеків	1	1-22	1983	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-405_1.pdf
515	opisi-2	2-406	Р-95	Агрегат для попередньої обробки джгута волокна вуглецю	1	1-211	1976-1979	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-406_1.pdf
516	opisi-2	2-407	Р-95	Установка випарника-змішувача	1	1-49	1979-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-407_1.pdf
517	opisi-2	2-408	Р-95	Установка для рубання крихти у стрічці	1	1-171	1983-1988	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-408_1.pdf
518	opisi-2	2-409	Р-95	Агрегат для виробництва капронових монониток	1	1-325	1977-1978	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-409_1.pdf
519	opisi-2	2-410	Р-95	Апарат активаційний марки АВС-1	1	1-159	1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-410_1.pdf
520	opisi-2	2-411	Р-95	Лінія поточна типу ЛВУ-12	1	1-301	1979-1986	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-411_1.pdf
521	opisi-2	2-412	Р-95	Установка формування колагенових ниток	1	1-234	1984-1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-412_1.pdf
522	opisi-2	2-413	Р-95	Лінія безперервної екстракції та сушіння крихти полікапроаміду	1	1-295	1976-1981	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-413_1.pdf
523	opisi-2	2-414	Р-95	Установка розплавлення, введення та змішування полімерного концентрату барвника з основним полімером	1	1-169	1976-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_2-414_1.pdf
524	opisi-3	3-1	Р-9	Звіти по темах науково-дослідних робіт інституту «Діпрококс»	1	1-244	1937-1971	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-1_1.pdf
525	opisi-3	3-1	Р-9	Звіти по темах науково-дослідних робіт інституту «Діпрококс»	2	245-256	1958-1963	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-1_2.pdf
526	opisi-3	3-1	Р-9	Звіти по темах науково-дослідних робіт інституту «Діпрококс»	3	257-258	1962-1962	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-1_3.pdf
527	opisi-3	3-2	Р-11	Звіти про науково- дослідні роботи інституту «Південдіпроцемент»	1	1-857	1947-1965	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-2_1.pdf
528	opisi-3	3-3	Р-12	Звіти про науково- дослідні роботи інституту «Південдіпрогаз»	1	1-6	1966-1969	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-3_1.pdf
529	opisi-3	3-3	Р-12	Звіти про науково- дослідні роботи інституту «Південдіпрогаз»	2	7-9	1958	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-3_2.pdf
530	opisi-3	3-4	Р-2	Звіти за темами НДР Харківського проектного та науково-дослідного інституту «ПромбудНДІпроект»	1	1-181	1954-1960	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-4_1.pdf
531	opisi-3	3-4	Р-2	Звіти за темами НДР Харківського проектного та науково-дослідного інституту «ПромбудНДІпроект»	2	182-196	1963-1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-4_2.pdf
532	opisi-3	3-4	Р-2	Звіти за темами НДР Харківського проектного та науково-дослідного інституту «ПромбудНДІпроект»	3	197-226	1967-1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-4_3.pdf
533	opisi-3	3-4	Р-2	Звіти за темами НДР Харківського проектного та науково-дослідного інституту «ПромбудНДІпроект»	4	227-245	1969-1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-4_4.pdf
534	opisi-3	3-4	Р-2	Звіти за темами НДР Харківського проектного та науково-дослідного інституту «ПромбудНДІпроект»	5	246-420	1939-1946	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-4_5.pdf
535	opisi-3	3-5	Р-13	Звіти про науково- дослідні роботи Інституту металів	1	1-695	1954-1960	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-5_1.pdf
536	opisi-3	3-5	Р-13	Звіти про науково- дослідні роботи Інституту металів	2	697-776	1963-1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-5_2.pdf
537	opisi-3	3-5	Р-13	Звіти про науково- дослідні роботи Інституту металів	3	777-918	1954-1977	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-5_3.pdf
538	opisi-3	3-5	Р-13	Звіти про науково- дослідні роботи Інституту металів	4	919-1142	1930-1960	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-5_4.pdf
539	opisi-3	3-5	Р-13	Звіти про науково- дослідні роботи Інституту металів	5	1143-1162	1948-1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-5_5.pdf
540	opisi-3	3-6	Р-14	Звіти про науково- дослідні роботи Донецького вугільного інституту «ДонВУГІ»	1	1-168	1945-1962	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-6_1.pdf
541	opisi-3	3-6	Р-14	Звіти про науково- дослідні роботи Донецького вугільного інституту «ДонВУГІ»	2	169-679	1956-1970	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-6_2.pdf
542	opisi-3	3-6	Р-14	Звіти про науково- дослідні роботи Донецького вугільного інституту «ДонВУГІ»	3	680-892	1950-1970	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-6_3.pdf
543	opisi-3	3-6	Р-14	Звіти про науково- дослідні роботи Донецького вугільного інституту «ДонВУГІ»	4	893-1251	1952-1973	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-6_4.pdf
544	opisi-3	3-6	Р-14	Звіти про науково- дослідні роботи Донецького вугільного інституту «ДонВУГІ»	5	1252-1501	1952-1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-6_5.pdf
545	opisi-3	3-6	Р-14	Звіти про науково- дослідні роботи Донецького вугільного інституту «ДонВУГІ»	6	1502-1751	1950-1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-6_6.pdf
546	opisi-3	3-7	Р-15	Звіти про науково- дослідні роботи науково-дослідного інституту вогнетривів імені А. С. Бережного	1	1-1781а	1928-1965	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-7_1.pdf
547	opisi-3	3-7	Р-15	Звіти про науково- дослідні роботи науково-дослідного інституту вогнетривів імені А. С. Бережного	2	1782-2086	1961-1965	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-7_2.pdf
548	opisi-3	3-7	Р-15	Звіти про науково- дослідні роботи науково-дослідного інституту вогнетривів імені А. С. Бережного	3	2087-2189	1966-1976	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-7_3.pdf
549	opisi-3	3-7	Р-15	Звіти про науково- дослідні роботи науково-дослідного інституту вогнетривів імені А. С. Бережного	4	2190-2279	1977-1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-7_4.pdf
550	opisi-3	3-7	Р-15	Звіти про науково- дослідні роботи науково-дослідного інституту вогнетривів імені А. С. Бережного	5	2280-2453	1986-1991	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-7_5.pdf
551	opisi-3	3-7	Р-15	Звіти про науково- дослідні роботи науково-дослідного інституту вогнетривів імені А. С. Бережного	6	2454-2465	1961-1964	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-7_6.pdf
552	opisi-3	3-7	Р-15	Звіти про науково- дослідні роботи науково-дослідного інституту вогнетривів імені А. С. Бережного	7	2466-2512	1968-2008	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-7_7.pdf
553	opisi-3	3-8	Р-16	Звіти про науково- дослідні роботи НДІ харчової промисловості	1	1-248	1933-1972	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-8_1.pdf
554	opisi-3	3-9	Р-17	Звіти про науково- дослідні роботи вуглехімічного інституту "УХІН"	1	1-661а	1927-1973	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-9_1.pdf
555	opisi-3	3-9	Р-17	Звіти про науково- дослідні роботи вуглехімічного інституту "УХІН"	2	662-897	1933-1967	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-9_2.pdf
556	opisi-3	3-9	Р-17	Звіти про науково- дослідні роботи вуглехімічного інституту "УХІН"	3	898-1290а	1930-1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-9_3.pdf
557	opisi-3	3-9	Р-17	Звіти про науково- дослідні роботи вуглехімічного інституту "УХІН"	4	1291-2024;2025-2818	1926-1965	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-9_4_1291-2024.pdf;https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-9_4_2025-2818.pdf
558	opisi-3	3-9	Р-17	Звіти про науково- дослідні роботи вуглехімічного інституту "УХІН"	5	2280-2453	1986-1991	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-9_5.pdf
559	opisi-3	3-9	Р-17	Звіти про науково- дослідні роботи вуглехімічного інституту "УХІН"	6	3024-3073	1936-1962	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-9_6.pdf
560	opisi-3	3-9	Р-17	Звіти про науково- дослідні роботи вуглехімічного інституту "УХІН"	7	1-51	1947-1967	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-9_7.pdf
561	opisi-3	3-9	Р-17	Звіти про науково- дослідні роботи вуглехімічного інституту "УХІН"	8	3125-3153	1940-1964	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-9_8.pdf
562	opisi-3	3-10	Р-18	Звіти про науково- дослідні роботи НВО «Монокристалреактив»	1	1-203	1956-1963	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-10_1.pdf
563	opisi-3	3-10	Р-18	Звіти про науково- дослідні роботи НВО «Монокристалреактив»	2	204-298	1964-1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-10_2.pdf
564	opisi-3	3-10	Р-18	Звіти про науково- дослідні роботи НВО «Монокристалреактив»	3	299-315	1978-1985	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-10_3.pdf
565	opisi-3	3-10	Р-18	Звіти про науково- дослідні роботи НВО «Монокристалреактив»	4	316-326	1985-1990	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-10_4.pdf
566	opisi-3	3-11	Р-57	Звіти про науково- дослідні роботи Державного науково-дослідного інституту основної хімії «НІОХІМ»	1	1-158	1938-1967	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-11_1.pdf
567	opisi-3	3-11	Р-57	Звіти про науково- дослідні роботи Державного науково-дослідного інституту основної хімії «НІОХІМ»	2	159-258	1966-1976	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-11_2.pdf
568	opisi-3	3-12	Р-58	Звіти про науково- дослідні роботи Українського науково-дослідного інституту природних газів «УкрНДІгаз»	1	1-44	1959-1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-12_1.pdf
569	opisi-3	3-12	Р-58	Звіти про науково- дослідні роботи Українського науково-дослідного інституту природних газів «УкрНДІгаз»	2	45-102	1960-1983	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-12_2.pdf
570	opisi-3	3-12	Р-58	Звіти про науково- дослідні роботи Українського науково-дослідного інституту природних газів «УкрНДІгаз»	3	103-116	1982-1991	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-12_3.pdf
571	opisi-3	3-13	Р-61	Звіти про науково-дослідні роботи НВО «Автоматгірмаш»	1	1-80	1960-1963	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-13_1.pdf
572	opisi-3	3-13	Р-61	Звіти про науково-дослідні роботи НВО «Автоматгірмаш»	2	81-120	1964-1966	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-13_2.pdf
573	opisi-3	3-13	Р-61	Звіти про науково-дослідні роботи НВО «Автоматгірмаш»	3	121-139	1967-1968	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-13_3.pdf
574	opisi-3	3-13	Р-61	Звіти про науково-дослідні роботи НВО «Автоматгірмаш»	4	140-185	1968-1970	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-13_4.pdf
575	opisi-3	3-14	Р-62	Звіти про науково-дослідні роботи Всесоюзний науково-дослідний і проектний інститут титану	1	1-47	1960-1976	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-14_1.pdf
576	opisi-3	3-15	Р-42	Звіти про науково- дослідні роботи ХПІ. Дослідження роботи котлоагрегатів	1	1-14	1946-1966	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-15_1.pdf
577	opisi-3	3-15	Р-42	Звіти про науково- дослідні роботи ХПІ. Дослідження роботи котлоагрегатів	2	15-26	1960-1968	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-15_2.pdf
578	opisi-3	3-15	Р-42	Звіти про науково- дослідні роботи ХПІ. Дослідження роботи котлоагрегатів	3	27-32	1942-1956	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-15_3.pdf
579	opisi-3	3-15	Р-42	Звіти про науково- дослідні роботи ХПІ. Дослідження роботи котлоагрегатів	4	33-39	1969-1989	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-15_4.pdf
580	opisi-3	3-16	Р-67	Звіти про науково- дослідні роботи Інституту верстатів та інструментів	1	1-780	1963-1973	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-16_1.pdf
581	opisi-3	3-17	Р-65	Звіти про науково- дослідні роботи Всесоюзного науково-дослідного і конструкторського інституту хімічного машинобудування "НДІхіммаш", м. Сєвєродонецьк	1	1-58	1969-1970	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-17_1.pdf
582	opisi-3	3-17	Р-65	Звіти про науково- дослідні роботи Всесоюзного науково-дослідного і конструкторського інституту хімічного машинобудування "НДІхіммаш", м. Сєвєродонецьк	2	59-76	1973-1994	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-17_2pdf.pdf
583	opisi-3	3-18	Р-66	Звіти про науково- дослідні роботи Інституту спеціальних сталей, сплавів та феросплавів	1	1-26	1964-1970	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-18_1.pdf
584	opisi-3	3-18	Р-66	Звіти про науково- дослідні роботи Інституту спеціальних сталей, сплавів та феросплавів	2	27-51	1989-1996	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-18_2.pdf
585	opisi-3	3-19	Р-68	Звіти про науково-дослідні роботи НДІ механізації шахтного будівництва	1	1-8	1955-1969	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-19_1.pdf
586	opisi-3	3-20	Р-76	Звіти про науково- дослідні роботи Всесоюзного науково-дослідний інституту гірничої механіки ім. М.М. Федорова, м Донецьк	1	1-424	1937-1978	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-20_1.pdf
587	opisi-3	3-21	Р-71	Звіти про науково- дослідні роботи	1	1-108	1960-1976	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-21_1.pdf
588	opisi-3	3-22	Р-78	Звіти про науково- дослідні роботи інституту «УкрНДІхіммаш»	1	1-220	1966-1976	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-22_1.pdf
589	opisi-3	3-22	Р-78	Звіти про науково- дослідні роботи інституту «УкрНДІхіммаш»	2	221-628;629-1033	1936-1969	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-22_2_221-628.pdf;https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-22_2_629-1033.pdf
590	opisi-3	3-22	Р-78	Звіти про науково- дослідні роботи інституту «УкрНДІхіммаш»	3	1034-1840	1973-1990	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-22_3.pdf
591	opisi-3	3-22	Р-78	Звіти про науково- дослідні роботи інституту «УкрНДІхіммаш»	4	1841-1949	1989-2001	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-22_4.pdf
592	opisi-3	3-23	Р-79	Звіти про науково- дослідні роботи Харківської філії Всесоюзного науково-дослідного інституту жирів (ХФ «ВНДІЖ»)	1	1-103	1957-1970	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-23_1.pdf
593	opisi-3	3-24	Р-83	Звіти про науково- дослідні роботи Київського відділення центрального науково-дослідного інституту зв’язку (КВНДІЗ)	1	1-92	1958-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-24_1.pdf
594	opisi-3	3-24	Р-83	Звіти про науково- дослідні роботи Київського відділення центрального науково-дослідного інституту зв’язку (КВНДІЗ)	2	93-112	1963-1981	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-24_2.pdf
595	opisi-3	3-25	Р-56	Звіти про науково- дослідні роботи інституту «Південдіпрошахт»	1	1-2	1955-1956	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-25_1__3-26_1.pdf
596	opisi-3	3-26	Р-56	Звіти про науково- дослідні роботи інституту «Південдіпрошахт»	1	1	1953	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-25_1__3-26_1.pdf
597	opisi-3	3-27	Р-90	Звіти про науково- дослідні роботи інституту «Діпровугле автоматизація»	1	1-33	1962-1971	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-27_1.pdf
598	opisi-3	3-28	Р-92	Звіти про науково-дослідні роботи інституту «Діпровугле-автоматизація» (Ворошиловградський /Луганський/ філіал)	1	1-211	1960-1970	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-28_1.pdf
599	opisi-3	3-28	Р-92	Звіти про науково-дослідні роботи інституту «Діпровугле-автоматизація» (Ворошиловградський /Луганський/ філіал)	2	212-243	1970-1973	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-28_2.pdf
600	opisi-3	3-28	Р-92	Звіти про науково-дослідні роботи інституту «Діпровугле-автоматизація» (Ворошиловградський /Луганський/ філіал)	3	244-268	1974-1976	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-28_3.pdf
601	opisi-3	3-28	Р-92	Звіти про науково-дослідні роботи інституту «Діпровугле-автоматизація» (Ворошиловградський /Луганський/ філіал)	4	269-276	1976-1977	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-28_4.pdf
602	opisi-3	3-29	Р-93	Звіти про науково-дослідні роботи інституту «ВНДІгідропривід»	1	1-194	1969-1980	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-29_1.pdf
603	opisi-3	3-29	Р-93	Звіти про науково-дослідні роботи інституту «ВНДІгідропривід»	2	195-303	1979-1986	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-29_2.pdf
604	opisi-3	3-29	Р-93	Звіти про науково-дослідні роботи інституту «ВНДІгідропривід»	3	304-319	1987-2001	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-29_3.pdf
605	opisi-3	3-30	Р-94	Звіти за темами науково-дослідних робіт	1	1-39	1960-1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-30_1.pdf
606	opisi-3	3-31	Р-99	Звіти за темами науково-дослідних робіт по проблемах Науково-дослідного інституту будівельних матеріалів та виробів (НДІБМВ)	1	1-118	1945-1960	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-31_1.pdf
607	opisi-3	3-31	Р-99	Звіти за темами науково-дослідних робіт по проблемах Науково-дослідного інституту будівельних матеріалів та виробів (НДІБМВ)	2	119-160	1953-1966	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-31_2.pdf
608	opisi-3	3-32	Р-100	Звіти про науково-дослідні роботи Київського науково-дослідного і проектного інституту містобудування "КиївНДІПмістобудування"	1	1-162	1960-1979	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-32_1.pdf
609	opisi-3	3-32	Р-100	Звіти про науково-дослідні роботи Київського науково-дослідного і проектного інституту містобудування "КиївНДІПмістобудування"	2	163-303	1963-1979	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-32_2.pdf
610	opisi-3	3-32	Р-100	Звіти про науково-дослідні роботи Київського науково-дослідного і проектного інституту містобудування "КиївНДІПмістобудування"	3	304-307	1969-1974	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-32_3.pdf
611	opisi-3	3-33	Р-101	Звіти про науково-дослідні роботи НДІ цукрової промисловості	1	1-40	1939-1954	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-33_1.pdf
612	opisi-3	3-33	Р-101	Звіти про науково-дослідні роботи НДІ цукрової промисловості	2	41-142	1933-1966	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-33_2.pdf
613	opisi-3	3-33	Р-101	Звіти про науково-дослідні роботи НДІ цукрової промисловості	3	143-216	1931-1968	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-33_3.pdf
614	opisi-3	3-33	Р-101	Звіти про науково-дослідні роботи НДІ цукрової промисловості	4	218-266	1969-1975	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-33_4.pdf
615	opisi-3	3-34	Р-102	Звіти про науково-дослідні роботи НДІ безпеки праці в гірничорудній промисловості	1	1-19	1959-1965	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-34_1.pdf
616	opisi-3	3-34	Р-102	Звіти про науково-дослідні роботи НДІ безпеки праці в гірничорудній промисловості	2	20-110	1966-1986	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-34_2.pdf
617	opisi-3	3-34	Р-102	Звіти про науково-дослідні роботи НДІ безпеки праці в гірничорудній промисловості	3	111-116	1990-2009	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-34_3.pdf
618	opisi-3	3-35	Р-106	Звіти про науково-дослідні роботи інституту трубної промисловості «ВНДТІ»	1	1-25	1968-1978	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-35_1.pdf
619	opisi-3	3-36	Р-107	Звіти за темами науково-дослідних робіт по проблемах Всесоюзного науково-дослідного інституту організації виробництва та праці чорної металургії "ВНДІОчормет"	1	1-59	1946-1960	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-36_1.pdf
620	opisi-3	3-36	Р-107	Звіти за темами науково-дослідних робіт по проблемах Всесоюзного науково-дослідного інституту організації виробництва та праці чорної металургії "ВНДІОчормет"	2	60-210	1940-1951	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-36_2.pdf
621	opisi-3	3-36	Р-107	Звіти за темами науково-дослідних робіт по проблемах Всесоюзного науково-дослідного інституту організації виробництва та праці чорної металургії "ВНДІОчормет"	3	211-868	1932-1963	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-36_3pdf.pdf
622	opisi-3	3-36	Р-107	Звіти за темами науково-дослідних робіт по проблемах Всесоюзного науково-дослідного інституту організації виробництва та праці чорної металургії "ВНДІОчормет"	4	869-1456	1963-1968	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-36_4pdf.pdf
623	opisi-3	3-36	Р-107	Звіти за темами науково-дослідних робіт по проблемах Всесоюзного науково-дослідного інституту організації виробництва та праці чорної металургії "ВНДІОчормет"	5	1457-1875	1957-1972	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-36_5pdf.pdf
624	opisi-3	3-36	Р-107	Звіти за темами науково-дослідних робіт по проблемах Всесоюзного науково-дослідного інституту організації виробництва та праці чорної металургії "ВНДІОчормет"	6	1876-2452	1957-1978	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-36_6.pdf
625	opisi-3	3-36	Р-107	Звіти за темами науково-дослідних робіт по проблемах Всесоюзного науково-дослідного інституту організації виробництва та праці чорної металургії "ВНДІОчормет"	7	2453-2830	1979-1981	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-36_7.pdf
626	opisi-3	3-37	Р-112	Звіти про науково-дослідні роботи НДІ санітарної техніки та обладнання будинків	1	1-182	1957-1968	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-37_1.pdf
627	opisi-3	3-37	Р-112	Звіти про науково-дослідні роботи НДІ санітарної техніки та обладнання будинків	2	183-1175	1964-1996	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-37_2.pdf
628	opisi-3	3-38	Р-113	Звіти про науково-дослідні роботи НДІ целюлозної та паперової промисловості	1	1-178	1946-1961	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-38_1.pdf
629	opisi-3	3-38	Р-113	Звіти про науково-дослідні роботи НДІ целюлозної та паперової промисловості	2	179-257	1961-1965	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-38_2.pdf
630	opisi-3	3-38	Р-113	Звіти про науково-дослідні роботи НДІ целюлозної та паперової промисловості	3	1-303 (258-560)	1965-1971	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-38_3.pdf
631	opisi-3	3-38	Р-113	Звіти про науково-дослідні роботи НДІ целюлозної та паперової промисловості	4	561-1188	1971-1982	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-38_4.pdf
632	opisi-3	3-38	Р-113	Звіти про науково-дослідні роботи НДІ целюлозної та паперової промисловості	5	1189-1395	1982-1986	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-38_5.pdf
633	opisi-3	3-38	Р-113	Звіти про науково-дослідні роботи НДІ целюлозної та паперової промисловості	6	1396-1593	1987-1991	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-38_6.pdf
634	opisi-3	3-38	Р-113	Звіти про науково-дослідні роботи НДІ целюлозної та паперової промисловості	7	1594-1735	1992-2008	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-38_7.pdf
635	opisi-3	3-39	Р-115	Звіти про науково-дослідні роботи НДІ з безпеки робіт у гірничорудній промисловості	1	1-94	1980-1984	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-39_1.pdf
636	opisi-3	3-39	Р-115	Звіти про науково-дослідні роботи НДІ з безпеки робіт у гірничорудній промисловості	2	95-103	1980-1992	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-39_2.pdf
637	opisi-3	3-40	Р-130	Звіти за темами науково-дослідних робіт з гірничорятівної справи Науково-дослідного інституту гірничорятувальної справи «НДІГС» НВО «Респіратор»	1	1-15	1969-1978	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-40_1.pdf
638	opisi-3	3-41	Р-127	Звіти про науково-дослідні роботи	1	1-228	1946-1962	https://cdnta-old.archives.gov.ua/images/opis/CDNTAU_3-41_1.pdf
