161ebe78-d398-48c7-9fd7-6f6a3d9e06a7	ЦДНТА-(Р-17-3-9-2-678+++Р-17-3-9-2-678+++Р-17-3-9-2-678)	file
52f791e6-2636-4c22-a584-43720c1a1e72	ЦДНТА-(Р-17-3-9-2-694+++Р-17-3-9-2-694+++Р-17-3-9-2-694)	file
3ac18e68-8192-4456-86ae-905f4b26b5f2	ЦДНТА-(Р-17-3-9-2-698+++Р-17-3-9-2-698+++Р-17-3-9-2-698)	file
fbac32ff-cb37-4383-8b61-feaaf332c7c1	ЦДНТА-(Р-17-3-9-2-703+++Р-17-3-9-2-703+++Р-17-3-9-2-703)	file
0a8d3d5f-9d61-409f-a238-4a59c569aa81	ЦДНТА-(Р-17-3-9-2-732+++Р-17-3-9-2-732+++Р-17-3-9-2-732)	file
d05f3a7e-99b5-49f4-b7cd-2f5c98360f8d	ЦДНТА-(Р-17-3-9-2-737+++Р-17-3-9-2-737+++Р-17-3-9-2-737)	file
362ab304-52af-4877-a02e-9cb90bba29df	ЦДНТА-(Р-17-3-9-2-751+++Р-17-3-9-2-751+++Р-17-3-9-2-751)	file
5d89d046-cedd-49c5-87cd-15602555550f	ЦДНТА-(Р-17-3-9-2-745+++Р-17-3-9-2-745+++Р-17-3-9-2-745)	file
c94fb49f-7dce-42a4-8282-7d7bd47d41ac	ЦДНТА-(Р-17-3-9-2-752+++Р-17-3-9-2-752+++Р-17-3-9-2-752)	file
209521a5-94a6-49a0-b803-ae55aafdf75f	ЦДНТА-(Р-17-3-9-1-357+++Р-17-3-9-1-357+++Р-17-3-9-1-357)	file
57ba7911-4945-4146-8739-96bfcf2c2fd4	ЦДНТА-(Р-17-3-9-1-363+++Р-17-3-9-1-363+++Р-17-3-9-1-363)	file
d7cded2b-0f37-40f3-afbb-012a1354cfac	ЦДНТА-(Р-17-3-9-1-365+++Р-17-3-9-1-365+++Р-17-3-9-1-365)	file
